,Date,Transaction Type,#,Name,Memo/Description,Account,Debit,Credit,Balance
1000 CIBC Bank 1615,,,,,,,,,
,26/08/2025,Journal Entry,,,,1000 CIBC Bank 1615,"17,409.32  ",,"17,409.32  "
,26/08/2025,Journal Entry,,,,1000 CIBC Bank 1615,,"25,299.88  ","-7,890.56  "
Total for 1000 CIBC Bank 1615,,,,,,,"$17,409.32  ","$25,299.88  ",
1010 Scotia Bank Main,,,,,,,,,
,26/08/2025,Journal Entry,,,,1010 Scotia Bank Main,,"149,875.97  ","-149,875.97  "
,26/08/2025,Journal Entry,,,,1010 Scotia Bank Main,"149,616.88  ",,-259.09  
Total for 1010 Scotia Bank Main,,,,,,,"$149,616.88  ","$149,875.97  ",
1020 Personal CIBC 8362,,,,,,,,,
,26/08/2025,Journal Entry,,,,1020 Personal CIBC 8362,,"70,327.38  ","-70,327.38  "
,26/08/2025,Journal Entry,,,,1020 Personal CIBC 8362,"647,987.75  ",,"577,660.37  "
Total for 1020 Personal CIBC 8362,,,,,,,"$647,987.75  ","$70,327.38  ",
1085 Payroll Clearing Account,,,,,,,,,
,26/08/2025,Journal Entry,,,,1085 Payroll Clearing Account,,"10,428.77  ","-10,428.77  "
Total for 1085 Payroll Clearing Account,,,,,,,,"$10,428.77  ",
1090 Bank Shareholder,,,,,,,,,
,26/08/2025,Journal Entry,,,,1090 Bank Shareholder,"81,703.33  ",,"81,703.33  "
,26/08/2025,Journal Entry,,,,1090 Bank Shareholder,,"149,822.24  ","-68,118.91  "
Total for 1090 Bank Shareholder,,,,,,,"$81,703.33  ","$149,822.24  ",
1300 Prepaid Lease Charges,,,,,,,,,
,26/08/2025,Journal Entry,,,,1300 Prepaid Lease Charges,"81,107.90  ",,"81,107.90  "
Total for 1300 Prepaid Lease Charges,,,,,,,"$81,107.90  ",,
1310 Deposits Paid,,,,,,,,,
,26/08/2025,Journal Entry,,,,1310 Deposits Paid,"4,000.00  ",,"4,000.00  "
Total for 1310 Deposits Paid,,,,,,,"$4,000.00  ",,
1399 Suspense,,,,,,,,,
,26/08/2025,Journal Entry,,,,1399 Suspense,"234,644.27  ",,"234,644.27  "
,26/08/2025,Journal Entry,,,,1399 Suspense,"4,250.11  ",,"238,894.38  "
Total for 1399 Suspense,,,,,,,"$238,894.38  ",,
1700 Limousines & Busses,,,,,,,,,
   1993 Intl Thomas 3000Bus 461679,,,,,,,,,
,26/08/2025,Journal Entry,,,,Limousines & Busses:1993 Intl Thomas 3000Bus 461679,"5,000.00  ",,"5,000.00  "
   Total for 1993 Intl Thomas 3000Bus 461679,,,,,,,"$5,000.00  ",   ,
   L-1 2007 Mercedes Benz Sedan,,,,,,,,,
,26/08/2025,Journal Entry,,,,Limousines & Busses:L-1 2007 Mercedes Benz Sedan,"2,580.27  ",,"2,580.27  "
   Total for L-1 2007 Mercedes Benz Sedan,,,,,,,"$2,580.27  ",   ,
   L-15 2012 Ford E-350 Party Bus,,,,,,,,,
,26/08/2025,Journal Entry,,,,Limousines & Busses:L-15 2012 Ford E-350 Party Bus,847.50  ,,847.50  
   Total for L-15 2012 Ford E-350 Party Bus,,,,,,,$847.50  ,   ,
   L-2 2006 Lincoln TownCar 614688,,,,,,,,,
