            from_table            |        from_col         |           to_table           |      to_col       |                       constraint_name                       
----------------------------------+-------------------------+------------------------------+-------------------+-------------------------------------------------------------
 accounting_entries               | charter_id              | charters                     | charter_id        | accounting_entries_charter_id_fkey
 accounting_periods               | closed_by               | employees                    | employee_id       | accounting_periods_closed_by_fkey
 asset_depreciation_schedule      | asset_id                | assets                       | asset_id          | asset_depreciation_schedule_asset_id_fkey
 asset_documentation              | asset_id                | assets                       | asset_id          | asset_documentation_asset_id_fkey
 assets                           | purchase_receipt_id     | receipts                     | receipt_id        | assets_purchase_receipt_id_fkey
 banking_transactions             | account_number          | cibc_accounts                | account_number    | fk_account
 banking_transactions             | receipt_id              | receipts                     | receipt_id        | banking_transactions_receipt_id_fkey
 beverage_order_items             | order_id                | beverage_orders              | order_id          | beverage_order_items_order_id_fkey
 business_losses                  | created_by              | employees                    | employee_id       | business_losses_created_by_fkey
 cash_box_transactions            | banking_transaction_id  | banking_transactions         | transaction_id    | cash_box_transactions_banking_transaction_id_fkey
 cash_box_transactions            | employee_id             | employees                    | employee_id       | cash_box_transactions_employee_id_fkey
 cash_box_transactions            | receipt_id              | receipts                     | receipt_id        | cash_box_transactions_receipt_id_fkey
 categorization_rules             | category_code           | account_categories           | category_code     | categorization_rules_category_code_fkey
 category_mappings                | new_account_code        | chart_of_accounts            | account_code      | category_mappings_new_account_code_fkey
 category_to_account_map          | gl_account_code         | chart_of_accounts            | account_code      | category_to_account_map_gl_account_code_fkey
 charity_trade_charters           | charter_id              | charters                     | charter_id        | charity_trade_charters_charter_id_fkey
 charter_beverage_items           | beverage_order_id       | charter_beverage_orders      | beverage_order_id | charter_beverage_items_beverage_order_id_fkey
 charter_beverage_orders          | charter_id              | charters                     | charter_id        | charter_beverage_orders_charter_id_fkey
 charter_beverages                | beverage_item_id        | beverage_products            | item_id           | charter_beverages_beverage_item_id_fkey
 charter_beverages                | charter_id              | charters                     | charter_id        | charter_beverages_charter_id_fkey
 charter_charges                  | charter_id              | charters                     | charter_id        | charter_charges_charter_id_fkey
 charter_charges                  | reserve_number          | charters                     | reserve_number    | fk_charter_charges_reserve_number
 charter_credit_ledger            | applied_to_charter_id   | charters                     | charter_id        | charter_credit_ledger_applied_to_charter_id_fkey
 charter_credit_ledger            | client_id               | clients                      | client_id         | charter_credit_ledger_client_id_fkey
 charter_credit_ledger            | source_charter_id       | charters                     | charter_id        | charter_credit_ledger_source_charter_id_fkey
 charter_gst_details_2010_2012    | charter_id              | charters                     | charter_id        | charter_gst_details_2010_2012_charter_id_fkey
 charter_incidents                | charter_id              | charters                     | charter_id        | charter_incidents_charter_id_fkey
 charter_payments                 | payment_id              | payments                     | payment_id        | fk_charter_payments_payment_id
 charter_receipts                 | charter_id              | charters                     | charter_id        | charter_receipts_charter_id_fkey
 charter_receipts                 | vehicle_id              | vehicles                     | vehicle_id        | charter_receipts_vehicle_id_fkey
 charter_routes                   | charter_id              | charters                     | charter_id        | charter_routes_charter_id_fkey
 charter_time_updates             | charter_id              | charters                     | charter_id        | charter_time_updates_charter_id_fkey
 charter_time_updates             | driver_id               | employees                    | employee_id       | charter_time_updates_driver_id_fkey
 charters                         | client_id               | clients                      | client_id         | charters_client_id_fkey
 charters                         | employee_id             | employees                    | employee_id       | fk_charters_employee_id
 charters                         | vehicle_id              | vehicles                     | vehicle_id        | fk_charters_vehicle_id
 charters_routing_times           | charter_id              | charters                     | charter_id        | charters_routing_times_charter_id_fkey
 chauffeur_float_tracking         | banking_transaction_id  | banking_transactions         | transaction_id    | chauffeur_float_tracking_banking_transaction_id_fkey
 chauffeur_pay_entries            | chauffeur_id            | employees                    | employee_id       | chauffeur_pay_entries_chauffeur_id_fkey
 chauffeur_pay_entries            | created_by              | employees                    | employee_id       | chauffeur_pay_entries_created_by_fkey
 cheque_register                  | banking_transaction_id  | banking_transactions         | transaction_id    | cheque_register_banking_transaction_id_fkey
