ID,Check #,Date,Cleared,Vendor,Amount,Status,Bank,Banking Txn,Receipts,Invoices,Memo
269,274,2012-06-13,2012-06-13,FIBRENEW,1050.00,CLEARED,CIBC 1615,,0,0,CHQ 274 FIBRENEW
90,276,2012-07-05,2012-07-10,FIBRENEW,1050.00,CLEARED,CIBC 1615,,0,0,CHQ 276 FIBRENEW RENT
108,18,2012-08-09,2012-08-09,FIBRENEW,1207.50,CLEARED,Scotia 903990106011,69203,2,0,CHQ 18 FIBRENEW
141,51,2012-10-01,2012-10-01,FIBRENEW,170.43,CLEARED,Scotia 903990106011,69395,1,0,CHQ 51 FIBRENEW (UTILITIES)
140,50,2012-10-01,2012-10-01,FIBRENEW,1163.75,CLEARED,Scotia 903990106011,69396,1,0,CHQ 50 FIBRENEW
168,78,2012-10-24,2012-10-24,FIBRENEW,1445.62,CLEARED,Scotia 903990106011,69487,1,0,CHQ 78 FIBRENEW
305,129,2013-01-30,,FIBRENEW,1268.48,CLEARED,Scotia 903990106011,,0,0,CHQ 129 FIBRENEW INVOICE 4844 RENT
387,156,2013-03-10,2013-03-10,FIBRENEW,2000.00,CLEARED,Scotia 903990106011,,0,0,CHQ 156 FIBRENEW
391,160,2013-03-15,2013-03-15,FIBRENEW,1000.00,CLEARED,Scotia 903990106011,,0,0,CHQ FIBRENEW RENT ARREARS
390,159,2013-03-15,2013-03-15,FIBRENEW,1817.69,NSF,Scotia 903990106011,,0,0,CHQ 159 FIBRENEW RENT NSF
406,176,2013-04-18,2013-04-18,FIBRENEW,1575.00,CLEARED,Scotia 903990106011,,0,0,CHQ 176 FIBRENEW RENT
424,195,2013-06-01,2013-06-01,FIBRENEW,1575.00,CLEARED,Scotia 903990106011,,0,0,CHQ 195 FIBRENEW RENT
444,217,2013-07-05,2013-07-05,FIBRENEW,2427.74,CLEARED,Scotia 903990106011,,0,0,CHQ 218 FIBRENEW RENT
441,214,2013-07-05,2013-07-05,FIBRENEW,1775.43,CLEARED,Scotia 903990106011,,0,0,CHQ 214 FIBRENEW RENT
451,224,2013-08-16,2013-08-16,FIBRENEW,1575.00,CLEARED,Scotia 903990106011,,0,0,CHQ 224 FIBRENEW RENT
455,228,2013-09-03,2013-09-03,FIBRENEW,1575.00,CLEARED,Scotia 903990106011,,0,0,CHQ 228 FIBRENEW RENT
473,246,2013-10-07,2013-10-07,FIBRENEW,232.90,CLEARED,Scotia 903990106011,,0,0,CHQ 246 FIBRENEW UTILITIES INV 5146
472,245,2013-10-07,2013-10-07,FIBRENEW,1575.00,CLEARED,Scotia 903990106011,,0,0,CHQ 245 FIBRENEW RENT INV 5202
497,270,2013-11-19,2012-11-19,FIBRENEW,451.77,CLEARED,Scotia 903990106011,,0,0,CHQ 270 FIBRENEW UTILITIES
496,269,2013-11-19,2013-11-19,FIBRENEW,1706.25,CLEARED,Scotia 903990106011,,0,0,CHQ 269 FIBRENEW RENT
516,289,2013-12-27,2013-12-27,FIBRENEW,492.26,CLEARED,Scotia 903990106011,,0,0,CHQ 289 FIBRENEW UTILITIES
515,288,2013-12-27,2013-12-27,FIBRENEW,1706.25,CLEARED,Scotia 903990106011,,0,0,CHQ 288 FIBRENEW RENT
