reserve_number,charter_date,status,grand_total,payment_totals,balance
005656,2012-01-01,closed,472.50,417.50,55.00
005718,2012-01-07,closed,1205.00,1410.00,-205.00
005741,2012-01-13,closed,78.75,0.00,78.75
005713,2012-01-18,closed,231.00,731.00,-500.00
005760,2012-01-20,closed,205.00,0.00,205.00
005714,2012-02-09,closed,231.00,309.75,-78.75
005677,2012-02-18,closed,370.00,425.00,-55.00
005838,2012-02-24,closed,175.00,0.00,175.00
005940,2012-03-04,closed,250.00,350.00,-100.00
005944,2012-03-04,closed,250.00,0.00,250.00
005947,2012-03-06,closed,270.00,370.00,-100.00
005943,2012-03-10,closed,221.25,396.25,-175.00
005958,2012-03-12,closed,250.00,500.00,-250.00
005927,2012-03-15,closed,3726.00,3521.00,205.00
005982,2012-03-17,closed,643.50,438.50,205.00
005924,2012-03-24,closed,205.00,0.00,205.00
005972,2012-03-30,closed,250.00,500.00,-250.00
006027,2012-03-30,closed,429.00,634.00,-205.00
005842,2012-03-31,closed,1138.75,938.75,200.00
006013,2012-03-31,closed,205.00,410.00,-205.00
006063,2012-04-07,closed,500.00,250.00,250.00
006065,2012-04-07,closed,645.00,895.00,-250.00
006157,2012-05-04,closed,911.25,711.25,200.00
006179,2012-05-05,closed,500.00,582.50,-82.50
006199,2012-05-12,closed,175.00,0.00,175.00
006217,2012-05-23,closed,265.00,515.00,-250.00
005814,2012-05-25,closed,702.00,497.00,205.00
005565,2012-06-01,closed,1980.00,1480.00,500.00
005909,2012-06-01,closed,1072.50,1277.50,-205.00
006211,2012-06-01,closed,569.25,769.25,-200.00
006264,2012-06-01,closed,553.50,758.50,-205.00
006327,2012-06-08,closed,240.00,415.00,-175.00
006336,2012-06-12,closed,550.00,345.00,205.00
006421,2012-07-13,closed,499.00,674.00,-175.00
006473,2012-07-13,closed,250.00,1156.00,-906.00
006080,2012-07-14,closed,1354.90,1854.90,-500.00
006490,2012-07-18,closed,82.50,0.00,82.50
006493,2012-07-19,closed,1705.59,1137.06,568.53
006497,2012-07-20,closed,250.00,450.00,-200.00
006518,2012-07-30,closed,309.75,878.28,-568.53
006547,2012-08-01,closed,82.50,165.00,-82.50
006555,2012-08-04,closed,822.80,647.80,175.00
