year,balance,reserve_count
2012,-0.02,12
2012,-205.00,7
2012,-82.50,7
2012,205.00,7
2012,-250.00,4
2012,-175.00,4
2012,500.00,4
2012,-500.00,3
2012,-200.00,3
2012,82.50,3
2012,175.00,3
2012,-420.00,2
2012,-160.00,2
2012,-100.00,2
2012,200.00,2
2012,250.00,2
2012,-906.00,1
2012,-690.10,1
2012,-568.53,1
2012,-231.00,1
2012,-78.75,1
2012,-55.00,1
2012,-0.04,1
2012,55.00,1
2012,78.75,1
2012,82.49,1
2012,160.00,1
2012,165.00,1
2012,231.00,1
2012,400.00,1
2012,568.53,1
2012,757.50,1
2013,24.38,9
2013,-500.00,5
2013,97.50,4
2013,500.00,3
2013,-682.50,2
2013,-484.69,2
2013,-357.50,2
2013,-250.00,2
2013,-82.50,2
2013,48.76,2
2013,82.50,2
2013,93.94,2
2013,-690.00,1
2013,-390.00,1
2013,-231.00,1
2013,-219.42,1
2013,-200.00,1
2013,-195.00,1
2013,-192.50,1
2013,-187.88,1
2013,-175.00,1
2013,-97.52,1
2013,-75.00,1
2013,70.00,1
2013,75.00,1
2013,165.00,1
2013,175.00,1
2013,192.50,1
2013,195.00,1
2013,200.00,1
2013,231.00,1
2013,250.00,1
2013,715.00,1
2013,1365.00,1
2013,1380.00,1
2013,1469.38,1
2014,-250.00,5
2014,500.00,4
2014,-367.50,3
2014,-175.00,3
2014,-140.00,3
2014,-75.00,3
2014,-500.00,2
2014,-160.87,2
2014,-137.56,2
2014,-90.00,2
2014,175.00,2
2014,250.00,2
2014,-300.00,1
2014,-205.00,1
2014,-100.00,1
2014,-70.00,1
2014,-50.00,1
2014,75.00,1
2014,100.00,1
2014,150.00,1
2014,180.00,1
2014,205.00,1
2014,275.12,1
2014,371.74,1
2014,420.00,1
2014,600.00,1
2014,750.00,1
2014,1102.50,1
2015,-250.00,4
2015,500.00,4
2015,-500.00,3
2015,-300.00,3
2015,-205.00,3
2015,-75.00,3
2015,205.00,3
2015,-105.00,2
2015,-100.00,2
2015,75.00,2
2015,-661.38,1
2015,-189.00,1
2015,-187.50,1
2015,-157.50,1
2015,157.50,1
2015,187.50,1
2015,189.00,1
2015,210.00,1
2015,250.00,1
2015,600.00,1
2015,661.38,1
