balance,reserve_count
-250.00,15
500.00,15
-500.00,13
-0.02,12
-205.00,11
205.00,11
-82.50,9
24.38,9
-175.00,8
-75.00,7
175.00,6
250.00,6
-100.00,5
82.50,5
-300.00,4
-200.00,4
75.00,4
97.50,4
-367.50,3
-140.00,3
200.00,3
-682.50,2
-484.69,2
-420.00,2
-357.50,2
-231.00,2
-160.87,2
-160.00,2
-137.56,2
-105.00,2
-90.00,2
48.76,2
93.94,2
165.00,2
231.00,2
600.00,2
-906.00,1
-690.10,1
-690.00,1
-661.38,1
-568.53,1
-390.00,1
-219.42,1
-195.00,1
-192.50,1
-189.00,1
-187.88,1
-187.50,1
-157.50,1
-97.52,1
-78.75,1
-70.00,1
-55.00,1
-50.00,1
-0.04,1
55.00,1
70.00,1
78.75,1
82.49,1
100.00,1
150.00,1
157.50,1
160.00,1
180.00,1
187.50,1
189.00,1
192.50,1
195.00,1
210.00,1
275.12,1
371.74,1
400.00,1
420.00,1
568.53,1
661.38,1
715.00,1
750.00,1
757.50,1
1102.50,1
1365.00,1
1380.00,1
1469.38,1
