reserve_number,alms_sum,lms_sum,alms_count,lms_count,sum_mismatch,count_mismatch,amount_profile_mismatch,key_profile_mismatch,alms_duplicate_key,same_error_pattern
005741,0.00,78.75,0,1,1,1,1,1,0,1
005713,731.00,231.00,3,2,1,1,1,1,0,1
005760,0.00,205.00,0,1,1,1,1,1,0,1
005714,309.75,231.00,3,2,1,1,1,1,0,1
005677,425.00,370.00,2,2,1,0,1,1,0,1
005838,0.00,175.00,0,1,1,1,1,1,0,1
005940,350.00,250.00,2,1,1,1,1,1,0,1
005944,0.00,250.00,0,1,1,1,1,1,0,1
005947,370.00,270.00,2,1,1,1,1,1,0,1
005943,396.25,221.25,3,2,1,1,1,1,0,1
005958,500.00,250.00,2,1,1,1,1,1,0,1
005927,3521.00,3726.00,4,5,1,1,1,1,0,1
005982,438.50,643.50,1,2,1,1,1,1,0,1
005924,0.00,205.00,0,1,1,1,1,1,0,1
005972,500.00,250.00,2,1,1,1,1,1,0,1
006027,634.00,429.00,3,2,1,1,1,1,0,1
005842,938.75,1138.75,2,4,1,1,1,1,0,1
006013,410.00,205.00,2,1,1,1,1,1,0,1
006063,250.00,500.00,1,2,1,1,1,1,0,1
006065,895.00,645.00,2,1,1,1,1,1,0,1
006157,711.25,911.25,2,3,1,1,1,1,0,1
006179,582.50,500.00,2,1,1,1,1,1,0,1
006199,0.00,175.00,0,1,1,1,1,1,0,1
006217,515.00,265.00,2,1,1,1,1,1,0,1
005814,497.00,702.00,1,2,1,1,1,1,0,1
005565,1480.00,1980.00,2,3,1,1,1,1,0,1
005909,1277.50,1072.50,3,2,1,1,1,1,0,1
006211,769.25,569.25,4,3,1,1,1,1,0,1
006264,758.50,553.50,3,2,1,1,1,1,0,1
006327,415.00,240.00,2,1,1,1,1,1,0,1
006336,345.00,550.00,1,2,1,1,1,1,0,1
006421,674.00,499.00,4,3,1,1,1,1,0,1
006473,1156.00,250.00,2,1,1,1,1,1,0,1
006080,1854.90,1354.90,4,3,1,1,1,1,0,1
006490,0.00,82.50,0,1,1,1,1,1,0,1
006493,1137.06,1705.59,2,3,1,1,1,1,0,1
006497,450.00,250.00,2,1,1,1,1,1,0,1
006518,878.28,309.75,2,1,1,1,1,1,0,1
006547,165.00,82.50,2,1,1,1,1,1,0,1
006555,647.80,822.80,1,2,1,1,1,1,0,1
006589,262.00,62.00,3,2,1,1,1,1,0,1
006310,522.00,1022.00,1,2,1,1,1,1,0,1
006318,-150.00,250.00,2,4,1,1,1,1,0,1
006581,358.75,183.75,3,2,1,1,1,1,0,1
006612,312.38,517.38,1,2,1,1,1,1,0,1
006073,1433.50,1228.50,3,2,1,1,1,1,0,1
006665,-82.49,0.01,1,2,1,1,1,1,0,1
006688,0.00,231.00,0,1,1,1,1,1,0,1
006735,165.00,82.50,2,1,1,1,1,1,0,1
006691,817.91,612.91,3,2,1,1,1,1,0,1
006747,0.00,82.50,0,1,1,1,1,1,0,1
006748,462.00,231.00,2,1,1,1,1,1,0,1
006795,165.00,82.50,2,1,1,1,1,1,0,1
006780,469.44,386.94,3,2,1,1,1,1,0,1
006839,340.00,840.00,1,2,1,1,1,1,0,1
006881,1882.41,1382.41,3,2,1,1,1,1,0,1
006895,589.00,429.00,2,1,1,1,1,1,0,1
006897,242.50,82.50,2,1,1,1,1,1,0,1
006729,2108.85,2268.85,9,10,1,1,1,1,0,1
007095,1002.60,312.60,3,2,1,1,1,1,0,1
007040,335.92,835.92,2,3,1,1,1,1,0,1
006822,0.00,165.00,0,2,1,1,1,1,0,1
006824,82.50,165.00,1,2,1,1,1,1,0,1
