split_group_id,receipt_date,vendor_name,split_group_total,group_sum,variance,row_count,receipt_ids,status
938,2019-01-09,RUN'N ON EMPTY,28.05,28.05,0.00,2,"938,939",balanced
940,2019-01-09,FAS GAS,45.96,125.96,80.00,3,"940,941,943",mismatch
971,2019-01-21,RUN'N ON EMPTY,67.18,67.18,0.00,2,"971,972",balanced
979,2019-01-24,RUN'N ON EMPTY,126.98,126.98,0.00,2,"979,980",balanced
992,2019-02-03,RUN'N ON EMPTY,49.15,49.15,0.00,2,"992,993",balanced
995,2019-02-06,RUN'N ON EMPTY,36.39,36.39,0.00,2,"995,996",balanced
1004,2019-02-09,ESSO,40.28,40.28,0.00,2,"1004,1005",balanced
1022,2019-02-20,FAS GAS,34.90,34.90,0.00,2,"1022,1023",balanced
1031,2019-02-23,BURNT LAKE GAS/LIQUOR SERVICES,65.81,65.81,0.00,2,"1031,1032",balanced
1044,2019-02-26,RUN'N ON EMPTY,62.75,62.50,-0.25,2,"1044,1045",mismatch
1053,2019-03-03,RUN'N ON EMPTY,33.05,33.05,0.00,2,"1053,1054",balanced
1056,2019-03-04,PETRO-CANADA,31.69,31.69,0.00,2,"1056,1057",balanced
1058,2019-03-05,FAS GAS,36.75,36.75,0.00,2,"1058,1059",balanced
1062,2019-03-07,RUN'N ON EMPTY,64.85,64.85,0.00,2,"1062,1063",balanced
1101,2019-03-15,ESSO,139.40,139.40,0.00,2,"1101,1102",balanced
1122,2019-03-19,RUN'N ON EMPTY,59.55,59.55,0.00,2,"1122,1123",balanced
1135,2019-03-25,RUN'N ON EMPTY,59.80,59.80,0.00,2,"1135,1136",balanced
1138,2019-03-28,RUN'N ON EMPTY,59.80,59.80,0.00,2,"1138,1139",balanced
1157,2019-04-13,FAS GAS,72.65,72.65,0.00,2,"1157,1158",balanced
1195,2019-05-02,FAS GAS,12.93,12.93,0.00,2,"1195,1196",balanced
1212,2019-05-08,RUN'N ON EMPTY,78.74,78.74,0.00,2,"1212,1213",balanced
1222,2019-05-11,FAS GAS,77.66,67.66,-10.00,2,"1222,1223",mismatch
1229,2019-05-14,RUN'N ON EMPTY,58.61,58.61,0.00,2,"1229,1230",balanced
1238,2019-05-16,RUN'N ON EMPTY,48.35,41.61,-6.74,1,1238,mismatch
1278,2019-05-27,RUN'N ON EMPTY,66.40,66.40,0.00,2,"1278,1279",balanced
1304,2019-06-06,FAS GAS,52.34,52.34,0.00,2,"1304,1305",balanced
1314,2019-06-11,RUN'N ON EMPTY,83.02,83.02,0.00,2,"1314,1315",balanced
1321,2019-06-14,RUN'N ON EMPTY,135.30,135.30,0.00,2,"1321,1322",balanced
1329,2019-06-15,SPRINGS LIQUOR STORE SERVICES,106.25,106.00,-0.25,2,"1329,1330",mismatch
1353,2019-06-22,FAS GAS,36.66,20.00,-16.66,1,1353,mismatch
1365,2019-06-25,RUN'N ON EMPTY,71.90,174.44,102.54,4,"1365,1366,1367,1368",mismatch
1428,2019-07-19,PLENTY OF LIQUOR,50.52,50.52,0.00,2,"1428,1429",balanced
1434,2019-07-20,RUN'N ON EMPTY,134.11,134.11,0.00,2,"1434,1435",balanced
1466,2019-08-10,RUN'N ON EMPTY,134.85,134.85,0.00,2,"1466,1467",balanced
1481,2019-08-16,RUN'N ON EMPTY,40.43,40.43,0.00,2,"1485,1486",balanced
1483,2019-08-16,PLENTY OF LIQUOR,18.71,18.71,0.00,2,"1483,1484",balanced
1515,2019-08-29,RUN'N ON EMPTY,89.40,89.40,0.00,2,"1515,1516",balanced
1527,2019-08-31,RUN'N ON EMPTY,177.06,177.06,0.00,2,"1527,1528",balanced
1537,2019-09-06,RUN'N ON EMPTY,54.57,54.56,-0.01,2,"1537,1538",balanced
1558,2019-09-12,BURNT LAKE GAS/LIQUOR SERVICES,28.15,28.15,0.00,2,"1558,1559",balanced
1575,2019-09-18,RUN'N ON EMPTY,84.88,84.88,0.00,2,"1575,1576",balanced
1579,2019-09-22,FAS GAS,59.25,19.25,-40.00,1,1580,mismatch
1618,2019-10-14,FAS GAS,24.25,34.25,10.00,2,"1618,1619",mismatch
1701,2019-11-22,RUN'N ON EMPTY,76.43,76.43,0.00,2,"1701,1702",balanced
1747,2019-12-17,RUN'N ON EMPTY,30.25,29.75,-0.50,2,"1747,1748",mismatch
