receipt_id,receipt_date,vendor_name,amount,split_group_total,description,banking_transaction_id,split_group_id,split_key,source_reference,created_at
956,2019-01-14,RUN'N ON EMPTY,100.00,,SPLIT/115.38,41575,,,excel_row_43_bd3306ab,2025-10-09 07:07:33.810647-06
957,2019-01-15,RUN'N ON EMPTY,14.65,,SPLIT/115.39,,,,excel_row_44_bbef2e51,2025-10-09 07:07:33.810647-06
1042,2019-02-26,FAS GAS,2.95,,SPLIT/32.95,,,,excel_row_129_a56730ac,2025-10-09 07:07:33.810647-06
1143,2019-03-29,FAS GAS,5.95,,SPLIT/65.95,36001,,,excel_row_230_2f042f37,2025-10-09 07:07:33.810647-06
1165,2019-04-19,FAS GAS,14.01,,SPLIT/34.01,,,,excel_row_252_fa831c6a,2025-10-09 07:07:33.810647-06
1250,2019-05-20,FAS GAS,16.00,,SPLIT/36.00,40965,,,excel_row_337_1db4fdf9,2025-10-09 07:07:33.810647-06
1283,2019-05-28,RUN'N ON EMPTY,7.60,,SPLIT/48.6,,,,excel_row_370_885ce6fb,2025-10-09 07:07:33.810647-06
1501,2019-08-21,7-ELEVEN,18.00,,SPLIT/38.00,,,,excel_row_588_867e9cd3,2025-10-09 07:07:33.810647-06
1629,2019-10-25,RUN'N ON EMPTY,31.00,,SPLIT/34.5,,,,excel_row_716_663d5ec3,2025-10-09 07:07:33.810647-06
1753,2019-12-20,FAS GAS,17.10,,SPLIT/33.99,,,,excel_row_840_3f97e027,2025-10-09 07:07:33.810647-06
