reserve_number,charter_date,grand_total,alms_payment_totals,alms_balance,lms_single_amount,lms_key,lms_last_updated
005958,2012-03-12,250.00,500.00,-250.00,250.00,0007684,2013-02-28 12:57:35
005924,2012-03-24,205.00,0.00,205.00,205.00,0005632,2012-02-28 16:26:49
005972,2012-03-30,250.00,500.00,-250.00,250.00,0005734,2012-04-01 18:40:27
006013,2012-03-31,205.00,410.00,-205.00,205.00,0005720,2012-03-26 16:37:22
006065,2012-04-07,645.00,895.00,-250.00,645.00,0005775,2012-04-12 17:09:38
006179,2012-05-05,500.00,582.50,-82.50,500.00,0006766,2012-10-11 14:36:31
006199,2012-05-12,175.00,0.00,175.00,175.00,0005919,2012-05-18 15:25:21
006217,2012-05-23,265.00,515.00,-250.00,265.00,0005975,2012-06-04 15:29:21
006327,2012-06-08,240.00,415.00,-175.00,240.00,0006036,2012-06-11 16:12:46
006473,2012-07-13,250.00,1156.00,-906.00,250.00,0006232,2012-07-16 15:55:58
006490,2012-07-18,82.50,0.00,82.50,82.50,0006263,2012-07-18 10:43:08
006497,2012-07-20,250.00,450.00,-200.00,250.00,0006278,2012-07-20 19:49:02
006518,2012-07-30,309.75,878.28,-568.53,309.75,0006447,2012-08-17 11:36:45
006547,2012-08-01,82.50,165.00,-82.50,82.50,0006362,2012-08-01 11:57:40
006688,2012-09-04,231.00,0.00,231.00,231.00,0006567,2012-09-05 16:34:34
006735,2012-09-14,82.50,165.00,-82.50,82.50,0006640,2012-09-19 14:37:54
006747,2012-09-19,82.50,0.00,82.50,82.50,0006641,2012-09-19 14:59:44
006748,2012-09-21,231.00,462.00,-231.00,231.00,0006672,2012-09-25 15:20:00
006795,2012-09-28,82.50,165.00,-82.50,82.50,0006690,2012-09-28 14:27:03
006895,2012-10-19,429.00,589.00,-160.00,429.00,0006818,2012-10-23 03:22:18
006897,2012-10-20,82.50,242.50,-160.00,82.50,0006831,2012-10-23 15:54:06
007233,2012-12-14,200.00,282.50,-82.50,200.00,0007258,2012-12-19 04:44:24
007511,2013-02-09,82.50,0.00,82.50,82.50,0007529,2013-02-11 16:04:21
007536,2013-02-09,48.76,0.00,48.76,48.76,0007788,2013-03-25 12:16:45
007421,2013-02-14,97.50,0.00,97.50,97.50,0007788,2013-03-25 12:16:45
007422,2013-02-14,97.50,0.00,97.50,97.50,0007788,2013-03-25 12:16:45
007423,2013-02-14,97.50,0.00,97.50,97.50,0007788,2013-03-25 12:16:45
007424,2013-02-14,48.76,0.00,48.76,48.76,0007788,2013-03-25 12:16:45
007537,2013-02-14,97.50,0.00,97.50,97.50,0007788,2013-03-25 12:16:45
007554,2013-02-15,24.38,0.00,24.38,24.38,0007789,2013-03-25 12:17:37
007557,2013-02-15,97.50,487.50,-390.00,97.50,0007789,2013-03-25 12:17:37
007566,2013-02-19,24.38,0.00,24.38,24.38,0007789,2013-03-25 12:17:37
007576,2013-02-19,24.38,0.00,24.38,24.38,0007789,2013-03-25 12:17:37
007577,2013-02-20,24.38,0.00,24.38,24.38,0007789,2013-03-25 12:17:37
007578,2013-02-20,24.38,0.00,24.38,24.38,0007789,2013-03-25 12:17:37
007583,2013-02-21,24.38,0.00,24.38,24.38,0007789,2013-03-25 12:17:37
007584,2013-02-21,24.38,0.00,24.38,24.38,0007789,2013-03-25 12:17:37
007585,2013-02-22,24.38,0.00,24.38,24.38,0007789,2013-03-25 12:17:37
007586,2013-02-22,24.38,0.00,24.38,24.38,0007789,2013-03-25 12:17:37
007593,2013-02-22,82.50,165.00,-82.50,82.50,0007617,2013-02-22 09:46:10
007597,2013-02-23,48.76,146.28,-97.52,48.76,0007789,2013-03-25 12:17:37
007642,2013-03-04,24.38,243.80,-219.42,24.38,0007790,2013-03-25 12:21:39
007830,2013-04-19,82.50,0.00,82.50,82.50,0007898,2013-04-19 10:59:16
007850,2013-04-23,82.50,165.00,-82.50,82.50,0007912,2013-04-23 12:32:46
007852,2013-04-26,192.50,0.00,192.50,192.50,0008020,2013-05-21 16:45:19
007932,2013-05-19,500.00,1000.00,-500.00,500.00,0008011,2013-05-21 15:32:49
007951,2013-05-24,231.00,0.00,231.00,231.00,0008041,2013-05-25 13:19:41
008039,2013-06-08,565.00,922.50,-357.50,565.00,0008115,2013-06-08 21:10:52
008163,2013-07-18,175.00,0.00,175.00,175.00,0008298,2013-07-12 19:22:40
008050,2013-07-27,500.00,1000.00,-500.00,500.00,0008129,2013-06-11 11:11:41
008055,2013-08-14,231.00,462.00,-231.00,231.00,0008144,2013-06-12 15:13:45
008782,2013-11-29,93.94,281.82,-187.88,93.94,0009111,2013-12-27 10:27:58
008784,2013-11-30,93.94,0.00,93.94,93.94,0008968,2013-12-03 09:52:56
008785,2013-11-30,93.94,0.00,93.94,93.94,0008967,2013-12-03 09:51:57
008519,2013-12-21,234.49,484.49,-250.00,234.49,0009101,2013-12-23 14:07:26
008920,2013-12-31,70.00,0.00,70.00,70.00,0009152,2014-01-02 12:05:45
009030,2014-01-24,160.00,320.87,-160.87,160.00,0009286,2014-01-29 15:26:46
009441,2014-05-03,75.76,443.26,-367.50,75.76,0009656,2014-05-02 10:36:18
009442,2014-05-03,75.76,443.26,-367.50,75.76,0009657,2014-05-02 10:41:45
009770,2014-07-12,400.88,650.88,-250.00,400.88,0010030,2014-07-14 10:21:34
009909,2014-08-23,205.00,410.00,-205.00,205.00,0010198,2014-08-21 16:00:32
010099,2014-10-04,100.00,200.00,-100.00,100.00,0010405,2014-10-06 13:44:59
010299,2014-11-05,75.67,213.23,-137.56,75.67,0010576,2014-11-05 13:01:37
010305,2014-11-14,488.48,738.48,-250.00,488.48,0010609,2014-11-12 15:32:17
010395,2014-11-28,85.00,225.00,-140.00,85.00,0010689,2014-11-25 13:36:00
010396,2014-11-28,75.00,215.00,-140.00,75.00,0010690,2014-11-25 13:39:15
010397,2014-11-29,477.77,617.77,-140.00,477.77,0010691,2014-11-26 10:13:59
010700,2015-01-27,661.38,0.00,661.38,661.38,0011142,2015-02-23 13:12:39
010844,2015-02-25,661.38,1322.76,-661.38,661.38,0011260,2015-03-20 11:05:07
010867,2015-02-28,630.00,880.00,-250.00,630.00,0011170,2015-03-02 10:59:05
010906,2015-03-10,231.00,481.00,-250.00,231.00,0011214,2015-03-10 10:41:22
011401,2015-07-18,111.30,211.30,-100.00,111.30,0011777,2015-07-20 12:36:18
011458,2015-07-18,204.75,304.75,-100.00,204.75,0011768,2015-07-17 15:15:57
011609,2015-08-18,187.50,375.00,-187.50,187.50,0011978,2015-09-08 14:04:07
011969,2015-12-01,157.50,0.00,157.50,157.50,0012347,2015-12-03 10:43:46
