transaction_id,transaction_date,debit_amount,description,vendor_extracted,category,check_number,account_number,duplicate_flag,match_notes
69282,2012-08-28,3446.02,WCB payment,WORKERS COMPENSATION BOARD,5305,,903990106011,UNIQUE,RECEIPT_MATCH: receipt_id=145312 WCB reimbursement 3446.02
100367,2016-07-29,500.00,BANK WITHDRAWAL,,,,0228362,UNIQUE,
100368,2016-12-21,50.00,RUN'N ON EMPTY,,,,0228362,UNIQUE,
100387,2017-06-12,1995.70,CAVALCADE AUTO,,,,0228362,UNIQUE,
98292,2017-06-16,47.00,LIQUOR BARN,,,,0228362,LIKELY_DUPLICATE,
100390,2017-06-16,47.00,LIQUOR BARN,,,,0228362,LIKELY_DUPLICATE,
98291,2017-06-16,81.91,LIQUOR BARN,,,,0228362,LIKELY_DUPLICATE,
100391,2017-06-16,81.91,LIQUOR BARN,,,,0228362,LIKELY_DUPLICATE,
98324,2017-06-23,28.54,LIQUOR BARN,,,,0228362,LIKELY_DUPLICATE,
100394,2017-06-23,28.54,LIQUOR BARN,,,,0228362,LIKELY_DUPLICATE,
98319,2017-06-23,86.93,LIQUOR BARN,,,,0228362,LIKELY_DUPLICATE,
100397,2017-06-23,86.93,LIQUOR BARN,,,,0228362,LIKELY_DUPLICATE,
98317,2017-06-23,89.77,LIQUOR BARN,,,,0228362,LIKELY_DUPLICATE,
100399,2017-06-23,89.77,LIQUOR BARN,,,,0228362,LIKELY_DUPLICATE,
98316,2017-06-23,97.76,LIQUOR BARN,,,,0228362,LIKELY_DUPLICATE,
100400,2017-06-23,97.76,LIQUOR BARN,,,,0228362,LIKELY_DUPLICATE,
98323,2017-06-23,171.87,LIQUOR BARN,,,,0228362,LIKELY_DUPLICATE,
100395,2017-06-23,171.87,LIQUOR BARN,,,,0228362,LIKELY_DUPLICATE,
98318,2017-06-23,173.62,LIQUOR BARN,,,,0228362,LIKELY_DUPLICATE,
100398,2017-06-23,173.62,LIQUOR BARN,,,,0228362,LIKELY_DUPLICATE,
100404,2017-06-29,800.00,NORTHLAND RADIATOR,,,,0228362,UNIQUE,
100405,2017-07-04,81.57,BOSTON PIZZA,,,,0228362,UNIQUE,
98339,2017-07-04,93.64,LIQUOR BARN,,,,0228362,LIKELY_DUPLICATE,
