cp_id,action,old_reserve,new_reserve,amount,payment_key,old_payment_date,new_payment_date,new_source
7216,same_reserve_cleanup,006834,006834,0.01,0006742,2025-07-24,2012-10-09,lms_relink_batch5_same_key_reserve_20260410
7479,same_reserve_cleanup,007062,007062,0.01,0007016,2025-07-24,2012-11-20,lms_relink_batch5_same_key_reserve_20260410
23121,same_reserve_cleanup,018817,018817,480.0,0021499,2025-07-24,2024-09-18,lms_relink_batch5_same_key_reserve_20260410
23134,same_reserve_cleanup,018883,018883,861.0,0021506,2025-07-24,2024-09-19,lms_relink_batch5_same_key_reserve_20260410
23148,same_reserve_cleanup,018853,018853,57.45,0021502,2025-07-24,2024-09-18,lms_relink_batch5_same_key_reserve_20260410
23159,same_reserve_cleanup,018543,018543,152.25,0021522,2025-07-24,2024-09-24,lms_relink_batch5_same_key_reserve_20260410
23179,same_reserve_cleanup,018892,018892,630.0,0021527,2025-07-24,2024-09-26,lms_relink_batch5_same_key_reserve_20260410
23183,same_reserve_cleanup,018852,018852,462.0,0021528,2025-07-24,2024-09-30,lms_relink_batch5_same_key_reserve_20260410
23188,same_reserve_cleanup,018856,018856,330.25,0021525,2025-07-24,2024-09-26,lms_relink_batch5_same_key_reserve_20260410
23189,same_reserve_cleanup,018856,018856,232.31,0021530,2025-07-24,2024-09-30,lms_relink_batch5_same_key_reserve_20260410
23191,same_reserve_cleanup,018858,018858,75.0,0021521,2025-07-24,2024-09-24,lms_relink_batch5_same_key_reserve_20260410
23196,same_reserve_cleanup,018910,018910,300.0,0021552,2025-07-24,2024-10-08,lms_relink_batch5_same_key_reserve_20260410
23198,same_reserve_cleanup,018860,018860,75.0,0021478,2025-07-24,2024-09-11,lms_relink_batch5_same_key_reserve_20260410
23202,same_reserve_cleanup,018902,018902,320.0,0021535,2025-07-24,2024-10-02,lms_relink_batch5_same_key_reserve_20260410
23213,same_reserve_cleanup,018861,018861,782.55,0021480,2025-07-24,2024-09-12,lms_relink_batch5_same_key_reserve_20260410
23215,same_reserve_cleanup,018914,018914,500.0,0021555,2025-07-24,2024-10-09,lms_relink_batch5_same_key_reserve_20260410
23216,same_reserve_cleanup,018914,018914,500.0,0021560,2025-07-24,2024-10-10,lms_relink_batch5_same_key_reserve_20260410
23217,same_reserve_cleanup,018905,018905,774.0,0021547,2025-07-24,2024-10-07,lms_relink_batch5_same_key_reserve_20260410
23219,same_reserve_cleanup,018889,018889,720.0,0021556,2025-07-24,2024-10-09,lms_relink_batch5_same_key_reserve_20260410
23220,same_reserve_cleanup,018917,018917,500.0,0021558,2025-07-24,2024-10-10,lms_relink_batch5_same_key_reserve_20260410
23221,same_reserve_cleanup,018922,018922,270.0,0021577,2025-07-24,2024-10-18,lms_relink_batch5_same_key_reserve_20260410
23226,same_reserve_cleanup,018923,018923,500.0,0021567,2025-07-24,2024-10-16,lms_relink_batch5_same_key_reserve_20260410
23229,same_reserve_cleanup,018680,018680,2225.5,0021563,2025-07-24,2024-10-14,lms_relink_batch5_same_key_reserve_20260410
23230,same_reserve_cleanup,018680,018680,500.0,0021570,2025-07-24,2024-10-16,lms_relink_batch5_same_key_reserve_20260410
23232,same_reserve_cleanup,018890,018890,337.5,0021524,2025-07-24,2024-09-25,lms_relink_batch5_same_key_reserve_20260410
23234,same_reserve_cleanup,018890,018890,226.8,0021574,2025-07-24,2024-10-17,lms_relink_batch5_same_key_reserve_20260410
23246,same_reserve_cleanup,018869,018869,500.0,0021572,2025-07-24,2024-10-16,lms_relink_batch5_same_key_reserve_20260410
23247,same_reserve_cleanup,018936,018936,232.31,0021579,2025-07-24,2024-10-22,lms_relink_batch5_same_key_reserve_20260410
23255,same_reserve_cleanup,018871,018871,262.5,0021491,2025-07-24,2024-09-16,lms_relink_batch5_same_key_reserve_20260410
23258,same_reserve_cleanup,018919,018919,300.0,0021582,2025-07-24,2024-10-21,lms_relink_batch5_same_key_reserve_20260410
23259,same_reserve_cleanup,018919,018919,615.0,0021590,2025-07-24,2024-10-24,lms_relink_batch5_same_key_reserve_20260410
23263,same_reserve_cleanup,018921,018921,400.0,0021585,2025-07-24,2024-10-23,lms_relink_batch5_same_key_reserve_20260410
23272,same_reserve_cleanup,018961,018961,107.81,0021612,2025-07-24,2024-11-01,lms_relink_batch5_same_key_reserve_20260410
23273,same_reserve_cleanup,018943,018943,1159.6,0021594,2025-07-24,2024-10-25,lms_relink_batch5_same_key_reserve_20260410
23279,same_reserve_cleanup,018933,018933,75.0,0021614,2025-07-24,2024-11-04,lms_relink_batch5_same_key_reserve_20260410
23280,same_reserve_cleanup,018960,018960,75.0,0021615,2025-07-24,2024-11-04,lms_relink_batch5_same_key_reserve_20260410
