cp_id,old_reserve,new_reserve,payment_key,old_payment_date,new_payment_date,reason
5885,005677,005656,0005377,2025-07-24,2012-01-02,AGGRESSIVE_KEY_SINGLE_OTHER
5940,005565,005713,0005455,2025-07-24,2012-01-18,AGGRESSIVE_KEY_SINGLE_OTHER
6064,005656,005677,0005351,2025-07-24,2011-12-27,AGGRESSIVE_KEY_SINGLE_OTHER
6127,005842,005940,0005648,2025-07-24,2012-03-06,AGGRESSIVE_KEY_SINGLE_OTHER
6133,005842,005947,0005647,2025-07-24,2012-03-06,AGGRESSIVE_KEY_SINGLE_OTHER
6247,006311,006065,0005775,2025-07-24,2012-04-12,AGGRESSIVE_KEY_SINGLE_OTHER
6350,006824,006179,0006766,2025-07-24,2012-10-11,AGGRESSIVE_KEY_SINGLE_OTHER
6423,006063,006217,0005975,2025-07-24,2012-06-04,AGGRESSIVE_KEY_SINGLE_OTHER
6477,006157,006211,0006074,2025-07-24,2012-06-19,AGGRESSIVE_KEY_SINGLE_OTHER
6528,005715,006327,0006036,2025-07-24,2012-06-11,AGGRESSIVE_KEY_SINGLE_OTHER
6755,006341,006473,0006232,2025-07-24,2012-07-16,AGGRESSIVE_KEY_SINGLE_OTHER
6796,006318,006497,0006278,2025-07-24,2012-07-20,AGGRESSIVE_KEY_SINGLE_OTHER
6852,006493,006518,0006447,2025-07-24,2012-08-17,AGGRESSIVE_KEY_SINGLE_OTHER
6897,006318,006589,0006415,2025-07-24,2012-08-13,AGGRESSIVE_KEY_SINGLE_OTHER
7088,006710,006708,0006597,2025-07-24,2012-09-11,AGGRESSIVE_KEY_SINGLE_OTHER
7197,006822,006780,0006765,2025-07-24,2012-10-11,AGGRESSIVE_KEY_SINGLE_OTHER
7316,006729,006895,0006818,2025-07-24,2012-10-23,AGGRESSIVE_KEY_SINGLE_OTHER
7344,016843,006897,0006831,2025-07-24,2012-10-23,AGGRESSIVE_KEY_SINGLE_OTHER
7575,006997,007095,0007064,2025-07-24,2012-11-26,AGGRESSIVE_KEY_SINGLE_OTHER
7723,006822,007233,0007258,2025-07-24,2012-12-19,AGGRESSIVE_KEY_SINGLE_OTHER
7789,007282,006958,0007279,2025-07-24,2012-12-21,AGGRESSIVE_KEY_SINGLE_OTHER
7795,007110,007149,0007195,2025-07-24,2012-12-10,AGGRESSIVE_KEY_SINGLE_OTHER
7808,007110,007282,0007332,2025-07-24,2012-12-29,AGGRESSIVE_KEY_SINGLE_OTHER
7812,007282,006713,0007280,2025-07-24,2012-12-21,AGGRESSIVE_KEY_SINGLE_OTHER
8171,007568,007612,0007694,2025-07-24,2013-03-02,AGGRESSIVE_KEY_SINGLE_OTHER
8226,007568,006946,0007739,2025-07-24,2013-03-15,AGGRESSIVE_KEY_SINGLE_OTHER
8621,006997,008017,0008130,2025-07-24,2013-06-11,AGGRESSIVE_KEY_SINGLE_OTHER
8627,007939,008039,0008115,2025-07-24,2013-06-08,AGGRESSIVE_KEY_SINGLE_OTHER
8844,007939,008026,0008102,2025-07-24,2013-06-06,AGGRESSIVE_KEY_SINGLE_OTHER
9655,008779,008876,0009099,2025-07-24,2013-12-23,AGGRESSIVE_KEY_SINGLE_OTHER
9669,008779,008518,0009100,2025-07-24,2013-12-23,AGGRESSIVE_KEY_SINGLE_OTHER
9671,008779,008519,0009101,2025-07-24,2013-12-23,AGGRESSIVE_KEY_SINGLE_OTHER
9691,008779,008822,0009102,2025-07-24,2013-12-23,AGGRESSIVE_KEY_SINGLE_OTHER
9829,008940,009030,0009286,2025-07-24,2014-01-29,AGGRESSIVE_KEY_SINGLE_OTHER
9849,008940,009010,0009285,2025-07-24,2014-01-29,AGGRESSIVE_KEY_SINGLE_OTHER
9856,008858,009008,0009301,2025-07-24,2014-01-31,AGGRESSIVE_KEY_SINGLE_OTHER
10080,009161,009312,0009530,2025-07-24,2014-04-03,AGGRESSIVE_KEY_SINGLE_OTHER
10150,009161,009391,0009614,2025-07-24,2014-04-23,AGGRESSIVE_KEY_SINGLE_OTHER
10186,009363,009431,0009655,2025-07-24,2014-05-01,AGGRESSIVE_KEY_SINGLE_OTHER
10189,009363,009442,0009657,2025-07-24,2014-05-02,AGGRESSIVE_KEY_SINGLE_OTHER
10191,009363,009441,0009656,2025-07-24,2014-05-02,AGGRESSIVE_KEY_SINGLE_OTHER
10234,009161,009344,0009551,2025-07-24,2014-04-09,AGGRESSIVE_KEY_SINGLE_OTHER
10385,009134,009583,0009820,2025-07-24,2014-06-03,AGGRESSIVE_KEY_SINGLE_OTHER
10396,009134,009582,0009819,2025-07-24,2014-06-03,AGGRESSIVE_KEY_SINGLE_OTHER
10607,009734,009770,0010030,2025-07-24,2014-07-14,AGGRESSIVE_KEY_SINGLE_OTHER
10632,009763,009485,0010054,2025-07-24,2014-07-17,AGGRESSIVE_KEY_SINGLE_OTHER
10707,009763,009829,0010115,2025-07-24,2014-07-31,AGGRESSIVE_KEY_SINGLE_OTHER
11209,010060,010299,0010576,2025-07-24,2014-11-05,AGGRESSIVE_KEY_SINGLE_OTHER
11240,009734,010305,0010609,2025-07-24,2014-11-12,AGGRESSIVE_KEY_SINGLE_OTHER
11256,010060,010316,0010578,2025-07-24,2014-11-05,AGGRESSIVE_KEY_SINGLE_OTHER
11339,010061,010395,0010689,2025-07-24,2014-11-25,AGGRESSIVE_KEY_SINGLE_OTHER
11340,010061,010396,0010690,2025-07-24,2014-11-25,AGGRESSIVE_KEY_SINGLE_OTHER
11383,010061,010397,0010691,2025-07-24,2014-11-26,AGGRESSIVE_KEY_SINGLE_OTHER
11862,008858,008988,0009233,2025-07-24,2014-01-21,AGGRESSIVE_KEY_SINGLE_OTHER
11887,009734,010867,0011170,2025-07-24,2015-03-02,AGGRESSIVE_KEY_SINGLE_OTHER
11924,010399,010906,0011214,2025-07-24,2015-03-10,AGGRESSIVE_KEY_SINGLE_OTHER
12164,010399,010910,0011215,2025-07-24,2015-03-10,AGGRESSIVE_KEY_SINGLE_OTHER
12191,011087,011049,0011329,2025-07-24,2015-04-09,AGGRESSIVE_KEY_SINGLE_OTHER
12263,011251,011268,0011553,2025-07-24,2015-06-01,AGGRESSIVE_KEY_SINGLE_OTHER
12439,011087,011123,0011678,2025-07-24,2015-06-27,AGGRESSIVE_KEY_SINGLE_OTHER
12528,011121,011401,0011777,2025-07-24,2015-07-20,AGGRESSIVE_KEY_SINGLE_OTHER
12539,011121,011458,0011768,2025-07-24,2015-07-17,AGGRESSIVE_KEY_SINGLE_OTHER
12803,011251,011521,0011994,2025-07-24,2015-09-14,AGGRESSIVE_KEY_SINGLE_OTHER
13638,012304,012194,0012802,2025-07-24,2016-04-22,AGGRESSIVE_KEY_SINGLE_OTHER
