cp_id,reserve,amount,old_payment_date,new_payment_date,old_payment_method,new_payment_method,old_payment_key,new_payment_key,old_source,new_source,clear_payment_client,reason
2448,012607,168.0,2025-07-24,2016-07-29,bank_transfer,unknown,0013448,0013148,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
2782,007204,97.5,2025-07-24,2012-12-10,bank_transfer,unknown,0007500,0007205,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
2786,007206,0.01,2025-07-24,2012-12-10,bank_transfer,unknown,0007502,0007207,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
2788,007205,0.01,2025-07-24,2012-12-10,bank_transfer,unknown,0007501,0007206,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
2928,003314,100.0,2025-07-24,2010-02-16,bank_transfer,unknown,0002842,0002897,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
2929,006026,300.0,2025-07-24,2013-02-15,bank_transfer,unknown,0007650,0007559,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
3000,007159,250.0,2025-07-24,2012-12-05,bank_transfer,unknown,0007553,0007146,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
3040,005816,315.59,2025-07-24,2013-02-15,bank_transfer,unknown,0007649,0007559,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
3438,005970,300.0,2025-07-24,2013-02-15,bank_transfer,unknown,0007649,0007559,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
3793,007174,150.0,2025-07-24,2012-12-06,bank_transfer,unknown,0007558,0007152,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
3796,006332,207.9,2025-07-24,2012-12-06,bank_transfer,unknown,0007558,0007153,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
4093,006995,573.75,2025-07-24,2012-12-08,bank_transfer,unknown,0007578,0007175,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
4124,007464,102.45,2025-07-24,2013-02-16,bank_transfer,unknown,0007683,0007586,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
4125,007187,231.0,2025-07-24,2012-12-07,bank_transfer,unknown,0007571,0007168,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
4128,007185,925.0,2025-07-24,2012-12-07,bank_transfer,unknown,0007571,0007167,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
4136,007383,263.0,2025-07-24,2013-02-15,bank_transfer,unknown,0007666,0007577,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
4195,007176,234.0,2025-07-24,2012-12-06,bank_transfer,unknown,0007561,0007157,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
4203,005746,231.0,2025-07-24,2012-01-19,bank_transfer,unknown,0005449,0005468,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
4208,005766,75.0,2025-07-24,2012-01-18,bank_transfer,unknown,0005449,0005467,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
4239,007552,229.5,2025-07-24,2013-02-15,bank_transfer,unknown,0007657,0007568,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
4379,006245,213.0,2025-07-24,2013-02-15,bank_transfer,unknown,0007644,0007557,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
4447,006108,115.0,2025-07-24,2013-02-15,bank_transfer,unknown,0007643,0007556,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
4557,006993,198.75,2025-07-24,2012-12-08,bank_transfer,unknown,0007580,0007177,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
4562,005764,205.0,2025-07-24,2012-01-18,bank_transfer,unknown,0005448,0005466,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
4572,006992,292.5,2025-07-24,2012-12-08,bank_transfer,unknown,0007580,0007178,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
4574,007156,341.24,2025-07-24,2012-12-09,bank_transfer,unknown,0007580,0007179,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
4575,007155,373.77,2025-07-24,2012-12-09,bank_transfer,unknown,0007580,0007179,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
4581,007152,285.0,2025-07-24,2012-12-10,bank_transfer,unknown,0007580,0007180,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
4582,006010,198.0,2025-07-24,2013-02-15,bank_transfer,unknown,0007652,0007563,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
4584,007193,480.0,2025-07-24,2012-12-10,bank_transfer,unknown,0007580,0007182,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
4585,007193,404.53,2025-07-24,2012-12-10,bank_transfer,unknown,0007580,0007181,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
4589,007191,262.5,2025-07-24,2012-12-10,bank_transfer,unknown,0007580,0007183,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
4616,007192,469.53,2025-07-24,2012-12-10,bank_transfer,unknown,0007580,0007184,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
4617,007195,0.01,2025-07-24,2012-12-10,bank_transfer,unknown,0007580,0007185,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
