cp_id,old_reserve,new_reserve,amount,old_payment_date,new_payment_date,old_payment_method,new_payment_method,payment_key,source,clear_payment_client,reason
6274,007127,007215,0.01,2025-07-24,2013-01-09,bank_transfer,unknown,0007379,charter_reconciliation_report,True,MULTIKEY_AMOUNT_UNIQUE_RESERVE
7680,007128,007215,0.01,2025-07-24,2013-01-09,bank_transfer,unknown,0007379,charter_reconciliation_report,True,MULTIKEY_AMOUNT_UNIQUE_RESERVE
7701,007129,007215,0.01,2025-07-24,2013-01-09,bank_transfer,unknown,0007379,charter_reconciliation_report,True,MULTIKEY_AMOUNT_UNIQUE_RESERVE
7754,007132,007215,0.01,2025-07-24,2013-01-09,bank_transfer,unknown,0007379,charter_reconciliation_report,True,MULTIKEY_AMOUNT_UNIQUE_RESERVE
8104,007536,007597,48.76,2025-07-24,2013-03-25,bank_transfer,unknown,0007789,charter_reconciliation_report,True,MULTIKEY_AMOUNT_UNIQUE_RESERVE
8139,007422,007557,97.5,2025-07-24,2013-03-25,bank_transfer,unknown,0007789,charter_reconciliation_report,True,MULTIKEY_AMOUNT_UNIQUE_RESERVE
8141,007537,007557,97.5,2025-07-24,2013-03-25,bank_transfer,unknown,0007789,charter_reconciliation_report,True,MULTIKEY_AMOUNT_UNIQUE_RESERVE
8156,007421,007557,97.5,2025-07-24,2013-03-25,bank_transfer,unknown,0007789,charter_reconciliation_report,True,MULTIKEY_AMOUNT_UNIQUE_RESERVE
8159,007424,007597,48.76,2025-07-24,2013-03-25,bank_transfer,unknown,0007789,charter_reconciliation_report,True,MULTIKEY_AMOUNT_UNIQUE_RESERVE
8162,007423,007557,97.5,2025-07-24,2013-03-25,bank_transfer,unknown,0007789,charter_reconciliation_report,True,MULTIKEY_AMOUNT_UNIQUE_RESERVE
8164,007554,007642,24.38,2025-07-24,2013-03-25,bank_transfer,unknown,0007790,charter_reconciliation_report,True,MULTIKEY_AMOUNT_UNIQUE_RESERVE
8166,007566,007642,24.38,2025-07-24,2013-03-25,bank_transfer,unknown,0007790,charter_reconciliation_report,True,MULTIKEY_AMOUNT_UNIQUE_RESERVE
8172,007576,007642,24.38,2025-07-24,2013-03-25,bank_transfer,unknown,0007790,charter_reconciliation_report,True,MULTIKEY_AMOUNT_UNIQUE_RESERVE
8189,007578,007642,24.38,2025-07-24,2013-03-25,bank_transfer,unknown,0007790,charter_reconciliation_report,True,MULTIKEY_AMOUNT_UNIQUE_RESERVE
8191,007577,007642,24.38,2025-07-24,2013-03-25,bank_transfer,unknown,0007790,charter_reconciliation_report,True,MULTIKEY_AMOUNT_UNIQUE_RESERVE
8194,007583,007642,24.38,2025-07-24,2013-03-25,bank_transfer,unknown,0007790,charter_reconciliation_report,True,MULTIKEY_AMOUNT_UNIQUE_RESERVE
8195,007584,007642,24.38,2025-07-24,2013-03-25,bank_transfer,unknown,0007790,charter_reconciliation_report,True,MULTIKEY_AMOUNT_UNIQUE_RESERVE
8217,007585,007642,24.38,2025-07-24,2013-03-25,bank_transfer,unknown,0007790,charter_reconciliation_report,True,MULTIKEY_AMOUNT_UNIQUE_RESERVE
8220,007586,007642,24.38,2025-07-24,2013-03-25,bank_transfer,unknown,0007790,charter_reconciliation_report,True,MULTIKEY_AMOUNT_UNIQUE_RESERVE
9427,008785,008782,93.94,2025-07-24,2013-12-27,bank_transfer,unknown,0009111,charter_reconciliation_report,True,MULTIKEY_AMOUNT_UNIQUE_RESERVE
9437,008784,008782,93.94,2025-07-24,2013-12-27,bank_transfer,unknown,0009111,charter_reconciliation_report,True,MULTIKEY_AMOUNT_UNIQUE_RESERVE
12553,011406,011609,187.5,2025-07-24,2015-09-08,bank_transfer,unknown,0011978,charter_reconciliation_report,True,MULTIKEY_AMOUNT_UNIQUE_RESERVE
15064,013102,013228,75.0,2025-07-24,2017-09-11,bank_transfer,unknown,0014175,charter_reconciliation_report,True,MULTIKEY_AMOUNT_UNIQUE_RESERVE
15981,013709,013941,29.0,2025-07-24,2018-07-09,bank_transfer,unknown,0015011,charter_reconciliation_report,True,MULTIKEY_AMOUNT_UNIQUE_RESERVE
17493,014730,014893,960.0,2025-07-24,2019-11-27,bank_transfer,unknown,0016434,charter_reconciliation_report,True,MULTIKEY_AMOUNT_UNIQUE_RESERVE
19108,015904,016227,205.0,2025-07-24,2021-12-05,bank_transfer,unknown,0017975,charter_reconciliation_report,True,MULTIKEY_AMOUNT_UNIQUE_RESERVE
20044,016568,016911,270.0,2025-07-24,2022-07-20,bank_transfer,unknown,0018842,charter_reconciliation_report,True,MULTIKEY_AMOUNT_UNIQUE_RESERVE
20460,016850,017104,360.0,2025-07-24,2022-10-24,bank_transfer,unknown,0019193,charter_reconciliation_report,True,MULTIKEY_AMOUNT_UNIQUE_RESERVE
20492,017776,018135,360.0,2025-07-24,2023-11-01,bank_transfer,unknown,0020539,charter_reconciliation_report,True,MULTIKEY_AMOUNT_UNIQUE_RESERVE
20746,016915,017264,200.0,2025-07-24,2022-12-02,bank_transfer,unknown,0019337,charter_reconciliation_report,True,MULTIKEY_AMOUNT_UNIQUE_RESERVE
22164,017820,018163,300.0,2025-07-24,2023-11-15,bank_transfer,unknown,0020586,charter_reconciliation_report,True,MULTIKEY_AMOUNT_UNIQUE_RESERVE
22280,017889,018247,300.0,2025-07-24,2024-01-01,bank_transfer,unknown,0020733,charter_reconciliation_report,True,MULTIKEY_AMOUNT_UNIQUE_RESERVE
23089,018177,018664,500.0,2025-07-24,2024-06-07,bank_transfer,unknown,0021168,charter_reconciliation_report,True,MULTIKEY_AMOUNT_UNIQUE_RESERVE
23136,018875,018876,583.13,2025-07-24,2024-09-23,bank_transfer,unknown,0021514,charter_reconciliation_report,True,MULTIKEY_AMOUNT_UNIQUE_RESERVE
23387,018635,019021,500.0,2025-07-24,2024-11-29,bank_transfer,unknown,0021693,charter_reconciliation_report,True,MULTIKEY_AMOUNT_UNIQUE_RESERVE
23587,019135,019136,461.5,2025-07-24,2025-02-21,bank_transfer,unknown,0021922,charter_reconciliation_report,True,MULTIKEY_AMOUNT_UNIQUE_RESERVE
23802,018619,019013,553.5,2025-07-24,2024-11-27,bank_transfer,unknown,0021683,charter_reconciliation_report,True,MULTIKEY_AMOUNT_UNIQUE_RESERVE
23808,018617,019013,553.5,2025-07-24,2024-11-27,bank_transfer,unknown,0021683,charter_reconciliation_report,True,MULTIKEY_AMOUNT_UNIQUE_RESERVE
23813,018618,019013,553.5,2025-07-24,2024-11-27,bank_transfer,unknown,0021683,charter_reconciliation_report,True,MULTIKEY_AMOUNT_UNIQUE_RESERVE
24015,019104,019106,361.0,2025-07-24,2025-07-02,bank_transfer,unknown,0022280,charter_reconciliation_report,True,MULTIKEY_AMOUNT_UNIQUE_RESERVE
24019,019104,019105,369.0,2025-07-24,2025-07-02,bank_transfer,unknown,0022280,charter_reconciliation_report,True,MULTIKEY_AMOUNT_UNIQUE_RESERVE
