cp_id,reserve,amount,payment_date,payment_key,category,key_target_info
2928,003314,100.0,2025-07-24,0002842,KEY_SINGLE_OTHER,003261
4946,006341,906.0,2025-07-24,0007642,KEY_SINGLE_OTHER,004997
5259,005322,500.0,2025-07-24,0004833,KEY_SINGLE_OTHER,005113
5262,006311,250.0,2025-07-24,0007665,KEY_SINGLE_OTHER,005217
5348,005234,173.25,2025-07-24,0004914,KEY_SINGLE_OTHER,005274
5404,005188,300.0,2025-07-24,0004916,KEY_SINGLE_OTHER,004819
5408,005362,500.0,2025-07-24,0004981,KEY_SINGLE_OTHER,005332
5443,005384,500.0,2025-07-24,0005009,KEY_SINGLE_OTHER,005351
5508,005396,175.0,2025-07-24,0005079,KEY_SINGLE_OTHER,005417
5535,005407,205.0,2025-07-24,0005085,KEY_SINGLE_OTHER,005420
5554,005409,500.0,2025-07-24,0005087,KEY_SINGLE_OTHER,005423
5568,005473,205.0,2025-07-24,0005159,KEY_SINGLE_OTHER,005470
5618,005446,205.0,2025-07-24,0005135,KEY_SINGLE_OTHER,005462
5647,005264,68.25,2025-07-24,0005247,KEY_SINGLE_OTHER,005507
5700,005272,500.0,2025-07-24,0005114,KEY_SINGLE_OTHER,005443
5795,005265,68.25,2025-07-24,0005246,KEY_SINGLE_OTHER,005587
5810,005322,1040.0,2025-07-24,0005485,KEY_SINGLE_OTHER,005651
5827,005715,175.0,2025-07-24,0005401,KEY_SINGLE_OTHER,005669
5863,005675,205.0,2025-07-24,0005376,KEY_SINGLE_OTHER,005686
