cp_id,reserve,amount,payment_date,payment_key,category,key_target_info,amount_matches_on_current_reserve
2928,003314,100.0,2025-07-24,0002842,KEY_SINGLE_OTHER,003261,1
4946,006341,906.0,2025-07-24,0007642,KEY_SINGLE_OTHER,004997,2
5259,005322,500.0,2025-07-24,0004833,KEY_SINGLE_OTHER,005113,1
5262,006311,250.0,2025-07-24,0007665,KEY_SINGLE_OTHER,005217,2
5348,005234,173.25,2025-07-24,0004914,KEY_SINGLE_OTHER,005274,1
5404,005188,300.0,2025-07-24,0004916,KEY_SINGLE_OTHER,004819,1
5408,005362,500.0,2025-07-24,0004981,KEY_SINGLE_OTHER,005332,1
5443,005384,500.0,2025-07-24,0005009,KEY_SINGLE_OTHER,005351,1
5508,005396,175.0,2025-07-24,0005079,KEY_SINGLE_OTHER,005417,1
5535,005407,205.0,2025-07-24,0005085,KEY_SINGLE_OTHER,005420,1
5554,005409,500.0,2025-07-24,0005087,KEY_SINGLE_OTHER,005423,1
5568,005473,205.0,2025-07-24,0005159,KEY_SINGLE_OTHER,005470,1
5614,005516,1287.0,2025-07-24,0005208,KEY_MULTI_EXCLUDES_SAME,005505|005506,1
5618,005446,205.0,2025-07-24,0005135,KEY_SINGLE_OTHER,005462,1
5647,005264,68.25,2025-07-24,0005247,KEY_SINGLE_OTHER,005507,1
5656,008040,157.3,2025-07-24,0008264,KEY_MULTI_EXCLUDES_SAME,005549|005559|005606|005607|007916|007917,2
5664,008040,143.0,2025-07-24,0008264,KEY_MULTI_EXCLUDES_SAME,005549|005559|005606|005607|007916|007917,2
5700,005272,500.0,2025-07-24,0005114,KEY_SINGLE_OTHER,005443,1
5795,005265,68.25,2025-07-24,0005246,KEY_SINGLE_OTHER,005587,1
5810,005322,1040.0,2025-07-24,0005485,KEY_SINGLE_OTHER,005651,1
5827,005715,175.0,2025-07-24,0005401,KEY_SINGLE_OTHER,005669,2
5863,005675,205.0,2025-07-24,0005376,KEY_SINGLE_OTHER,005686,1
5885,005677,150.0,2025-07-24,0005377,KEY_SINGLE_OTHER,005656,1
5940,005565,500.0,2025-07-24,0005455,KEY_SINGLE_OTHER,005713,1
6064,005656,205.0,2025-07-24,0005351,KEY_SINGLE_OTHER,005677,1
6127,005842,100.0,2025-07-24,0005648,KEY_SINGLE_OTHER,005940,2
6133,005842,100.0,2025-07-24,0005647,KEY_SINGLE_OTHER,005947,2
6247,006311,250.0,2025-07-24,0005775,KEY_SINGLE_OTHER,006065,2
6350,006824,82.5,2025-07-24,0006766,KEY_SINGLE_OTHER,006179,2
6423,006063,250.0,2025-07-24,0005975,KEY_SINGLE_OTHER,006217,2
6477,006157,200.0,2025-07-24,0006074,KEY_SINGLE_OTHER,006211,2
