cp_id,reserve,amount,old_key,old_date,targets_for_old_key,manual_reason
5827,005715,175.00,0005401,2025-07-24,005669,NO_SAFE_IN_SCOPE_AUTO_MATCH
7972,007504,65.00,0007613,2025-07-24,007351|007392|007406|007407|007408|007409|007410|007411|007412|007413|007414|007415|007417|007418|007427|007434|007437|007438|007444|007445|007451|007455|007456|007459|007460,NO_SAFE_IN_SCOPE_AUTO_MATCH
5656,008040,157.30,0008264,2025-07-24,005549|005559|005606|005607|007916|007917,NO_SAFE_IN_SCOPE_AUTO_MATCH
5664,008040,143.00,0008264,2025-07-24,005549|005559|005606|005607|007916|007917,NO_SAFE_IN_SCOPE_AUTO_MATCH
10459,009733,175.00,0010036,2025-07-24,009648|009651|009652|009657|009694|009696|009706,NO_SAFE_IN_SCOPE_AUTO_MATCH
10571,009733,175.00,0010053,2025-07-24,009726|009727|009728,NO_SAFE_IN_SCOPE_AUTO_MATCH
12557,011121,100.00,0011778,2025-07-24,011471|011472,NO_SAFE_IN_SCOPE_AUTO_MATCH
13549,012140,75.00,0012814,2025-07-24,012292|012293|012294|012295|012296|012297|012298|012299|012338,NO_SAFE_IN_SCOPE_AUTO_MATCH
13561,012144,75.00,0012814,2025-07-24,012292|012293|012294|012295|012296|012297|012298|012299|012338,NO_SAFE_IN_SCOPE_AUTO_MATCH
13826,012228,250.00,0012982,2025-07-24,012525|012526,NO_SAFE_IN_SCOPE_AUTO_MATCH
13593,012267,127.20,0012814,2025-07-24,012292|012293|012294|012295|012296|012297|012298|012299|012338,NO_SAFE_IN_SCOPE_AUTO_MATCH
15513,013354,75.20,0014580,2025-07-24,013636|013637|013638|013639|013650|013651|013652|013653,NO_SAFE_IN_SCOPE_AUTO_MATCH
16513,013369,360.00,0015532,2025-07-24,013573|014289,NO_SAFE_IN_SCOPE_AUTO_MATCH
16207,013690,1240.00,0015236,2025-07-24,014131|014132,NO_SAFE_IN_SCOPE_AUTO_MATCH
16256,013881,200.00,0015205,2025-07-24,014101|014103,NO_SAFE_IN_SCOPE_AUTO_MATCH
16424,013881,200.00,0015211,2025-07-24,014100|014102,NO_SAFE_IN_SCOPE_AUTO_MATCH
17557,014466,220.00,0016498,2025-07-24,015072|015073,NO_SAFE_IN_SCOPE_AUTO_MATCH
17181,014468,162.00,0016151,2025-07-24,014807|014808,NO_SAFE_IN_SCOPE_AUTO_MATCH
17175,014469,162.00,0016151,2025-07-24,014807|014808,NO_SAFE_IN_SCOPE_AUTO_MATCH
12356,015275,262.50,0017187,2025-07-24,011353|011356|011357|011358|011360|011364|011374|011375,NO_SAFE_IN_SCOPE_AUTO_MATCH
19314,016042,234.00,0018163,2025-07-24,016404|016405,NO_SAFE_IN_SCOPE_AUTO_MATCH
20102,016107,250.00,0018276,2025-07-24,,NO_SAFE_IN_SCOPE_AUTO_MATCH
19686,016312,180.00,0018569,2025-07-24,016703|016731,NO_SAFE_IN_SCOPE_AUTO_MATCH
20923,017108,200.00,0019582,2025-07-24,017444|017445,NO_SAFE_IN_SCOPE_AUTO_MATCH
22244,017108,200.00,0019603,2025-07-24,017466|017467,NO_SAFE_IN_SCOPE_AUTO_MATCH
21835,017140,0.00,0020381,2025-07-24,017957|017958,NO_SAFE_IN_SCOPE_AUTO_MATCH
21205,017400,300.00,0019929,2025-07-24,017695|017696|017697|017698,NO_SAFE_IN_SCOPE_AUTO_MATCH
21617,017657,210.00,0020270,2025-07-24,017746|017747,NO_SAFE_IN_SCOPE_AUTO_MATCH
22412,017943,830.25,0020851,2025-07-24,018331|018332|018333|018334|018335|018336|018337|018338|018339|018340|018341|018342|018343|018344,NO_SAFE_IN_SCOPE_AUTO_MATCH
22871,018257,500.00,0021290,2025-07-24,018596|018597|018754,NO_SAFE_IN_SCOPE_AUTO_MATCH
24112,019538,369.00,0022353,2025-07-24,,NO_SAFE_IN_SCOPE_AUTO_MATCH
