Reserve Number,Charter ID,Charter Date,Status,Total Billed,Charges (itemized),Total Paid,Payments (itemized),Balance Owing
007341,6278,2013-01-10,closed,43.89,2026-03-03 17:28:56.010309: $33.44; 2026-03-03 17:28:56.010309: $1.67; 2026-03-03 17:28:56.010309: $6.69; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $2.09,43.88,2025-07-24: $43.88 (bank_transfer),0.01
007391,6327,2013-01-22,closed,579.67,2026-03-03 17:28:56.010309: $484.45; 2026-03-03 17:28:56.010309: $24.22; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $43.40; 2026-03-03 17:28:56.010309: $27.60,579.66,2025-07-24: $579.66 (bank_transfer),0.01
003314,2278,2012-10-01,closed,100.00,2026-03-03 17:28:56.010309: $495.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $24.75; 2026-03-03 17:28:56.010309: $-419.75,100.00,2025-07-24: $100.00 (bank_transfer),0.00
005188,4142,2012-09-10,closed,407.81,2026-03-03 17:28:56.010309: $272.72; 2026-03-03 17:28:56.010309: $13.64; 2026-03-03 17:28:56.010309: $98.54; 2026-03-03 17:28:56.010309: $13.64; 2026-03-03 17:28:56.010309: $9.27,407.81,2025-07-24: $300.00 (bank_transfer); 2025-07-24: $107.81 (bank_transfer),0.00
005234,4188,2012-06-02,closed,802.64,2026-03-03 17:28:56.010309: $660.00; 2026-03-03 17:28:56.010309: $66.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $43.64; 2026-03-03 17:28:56.010309: $33.00,802.64,2025-07-24: $173.25 (bank_transfer); 2025-07-24: $629.39 (bank_transfer),0.00
005264,4217,2012-01-25,closed,231.00,2026-03-03 17:28:56.010309: $210.00; 2026-03-03 17:28:56.010309: $10.50; 2026-03-03 17:28:56.010309: $10.50,231.00,2025-07-24: $68.25 (bank_transfer); 2025-07-24: $162.75 (bank_transfer),0.00
005265,4218,2012-03-08,closed,231.00,2026-03-03 17:28:56.010309: $210.00; 2026-03-03 17:28:56.010309: $10.50; 2026-03-03 17:28:56.010309: $10.50,231.00,2025-07-24: $68.25 (bank_transfer); 2025-07-24: $162.75 (bank_transfer),0.00
005272,4225,2012-05-26,closed,1080.00,2026-03-03 17:28:56.010309: $900.00; 2026-03-03 17:28:56.010309: $90.00; 2026-03-03 17:28:56.010309: $45.00; 2026-03-03 17:28:56.010309: $45.00,1080.00,2025-07-24: $500.00 (bank_transfer); 2025-07-24: $580.00 (bank_transfer),0.00
005322,4275,2012-02-02,closed,1540.00,2026-03-03 17:28:56.010309: $1400.00; 2026-03-03 17:28:56.010309: $70.00; 2026-03-03 17:28:56.010309: $70.00,1540.00,2025-07-24: $500.00 (bank_transfer); 2025-07-24: $1040.00 (bank_transfer),0.00
005362,4314,2012-07-21,closed,1234.60,2026-03-03 17:28:56.010309: $1000.00; 2026-03-03 17:28:56.010309: $100.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $94.60; 2026-03-03 17:28:56.010309: $50.00; 2026-03-03 17:28:56.010309: $-10.00,1234.60,2025-07-24: $500.00 (bank_transfer); 2025-07-24: $734.60 (bank_transfer),0.00
005384,4335,2012-08-18,closed,1620.00,2026-03-03 17:28:56.010309: $1350.00; 2026-03-03 17:28:56.010309: $135.00; 2026-03-03 17:28:56.010309: $67.50; 2026-03-03 17:28:56.010309: $67.50,1620.00,2025-07-24: $500.00 (bank_transfer); 2025-07-24: $1120.00 (bank_transfer),0.00
005396,4347,2012-02-14,closed,1107.50,2026-03-03 17:28:56.010309: $768.18; 2026-03-03 17:28:56.010309: $250.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $38.41; 2026-03-03 17:28:56.010309: $50.91,1107.50,2025-07-24: $175.00 (bank_transfer); 2025-07-24: $932.50 (bank_transfer),0.00
005407,4358,2012-05-19,closed,1089.00,2026-03-03 17:28:56.010309: $990.00; 2026-03-03 17:28:56.010309: $49.50; 2026-03-03 17:28:56.010309: $49.50,1089.00,2025-07-24: $884.00 (bank_transfer); 2025-07-24: $205.00 (bank_transfer),0.00
005409,4360,2012-08-04,closed,1500.04,2026-03-03 17:28:56.010309: $1170.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $117.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $154.54; 2026-03-03 17:28:56.010309: $58.50,1500.04,2025-07-24: $500.00 (bank_transfer); 2025-07-24: $62.70 (bank_transfer); 2025-07-24: $845.50 (bank_transfer); 2025-07-24: $91.84 (bank_transfer),0.00
005410,4361,2012-07-07,closed,1235.67,2026-03-03 17:28:56.010309: $975.00; 2026-03-03 17:28:56.010309: $87.75; 2026-03-03 17:28:56.010309: $48.75; 2026-03-03 17:28:56.010309: $130.42; 2026-03-03 17:28:56.010309: $48.75; 2026-03-03 17:28:56.010309: $-55.00,1235.67,2012-07-02: $893.75 (credit_card); 2012-07-07: $205.00 (credit_card); 2012-07-11: $136.92 (credit_card),0.00
005429,4380,2012-08-04,closed,165.00,2026-03-03 17:28:56.010309: $0.01; 2026-03-03 17:28:56.010309: $157.13; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $7.86,165.00,2025-07-24: $165.00 (bank_transfer),0.00
005446,4397,2012-10-06,closed,1145.75,2026-03-03 17:28:56.010309: $975.00; 2026-03-03 17:28:56.010309: $100.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $22.00; 2026-03-03 17:28:56.010309: $48.75,1145.75,2025-07-24: $205.00 (bank_transfer); 2025-07-24: $818.75 (bank_transfer); 2025-07-24: $122.00 (bank_transfer),0.00
