action,cp_id,payment_id,payment_key,client_name,amount,payment_date,payment_method,source,new_reserve,rule
apply_relink,6450,,0005976,"Short, Chad",250.00,2025-07-24,bank_transfer,charter_reconciliation_report,006242,B_payment_key_exact
apply_relink,7216,,0006742,"Capusten, Bernice",0.01,2025-07-24,bank_transfer,charter_reconciliation_report,006834,B_payment_key_exact
apply_relink,7479,,0007016,"Nelson, Joel",0.01,2025-07-24,bank_transfer,charter_reconciliation_report,007062,B_payment_key_exact
apply_relink,7726,,0007257,Unknown Client,82.50,2025-07-24,bank_transfer,charter_reconciliation_report,007244,B_payment_key_exact
review_only,1259,,0001249,Unknown Client,169.40,2025-07-24,bank_transfer,charter_reconciliation_report,,
review_only,1260,,0001250,Unknown Client,169.40,2025-07-24,bank_transfer,charter_reconciliation_report,,
review_only,6714,,0006044,"Balan, Jason",200.00,2025-07-24,bank_transfer,charter_reconciliation_report,,
review_only,7074,,0006370,"Lawrence, Stephanie",568.53,2025-07-24,bank_transfer,charter_reconciliation_report,,
review_only,22519,,None,Red Deer Funeral Home,170.00,2024-04-09,unknown,charter_reconciliation_report,,
review_only,23509,,None,The Keg,487.80,2025-01-12,credit_card,charter_reconciliation_report,,
review_only,23661,,None,Mahoney AJ,884.25,2025-04-28,credit_card,charter_reconciliation_report,,
review_only,23665,,None,McLaren Braydon,390.00,2025-03-15,credit_card,charter_reconciliation_report,,
review_only,23685,,None,Mannix Dallas,1406.50,2025-06-09,credit_card,charter_reconciliation_report,,
review_only,23756,,None,Crow Brittany,187.72,2025-05-16,credit_card,charter_reconciliation_report,,
review_only,23796,,None,Cade Keshia,994.45,2025-06-03,credit_card,charter_reconciliation_report,,
review_only,23817,,None,Engi Andrew,223.75,2025-05-16,credit_card,charter_reconciliation_report,,
review_only,23890,,Zqx9M7OWNrNqP9xhbroUkluHTRIZY,Costa Chaylene,1736.75,2025-07-10,credit_card,charter_reconciliation_report,,
review_only,23940,,None,Qoute Only,550.00,2025-06-21,credit_card,charter_reconciliation_report,,
review_only,23970,,0022288,Ponoka Stampede & Exhibition A,500.00,2025-07-24,bank_transfer,charter_reconciliation_report,,
review_only,24035,,None,Vanessa Bouma & Connor Powell,500.00,2025-07-29,credit_card,charter_reconciliation_report,,
review_only,24040,,5qBNG5DqhDPX60sltl8T7uUIaUWZY,"Hall, Gordon",320.00,2025-07-05,credit_card,charter_reconciliation_report,,
review_only,24057,,nlXHoyc75JrEtvAJjA87FHNLCjPZY,Lonard Dave,479.70,2025-07-11,credit_card,charter_reconciliation_report,,
review_only,24109,,9oRkpRk5NpoIamkVxViCeg17VCcZY,Johnston Monique,256.00,2025-07-18,credit_card,charter_reconciliation_report,,
review_only,24119,,DX51DU2sCLjNGQYiFdZBdOgrmp5YY,Willams Kara,500.00,2025-07-17,credit_card,charter_reconciliation_report,,
review_only,24139,,RGbmAU1V0ySPGQ9OjebqYqIEHQfZY,Bertschi Delaine,1659.87,2025-07-15,credit_card,charter_reconciliation_report,,
review_only,24151,,1C0qZWy3qIXNnE6S6jc83iolrRQZY,Touchette Mike,712.05,2025-08-01,credit_card,charter_reconciliation_report,,
review_only,24158,,1o5h4kFE6CcEf3waJ2JTzUGp2CPZY,Morin Ashley,2493.25,2025-07-21,credit_card,charter_reconciliation_report,,
review_only,24165,,7fL3hUpKjqvmb1w2stmpbUMvU5EZY,N/A,789.97,2025-08-09,credit_card,charter_reconciliation_report,,
review_only,24167,,None,Janzen Thomas,110.00,2025-08-09,credit_card,charter_reconciliation_report,,
review_only,24168,,None,Janzen Thomas,120.00,2025-08-09,credit_card,charter_reconciliation_report,,
review_only,24170,,lSsAJq4jzULW5teRjZTf2dbjG96YY,N/A,520.00,2025-08-08,credit_card,charter_reconciliation_report,,
review_only,24173,,None,Rodrigue Rod,525.00,2025-08-16,credit_card,charter_reconciliation_report,,
review_only,24175,,Ld0mBcvCOpSk3gVn2lLzxV3XLxRZY,Goodmen Roofing Ltd.,840.00,2025-08-13,credit_card,charter_reconciliation_report,,
review_only,24176,,None,Goodmen Roofing Ltd.,100.00,2025-08-16,credit_card,charter_reconciliation_report,,
review_only,24178,,JwCoxKHG7i6JBezXDGpasRSZidQZY,Rodrigue Rod,791.50,2025-08-14,credit_card,charter_reconciliation_report,,
review_only,24179,,B80dJ8k51WkUBimqp3dl8XFl92IZY,Gaume Kari Anne,150.00,2025-07-22,credit_card,charter_reconciliation_report,,
review_only,24181,,nFT5aCRPYFToSo3EIHjqZsY05z8YY,Gaume Kari Anne,526.50,2025-08-13,credit_card,charter_reconciliation_report,,
review_only,24183,,None,Plouffe Jacob,700.00,2025-08-16,credit_card,charter_reconciliation_report,,
