cp_id,payment_id,client_name,amount,payment_date,payment_method,source,suggested_reserve
25309,,,500.00,2025-05-06,unknown,fix_script,019338
24550,,,300.00,2025-06-27,unknown,fix_script,019469
24273,,,500.00,2025-06-30,unknown,fix_script,019209
24531,25096,,75.00,2025-07-22,unknown,fix_script,019522
25388,25095,,75.00,2025-07-22,unknown,fix_script,019522
24556,25110,,800.00,2025-07-24,unknown,fix_script,010036
24576,25109,,210.00,2025-07-24,unknown,fix_script,016386
24960,,,350.00,2025-08-13,unknown,fix_script,019567
24381,,,500.00,2025-09-03,unknown,fix_script,019589
24706,,,500.00,2025-09-15,unknown,fix_script,019617
24851,,,500.00,2025-09-15,unknown,fix_script,019617
25086,,,500.00,2025-09-15,unknown,fix_script,019617
24665,,,500.00,2025-09-17,unknown,fix_script,019543
24454,,,486.25,2025-10-02,unknown,fix_script,019655
24878,,,895.75,2025-10-02,unknown,fix_script,019590
24535,,,500.00,2025-10-03,unknown,fix_script,019660
24663,,,500.00,2025-10-03,unknown,fix_script,019660
24866,,,660.00,2025-10-03,unknown,fix_script,019659
25380,,,319.80,2025-10-03,unknown,fix_script,019658
25177,,,1122.00,2025-10-04,unknown,fix_script,019662
24439,,,300.00,2025-10-06,unknown,fix_script,019665
24478,,,500.00,2025-10-06,unknown,fix_script,019666
25067,,,720.00,2025-10-06,unknown,fix_script,019663
25114,,,2305.20,2025-10-06,unknown,fix_script,019657
25237,,,369.00,2025-10-06,unknown,fix_script,019655
25348,,,500.00,2025-10-06,unknown,fix_script,019666
24795,,,300.00,2025-10-08,unknown,fix_script,019669
24841,,,231.00,2025-10-08,unknown,fix_script,019630
25020,,,774.00,2025-10-08,unknown,fix_script,019667
25385,,,846.63,2025-10-08,unknown,fix_script,019335
25398,,,300.00,2025-10-08,unknown,fix_script,019669
24239,,,21.00,2025-10-09,unknown,fix_script,019630
25357,,,774.00,2025-10-09,unknown,fix_script,019668
24252,,,1000.00,2025-10-10,unknown,fix_script,019672
24538,,,115.00,2025-10-10,unknown,fix_script,019572
24693,,,312.00,2025-10-14,unknown,fix_script,019675
25049,,,498.15,2025-10-14,unknown,fix_script,019673
25142,,,179.70,2025-10-14,unknown,fix_script,019665
25240,,,791.50,2025-10-14,unknown,fix_script,019617
24498,,,584.25,2025-10-15,unknown,fix_script,019651
24620,,,100.00,2025-10-15,unknown,fix_script,019677
24936,,,500.00,2025-10-15,unknown,fix_script,019678
25005,,,700.35,2025-10-15,unknown,fix_script,019591
24330,,,8.00,2025-10-16,unknown,fix_script,019682
25001,,,500.00,2025-10-16,unknown,fix_script,019638
25317,,,846.00,2025-10-17,unknown,fix_script,019683
25009,,,300.00,2025-10-20,unknown,fix_script,019686
25198,,,345.75,2025-10-20,unknown,fix_script,019646
24497,,,361.25,2025-10-21,unknown,fix_script,019677
25012,,,327.75,2025-10-21,unknown,fix_script,019690
25131,,,349.05,2025-10-21,unknown,fix_script,019689
25159,,,498.15,2025-10-21,unknown,fix_script,019688
25200,,,369.00,2025-10-21,unknown,fix_script,019692
24645,,,300.00,2025-10-22,unknown,fix_script,019694
25163,,,0.01,2025-10-22,unknown,fix_script,019689
24500,,,300.00,2025-10-27,unknown,fix_script,019700
24750,,,1722.00,2025-10-27,unknown,fix_script,019697
24944,,,500.00,2025-10-27,unknown,fix_script,019698
25329,,,323.06,2025-10-27,unknown,fix_script,019679
25361,,,319.80,2025-10-27,unknown,fix_script,019684
25381,,,1439.10,2025-10-28,unknown,fix_script,019695
25110,,,774.00,2025-10-29,unknown,fix_script,019704
24934,,,774.00,2025-10-30,unknown,fix_script,019705
25196,,,621.45,2025-10-30,unknown,fix_script,019699
25311,,,199.50,2025-10-30,unknown,fix_script,019663
24279,,,270.00,2025-10-31,unknown,fix_script,019708
24754,,,948.30,2025-11-02,unknown,fix_script,019711
24653,,,683.63,2025-11-03,unknown,fix_script,019701
24699,,,360.00,2025-11-03,unknown,fix_script,019670
24728,,,304.43,2025-11-03,unknown,fix_script,019711
24898,,,298.76,2025-11-03,unknown,fix_script,019702
24926,,,500.00,2025-11-03,unknown,fix_script,019712
25076,,,542.85,2025-11-03,unknown,fix_script,019710
25296,,,600.24,2025-11-03,unknown,fix_script,019707
24660,,,600.00,2025-11-04,unknown,fix_script,019715
25138,,,400.00,2025-11-04,unknown,fix_script,019716
24583,,,327.75,2025-11-05,unknown,fix_script,019676
25384,,,542.55,2025-11-05,unknown,fix_script,019669
24440,,,1258.00,2025-11-06,unknown,fix_script,019636
