action,id,old_charter_id,new_charter_id,amount,payment_date,payment_method,source
relink,25418,6831,007896,550.00,2013-07-03,Deposit,manual_backfill
relink,25419,6832,007897,468.75,2013-07-03,Deposit,manual_backfill
relink,25420,6833,007898,328.12,2013-07-03,Deposit,manual_backfill
relink,25421,6834,007899,710.94,2013-07-03,Deposit,manual_backfill
relink,25422,6835,007900,1015.62,2013-07-03,Deposit,manual_backfill
relink,25423,6836,007901,550.00,2013-07-03,Deposit,manual_backfill
relink,25424,7623,008696,68.25,2013-11-15,Deposit,manual_backfill
relink,25425,7279,008347,723.71,2013-09-10,Deposit,manual_backfill
relink,25431,8703,009777,175.00,2014-07-14,ETRANSFER,manual_backfill
relink,25432,8703,009777,430.06,2014-08-08,ETRANSFER,manual_backfill
