action,id,old_charter_id,new_charter_id,payment_id,amount,payment_date,payment_method,source
relink_via_payments,2846,001000,002263,2886,4.29,2025-07-24,bank_transfer,charter_reconciliation_report
relink_via_payments,3109,003453,003485,3106,0.06,2025-07-24,bank_transfer,charter_reconciliation_report
relink_via_payments,7088,006629,006710,7035,0.01,2025-07-24,bank_transfer,charter_reconciliation_report
relink_via_payments,16186,013755,014013,16226,225.00,2025-07-24,bank_transfer,charter_reconciliation_report
relink_via_payments,18017,014916,015201,18021,180.00,2025-07-24,bank_transfer,charter_reconciliation_report
relink_via_payments,24112,,019538,24292,369.00,2025-07-24,bank_transfer,charter_reconciliation_report
relink_via_payments,24243,,019640,24479,26.25,2025-02-20,unknown,fix_script
relink_via_payments,24245,,019543,24363,54.33,2025-01-07,unknown,fix_script
relink_via_payments,24247,,019602,24397,231.53,2025-01-22,unknown,fix_script
relink_via_payments,24256,,019596,24383,231.53,2025-01-16,unknown,fix_script
relink_via_payments,24259,,019547,24312,157.50,2024-12-19,unknown,fix_script
relink_via_payments,24260,,019728,24582,293.12,2025-03-11,unknown,fix_script
relink_via_payments,24262,,019636,24476,250.00,2025-02-18,unknown,fix_script
relink_via_payments,24264,,015309,24610,200.00,2025-03-21,unknown,fix_script
relink_via_payments,24265,,019734,24632,75.00,2025-03-31,unknown,fix_script
relink_via_payments,24267,,015802,24671,192.94,2025-04-09,unknown,fix_script
relink_via_payments,24280,,019715,24719,83.12,2025-04-29,unknown,fix_script
relink_via_payments,24282,,019731,24829,300.00,2025-05-29,unknown,fix_script
relink_via_payments,24286,,019391,24297,1607.00,2024-12-16,unknown,fix_script
relink_via_payments,24290,,019630,24456,75.00,2025-02-12,unknown,fix_script
relink_via_payments,24294,,019772,24726,188.03,2025-04-30,unknown,fix_script
relink_via_payments,24298,,019753,24677,104.00,2025-04-11,unknown,fix_script
relink_via_payments,24299,,018780,24645,124.37,2025-04-02,unknown,fix_script
relink_via_payments,24300,,015928,24604,541.12,2025-03-18,unknown,fix_script
relink_via_payments,24301,,019599,24468,250.00,2025-02-14,unknown,fix_script
relink_via_payments,24302,,019646,24490,901.88,2025-02-22,unknown,fix_script
relink_via_payments,24303,,019751,24674,800.00,2025-04-10,unknown,fix_script
relink_via_payments,24307,,019554,24320,250.00,2024-12-23,unknown,fix_script
relink_via_payments,24311,,019739,24652,66.15,2025-04-03,unknown,fix_script
relink_via_payments,24312,,019621,24455,75.00,2025-02-12,unknown,fix_script
relink_via_payments,24313,,019599,24387,771.95,2025-01-19,unknown,fix_script
relink_via_payments,24316,,019524,24408,508.96,2025-01-27,unknown,fix_script
