id,reason,payment_id,charter_id,amount,payment_date,payment_method,source
27461,duplicate_payment_id,6691,006316,375.00,2012-07-17,credit_card,payments_backfill_fix_20260322_remaining
27552,duplicate_payment_id,9923,009010,263.03,2014-01-27,credit_card,payments_backfill_fix_20260322_remaining
25418,unmatched_reserve,,6831,550.00,2013-07-03,Deposit,manual_backfill
25419,unmatched_reserve,,6832,468.75,2013-07-03,Deposit,manual_backfill
25420,unmatched_reserve,,6833,328.12,2013-07-03,Deposit,manual_backfill
25421,unmatched_reserve,,6834,710.94,2013-07-03,Deposit,manual_backfill
25422,unmatched_reserve,,6835,1015.62,2013-07-03,Deposit,manual_backfill
25423,unmatched_reserve,,6836,550.00,2013-07-03,Deposit,manual_backfill
25425,unmatched_reserve,,7279,723.71,2013-09-10,Deposit,manual_backfill
25424,unmatched_reserve,,7623,68.25,2013-11-15,Deposit,manual_backfill
25431,unmatched_reserve,,8703,175.00,2014-07-14,ETRANSFER,manual_backfill
25432,unmatched_reserve,,8703,430.06,2014-08-08,ETRANSFER,manual_backfill
