        table_name        |            column_name             |          data_type          |                        column_default                        | is_nullable 
--------------------------+------------------------------------+-----------------------------+--------------------------------------------------------------+-------------
 charge_catalog           | catalog_id                         | integer                     | nextval('charge_catalog_catalog_id_seq'::regclass)           | NO
 charge_catalog           | charge_code                        | character varying           |                                                              | NO
 charge_catalog           | charge_name                        | character varying           |                                                              | NO
 charge_catalog           | charge_type                        | character varying           |                                                              | NO
 charge_catalog           | default_amount                     | numeric                     | 0.00                                                         | YES
 charge_catalog           | is_taxable                         | boolean                     | true                                                         | YES
 charge_catalog           | is_active                          | boolean                     | true                                                         | YES
 charge_catalog           | display_order                      | integer                     | 0                                                            | YES
 charge_catalog           | created_at                         | timestamp without time zone | CURRENT_TIMESTAMP                                            | YES
 charge_catalog           | updated_at                         | timestamp without time zone | CURRENT_TIMESTAMP                                            | YES
 charge_catalog           | calculation_type                   | character varying           | 'fixed'::character varying                                   | YES
 charge_catalog           | percentage_rate                    | numeric                     | 0.00                                                         | YES
 charges                  | charge_id                          | integer                     | nextval('charges_charge_id_seq'::regclass)                   | NO
 charges                  | reserve_number                     | character varying           |                                                              | NO
 charges                  | charge_type                        | character varying           |                                                              | NO
 charges                  | amount                             | numeric                     |                                                              | NO
 charges                  | description                        | character varying           |                                                              | YES
 charges                  | created_at                         | timestamp without time zone | CURRENT_TIMESTAMP                                            | YES
 charges                  | updated_at                         | timestamp without time zone | CURRENT_TIMESTAMP                                            | YES
 charter_charge_defaults  | id                                 | integer                     | nextval('charter_charge_defaults_id_seq'::regclass)          | NO
 charter_charge_defaults  | charge_name                        | text                        |                                                              | NO
 charter_charge_defaults  | type_label                         | text                        |                                                              | YES
 charter_charge_defaults  | default_amount                     | numeric                     | 0                                                            | YES
 charter_charge_defaults  | is_taxable                         | boolean                     | true                                                         | YES
 charter_charge_defaults  | is_active                          | boolean                     | true                                                         | YES
 charter_charge_defaults  | display_order                      | integer                     | 0                                                            | YES
 charter_charge_defaults  | created_at                         | timestamp without time zone | now()                                                        | YES
 charter_charge_defaults  | updated_at                         | timestamp without time zone | now()                                                        | YES
 charter_charges          | charge_id                          | integer                     | nextval('charter_charges_charge_id_seq'::regclass)           | NO
 charter_charges          | account_number                     | character varying           |                                                              | YES
 charter_charges          | reserve_number                     | character varying           |                                                              | YES
 charter_charges          | charter_id                         | integer                     |                                                              | YES
 charter_charges          | amount                             | numeric                     |                                                              | YES
 charter_charges          | rate                               | numeric                     |                                                              | YES
 charter_charges          | description                        | text                        |                                                              | YES
 charter_charges          | sequence                           | integer                     |                                                              | YES
 charter_charges          | closed                             | boolean                     | false                                                        | YES
 charter_charges          | frozen                             | boolean                     | false                                                        | YES
 charter_charges          | tag                                | character varying           |                                                              | YES
 charter_charges          | note                               | text                        |                                                              | YES
 charter_charges          | last_updated                       | timestamp without time zone |                                                              | YES
 charter_charges          | last_updated_by                    | character varying           |                                                              | YES
 charter_charges          | created_at                         | timestamp without time zone | CURRENT_TIMESTAMP                                            | YES
 charter_charges          | charge_type                        | character varying           | 'other'::character varying                                   | NO
 charter_charges          | category                           | character varying           | 'unspecified'::character varying                             | YES
 charter_charges          | gratuity_type                      | character varying           |                                                              | YES
 charter_charges          | gst_amount                         | numeric                     |                                                              | YES
 charter_charges          | tax_rate                           | numeric                     |                                                              | YES
 charter_run_types        | run_type_id                        | integer                     | nextval('charter_run_types_run_type_id_seq'::regclass)       | NO
 charter_run_types        | run_type_name                      | character varying           |                                                              | NO
 charter_run_types        | display_order                      | integer                     | 100                                                          | YES
 charter_run_types        | is_active                          | boolean                     | true                                                         | YES
 charter_run_types        | created_at                         | timestamp without time zone | now()                                                        | YES
 charter_run_types        | updated_at                         | timestamp without time zone | now()                                                        | YES
 charter_run_types        | description                        | text                        |                                                              | YES
 charter_run_types        | id                                 | integer                     |                                                              | YES
 charter_types            | charter_type_id                    | integer                     | nextval('charter_types_charter_type_id_seq'::regclass)       | NO
 charter_types            | type_code                          | character varying           |                                                              | NO
 charter_types            | type_name                          | character varying           |                                                              | NO
 charter_types            | description                        | text                        |                                                              | YES
 charter_types            | requires_hours                     | boolean                     | true                                                         | YES
 charter_types            | is_active                          | boolean                     | true                                                         | YES
 charter_types            | display_order                      | integer                     | 0                                                            | YES
 charters                 | charter_id                         | integer                     | nextval('charters_charter_id_seq'::regclass)                 | NO
 charters                 | reserve_number                     | character varying           |                                                              | NO
 charters                 | client_id                          | integer                     |                                                              | YES
 charters                 | charter_date                       | date                        |                                                              | YES
 charters                 | pickup_time                        | time without time zone      |                                                              | YES
 charters                 | pickup_address                     | text                        |                                                              | YES
 charters                 | dropoff_address                    | text                        |                                                              | YES
 charters                 | passenger_count                    | integer                     |                                                              | YES
 charters                 | rate                               | numeric                     |                                                              | YES
 charters                 | balance                            | numeric                     |                                                              | YES
 charters                 | payment_totals                     | numeric                     |                                                              | YES
 charters                 | status                             | character varying           |                                                              | YES
 charters                 | created_at                         | timestamp without time zone | CURRENT_TIMESTAMP                                            | YES
 charters                 | updated_at                         | timestamp without time zone | CURRENT_TIMESTAMP                                            | YES
 charters                 | driver_notes                       | text                        |                                                              | YES
 charters                 | client_notes                       | text                        |                                                              | YES
 charters                 | booking_notes                      | text                        |                                                              | YES
 charters                 | total_amount_due                   | numeric                     |                                                              | YES
 charters                 | dispatcher_approved                | boolean                     | false                                                        | YES
 charters                 | driver_base_pay                    | numeric                     |                                                              | YES
 charters                 | driver_gratuity                    | numeric                     | 0.00                                                         | YES
 charters                 | driver_total_expense               | numeric                     |                                                              | YES
 charters                 | expense_calculated_at              | timestamp without time zone |                                                              | YES
 charters                 | odometer_start                     | numeric                     |                                                              | YES
 charters                 | odometer_end                       | numeric                     |                                                              | YES
 charters                 | total_kms                          | numeric                     |                                                              | YES
 charters                 | vehicle_notes                      | text                        |                                                              | YES
 charters                 | is_placeholder                     | boolean                     | false                                                        | NO
 charters                 | default_hourly_price               | numeric                     |                                                              | YES
 charters                 | package_rate                       | numeric                     |                                                              | YES
 charters                 | extra_time_rate                    | numeric                     |                                                              | YES
 charters                 | daily_rate                         | numeric                     |                                                              | YES
 charters                 | airport_pickup_price               | numeric                     |                                                              | YES
 charters                 | employee_id                        | integer                     |                                                              | YES
 charters                 | vehicle_id                         | integer                     |                                                              | YES
 charters                 | client_display_name                | text                        |                                                              | YES
 charters                 | nrd_received                       | boolean                     | false                                                        | YES
 charters                 | nrd_amount                         | numeric                     |                                                              | YES
 charters                 | nrd_method                         | character varying           |                                                              | YES
 charters                 | is_out_of_town                     | boolean                     | false                                                        | YES
 charters                 | float_received                     | numeric                     |                                                              | YES
 charters                 | float_reimbursement_needed         | numeric                     |                                                              | YES
 charters                 | calendar_color                     | character varying           |                                                              | YES
 charters                 | separate_customer_printout         | boolean                     | false                                                        | YES
 charters                 | charter_type                       | character varying           | 'hourly'::character varying                                  | YES
 charters                 | quoted_hours                       | numeric                     | 0.00                                                         | YES
 charters                 | standby_rate                       | numeric                     | 25.00                                                        | YES
 charters                 | calendar_sync_status               | character varying           |                                                              | YES
 charters                 | outlook_entry_id                   | character varying           |                                                              | YES
 charters                 | calendar_notes                     | text                        |                                                              | YES
 charters                 | record_type                        | USER-DEFINED                |                                                              | YES
 charters                 | version                            | integer                     |                                                              | YES
 charters                 | do_time                            | time without time zone      |                                                              | YES
 charters                 | locked                             | boolean                     | false                                                        | NO
 charters                 | account_number                     | character varying           |                                                              | YES
 charters                 | accounting_entry_id                | bigint                      |                                                              | YES
 charters                 | actual_hours                       | numeric                     |                                                              | YES
 charters                 | approved_at                        | timestamp without time zone |                                                              | YES
 charters                 | arrived_at_event_at                | timestamp with time zone    |                                                              | YES
 charters                 | assigned_driver_id                 | integer                     |                                                              | YES
 charters                 | banking_transaction_id             | bigint                      |                                                              | YES
 charters                 | beverage_service_required          | boolean                     | false                                                        | YES
 charters                 | calculated_hours                   | numeric                     |                                                              | YES
 charters                 | cancelled                          | boolean                     | false                                                        | YES
 charters                 | completion_timestamp               | timestamp with time zone    |                                                              | YES
 charters                 | driver                             | character varying           |                                                              | YES
 charters                 | driver_hourly_rate                 | numeric                     | 15.00                                                        | YES
 charters                 | driver_hours_worked                | numeric                     |                                                              | YES
 charters                 | driver_paid                        | boolean                     | false                                                        | YES
 charters                 | duty_log                           | jsonb                       |                                                              | YES
 charters                 | en_route_to_event_at               | timestamp with time zone    |                                                              | YES
 charters                 | fuel_added                         | numeric                     |                                                              | YES
 charters                 | fuel_added_liters                  | numeric                     |                                                              | YES
 charters                 | income_ledger_id                   | bigint                      |                                                              | YES
 charters                 | notes                              | text                        |                                                              | YES
 charters                 | nrd_received_at                    | timestamp with time zone    |                                                              | YES
 charters                 | nrr_amount                         | numeric                     |                                                              | YES
 charters                 | nrr_received                       | boolean                     | false                                                        | YES
 charters                 | off_duty_at                        | timestamp with time zone    |                                                              | YES
 charters                 | on_duty_started_at                 | timestamp with time zone    |                                                              | YES
 charters                 | on_location_at                     | timestamp with time zone    |                                                              | YES
 charters                 | paid_amount                        | numeric                     | 0.00                                                         | YES
 charters                 | passengers_loaded_at               | timestamp with time zone    |                                                              | YES
 charters                 | payment_id                         | bigint                      |                                                              | YES
 charters                 | payment_status                     | character varying           | 'Pending'::character varying                                 | YES
 charters                 | receipt_id                         | bigint                      |                                                              | YES
 charters                 | red_deer_bylaw_exempt              | boolean                     | false                                                        | YES
 charters                 | reservation_time                   | timestamp without time zone |                                                              | YES
 charters                 | return_journey_started_at          | timestamp with time zone    |                                                              | YES
 charters                 | split_run_after_hours              | numeric                     | 0.00                                                         | YES
 charters                 | split_run_before_hours             | numeric                     | 0.00                                                         | YES
 charters                 | vehicle                            | character varying           |                                                              | YES
 charters                 | workshift_end                      | timestamp without time zone |                                                              | YES
 charters                 | workshift_start                    | timestamp without time zone |                                                              | YES
 charters                 | routing_type                       | character varying           | 'regular'::character varying                                 | YES
 charters                 | split_run_enabled                  | boolean                     | false                                                        | YES
 charters                 | split_time_before                  | numeric                     | 0.00                                                         | YES
 charters                 | split_time_after                   | numeric                     | 0.00                                                         | YES
 charters                 | split_run_start_time               | numeric                     | 0.00                                                         | YES
 charters                 | split_run_time                     | numeric                     | 0.00                                                         | YES
 charters                 | split_run_pickup_time              | time without time zone      |                                                              | YES
 charters                 | wait_time_rate                     | numeric                     |                                                              | YES
 charters                 | cart_order_list                    | text                        |                                                              | YES
 charters                 | fuel_gst                           | numeric                     |                                                              | YES
 charters                 | fuel_litres                        | numeric                     |                                                              | YES
 charters                 | fuel_price                         | numeric                     |                                                              | YES
 charters                 | extra_gratuity                     | numeric                     | 0                                                            | YES
 charters                 | gst_permit_number                  | character varying           |                                                              | YES
 charters                 | hourly_rate                        | numeric                     |                                                              | YES
 charters                 | beverage_total                     | numeric                     | 0                                                            | YES
 charters                 | custom_charges                     | jsonb                       |                                                              | YES
 charters                 | gst_amount                         | numeric                     | 0                                                            | YES
 charters                 | grand_total                        | numeric                     | 0                                                            | YES
 charters                 | dropoff_time                       | time without time zone      |                                                              | YES
 charters                 | gratuity_percent                   | numeric                     | 18                                                           | YES
 charters                 | gst_exempt                         | boolean                     | false                                                        | YES
 charters                 | airport_location                   | character varying           |                                                              | YES
 charters                 | charter_fee_type                   | character varying           | 'hourly'::character varying                                  | YES
 charters                 | subtotal                           | numeric                     | 0                                                            | YES
 charters                 | amount_paid                        | numeric                     | 0                                                            | YES
 charters                 | balance_owing                      | numeric                     | 0                                                            | YES
 charters                 | approved_hours                     | numeric                     |                                                              | YES
 charters                 | approved_gratuity                  | numeric                     |                                                              | YES
 charters                 | beverages_separate                 | boolean                     | false                                                        | NO
 charters                 | beverages_purchased                | boolean                     | false                                                        | NO
 charters                 | beverage_purchase_notes            | text                        |                                                              | YES
 charters                 | charter_fee_amount                 | numeric                     |                                                              | YES
 charters                 | gratuity_amount                    | numeric                     |                                                              | YES
 clients                  | client_id                          | integer                     | nextval('clients_client_id_seq'::regclass)                   | NO
 clients                  | account_number                     | character varying           |                                                              | NO
 clients                  | company_name                       | character varying           |                                                              | YES
 clients                  | primary_phone                      | character varying           |                                                              | YES
 clients                  | email                              | character varying           |                                                              | YES
 clients                  | address_line1                      | character varying           |                                                              | YES
 clients                  | city                               | character varying           |                                                              | YES
 clients                  | state                              | character varying           |                                                              | YES
 clients                  | zip_code                           | character varying           |                                                              | YES
 clients                  | balance                            | numeric                     | 0                                                            | YES
 clients                  | credit_limit                       | numeric                     | 0                                                            | YES
 clients                  | discount_percentage                | numeric                     | 0                                                            | YES
 clients                  | discount_flat                      | numeric                     | 0                                                            | YES
 clients                  | gratuity_percentage                | numeric                     | 18.00                                                        | YES
 clients                  | interest_rate                      | numeric                     | 0                                                            | YES
 clients                  | grace_days                         | integer                     | 0                                                            | YES
 clients                  | is_inactive                        | boolean                     | false                                                        | YES
 clients                  | status                             | character varying           | 'active'::character varying                                  | YES
 clients                  | created_at                         | timestamp without time zone | CURRENT_TIMESTAMP                                            | YES
 clients                  | updated_at                         | timestamp without time zone | CURRENT_TIMESTAMP                                            | YES
 clients                  | billing_no                         | character varying           |                                                              | YES
 clients                  | is_gst_exempt                      | boolean                     | false                                                        | YES
 clients                  | exemption_certificate_number       | character varying           |                                                              | YES
 clients                  | exemption_certificate_expiry       | date                        |                                                              | YES
 clients                  | exemption_type                     | character varying           |                                                              | YES
 clients                  | exemption_notes                    | text                        |                                                              | YES
 clients                  | bad_debt_status                    | character varying           | 'current'::character varying                                 | YES
 clients                  | collection_attempts_count          | integer                     | 0                                                            | YES
 clients                  | last_collection_date               | date                        |                                                              | YES
 clients                  | first_overdue_date                 | date                        |                                                              | YES
 clients                  | writeoff_date                      | date                        |                                                              | YES
 clients                  | writeoff_amount                    | numeric                     | 0.00                                                         | YES
 clients                  | bankruptcy_status                  | character varying           | 'none'::character varying                                    | YES
 clients                  | collection_notes                   | text                        |                                                              | YES
 clients                  | bad_debt_reason                    | character varying           | NULL::character varying                                      | YES
 clients                  | recovery_probability               | character varying           | 'high'::character varying                                    | YES
 clients                  | fraud_case_id                      | integer                     |                                                              | YES
 clients                  | client_name                        | text                        |                                                              | YES
 clients                  | lms_customer_number                | text                        |                                                              | YES
 clients                  | qb_customer_id                     | character varying           |                                                              | YES
 clients                  | qb_customer_type                   | character varying           |                                                              | YES
 clients                  | payment_terms                      | character varying           | 'Net 30'::character varying                                  | YES
 clients                  | tax_code                           | character varying           |                                                              | YES
 clients                  | billing_rate_level                 | character varying           |                                                              | YES
 clients                  | sales_tax_code                     | character varying           |                                                              | YES
 clients                  | province                           | character varying           |                                                              | YES
 clients                  | country                            | character varying           | 'Canada'::character varying                                  | YES
 clients                  | warning_flag                       | boolean                     | false                                                        | YES
 clients                  | billing_address                    | character varying           | ''::character varying                                        | YES
 clients                  | contact_info                       | character varying           | ''::character varying                                        | YES
 clients                  | notes                              | text                        | ''::text                                                     | YES
 clients                  | name                               | character varying           |                                                              | YES
 clients                  | phone                              | character varying           |                                                              | YES
 clients                  | address                            | text                        |                                                              | YES
 clients                  | first_name                         | character varying           |                                                              | YES
 clients                  | last_name                          | character varying           |                                                              | YES
 clients                  | cell_phone                         | character varying           |                                                              | YES
 clients                  | home_phone                         | character varying           |                                                              | YES
 clients                  | work_phone                         | character varying           |                                                              | YES
 clients                  | fax_phone                          | character varying           |                                                              | YES
 clients                  | full_name_search                   | text                        |                                                              | YES
 clients                  | corporate_parent_id                | integer                     | 0                                                            | YES
 clients                  | corporate_role                     | character varying           |                                                              | YES
 clients                  | gst_exempt                         | boolean                     | false                                                        | YES
 clients                  | account_type                       | character varying           | 'individual'::character varying                              | YES
 clients                  | is_company                         | boolean                     |                                                              | YES
 clients                  | is_taxable                         | boolean                     | true                                                         | YES
 clients                  | parent_client_id                   | integer                     |                                                              | YES
 clients                  | is_active                          | boolean                     | true                                                         | YES
 clients                  | contract_charter_reserve           | character varying           |                                                              | YES
 drivers                  | driver_id                          | integer                     | nextval('drivers_driver_id_seq'::regclass)                   | NO
 drivers                  | employee_id                        | integer                     |                                                              | YES
 drivers                  | first_name                         | character varying           |                                                              | YES
 drivers                  | last_name                          | character varying           |                                                              | YES
 drivers                  | phone                              | character varying           |                                                              | YES
 drivers                  | email                              | character varying           |                                                              | YES
 drivers                  | license_number                     | character varying           |                                                              | YES
 drivers                  | license_expiry                     | date                        |                                                              | YES
 drivers                  | hire_date                          | date                        |                                                              | YES
 drivers                  | termination_date                   | date                        |                                                              | YES
 drivers                  | status                             | character varying           | 'active'::character varying                                  | YES
 drivers                  | is_active                          | boolean                     | true                                                         | YES
 drivers                  | notes                              | text                        |                                                              | YES
 drivers                  | created_at                         | timestamp without time zone | CURRENT_TIMESTAMP                                            | YES
 drivers                  | updated_at                         | timestamp without time zone | CURRENT_TIMESTAMP                                            | YES
 employees                | employee_id                        | integer                     | nextval('employees_employee_id_seq'::regclass)               | NO
 employees                | employee_number                    | character varying           |                                                              | NO
 employees                | full_name                          | character varying           |                                                              | NO
 employees                | last_name                          | character varying           |                                                              | YES
 employees                | first_name                         | character varying           |                                                              | YES
 employees                | phone                              | character varying           |                                                              | YES
 employees                | cell_phone                         | character varying           |                                                              | YES
 employees                | employee_category                  | character varying           | 'driver'::character varying                                  | YES
 employees                | position                           | character varying           | 'chauffeur'::character varying                               | YES
 employees                | is_chauffeur                       | boolean                     | true                                                         | YES
 employees                | salary                             | numeric                     | 0                                                            | YES
 employees                | tax_exemptions                     | integer                     | 0                                                            | YES
 employees                | deduction_per_voucher              | numeric                     | 0                                                            | YES
 employees                | deduction_radio_dues               | numeric                     | 0                                                            | YES
 employees                | deduction_misc_fees                | numeric                     | 0                                                            | YES
 employees                | status                             | character varying           | 'active'::character varying                                  | YES
 employees                | created_at                         | timestamp without time zone | CURRENT_TIMESTAMP                                            | YES
 employees                | updated_at                         | timestamp without time zone | CURRENT_TIMESTAMP                                            | YES
 employees                | hire_date                          | date                        |                                                              | YES
 employees                | emergency_contact_name             | character varying           |                                                              | YES
 employees                | emergency_contact_phone            | character varying           |                                                              | YES
 employees                | employment_status                  | character varying           | 'active'::character varying                                  | YES
 employees                | compliance_status                  | character varying           | 'unknown'::character varying                                 | YES
 employees                | total_trips                        | integer                     | 0                                                            | YES
 employees                | total_hours                        | numeric                     | 0.00                                                         | YES
 employees                | total_revenue                      | numeric                     | 0.00                                                         | YES
 employees                | profile_updated                    | timestamp without time zone | CURRENT_TIMESTAMP                                            | YES
 employees                | hourly_rate                        | numeric                     | 15.00                                                        | YES
 employees                | rate_effective_date                | date                        | CURRENT_DATE                                                 | YES
 employees                | quickbooks_id                      | character varying           |                                                              | YES
 employees                | name                               | character varying           |                                                              | YES
 employees                | email                              | character varying           |                                                              | YES
 employees                | quickbooks_source                  | character varying           |                                                              | YES
 employees                | t4_sin                             | character varying           |                                                              | YES
 employees                | legacy_name                        | character varying           |                                                              | YES
 employees                | legacy_employee                    | boolean                     | false                                                        | YES
 employees                | street_address                     | character varying           |                                                              | YES
 employees                | city                               | character varying           |                                                              | YES
 employees                | province                           | character varying           | 'AB'::character varying                                      | YES
 employees                | postal_code                        | character varying           |                                                              | YES
 employees                | country                            | character varying           | 'Canada'::character varying                                  | YES
 employees                | driver_license_number              | character varying           |                                                              | YES
 employees                | driver_license_expiry              | date                        |                                                              | YES
 employees                | chauffeur_permit_number            | character varying           |                                                              | YES
 employees                | chauffeur_permit_expiry            | date                        |                                                              | YES
 employees                | salary_deferred                    | numeric                     | 0.00                                                         | YES
 employees                | hourly_pay_rate                    | numeric                     |                                                              | YES
 employees                | gratuity_eligible                  | boolean                     | true                                                         | YES
 employees                | gratuity_percentage                | integer                     | 100                                                          | YES
 employees                | red_deer_compliant                 | boolean                     | false                                                        | YES
 employees                | red_deer_required                  | boolean                     | true                                                         | YES
 employees                | license_class                      | character varying           |                                                              | YES
 employees                | medical_fitness_expiry             | date                        |                                                              | YES
 employees                | vulnerable_sector_check_date       | date                        |                                                              | YES
