code,account_name,cra_balance,alms_balance,delta,status
0228362,,-328322.62,-324263.26,-4059.36,MISMATCH
0952,,0.00,-52704.32,52704.32,EXTRA_IN_ALMS
1000,Assets,-7890.56,-7045.56,-845.00,MISMATCH
1010,Cash & Bank Accounts,-259.09,2939.41,-3198.50,MISMATCH
1011,CIBC Checking 0228362,0.00,0.00,0.00,MATCH
1012,Scotia Bank 903990106011,0.00,0.00,0.00,MATCH
1013,CIBC Merchant Processing 3648117,0.00,0.00,0.00,MATCH
1015,Petty Cash,0.00,0.00,0.00,MATCH
1016,Driver Float Outstanding,0.00,0.00,0.00,MATCH
1018,Undeposited Funds,0.00,0.00,0.00,MATCH
1020,Savings Account,577660.37,583075.55,-5415.18,MISMATCH
1040,Money Market,0.00,0.00,0.00,MATCH
1080,1080 Petty Cash,285468.48,281649.44,3819.04,MISMATCH
1085,1085 Payroll Clearing Account,-10428.77,-10428.77,0.00,MATCH
1090,1090 Bank Shareholder,-68118.91,-60050.58,-8068.33,MISMATCH
1095,1095 Deposit Clearing,0.00,0.00,0.00,MATCH
1099,,0.00,0.00,0.00,MATCH
1100,Current Assets,0.00,0.00,0.00,MATCH
1110,Cash in Bank,0.00,0.00,0.00,MATCH
1120,Accounts Receivable,0.00,0.00,0.00,MATCH
1130,Prepaid Expenses,0.00,0.00,0.00,MATCH
1135,Prepaid Visa Cards,0.00,0.00,0.00,MATCH
1200,Fixed Assets,0.00,0.00,0.00,MATCH
1201,Prepaid Insurance,0.00,0.00,0.00,MATCH
1202,Prepaid Rent,0.00,0.00,0.00,MATCH
1203,Prepaid Licenses & Permits,0.00,0.00,0.00,MATCH
1210,Vehicles,0.00,0.00,0.00,MATCH
1220,Vehicle Equipment,0.00,0.00,0.00,MATCH
1230,Office Equipment,0.00,0.00,0.00,MATCH
1300,,81107.90,81107.90,0.00,MATCH
1310,1310 Deposits Paid,4000.00,4000.00,0.00,MATCH
1325,1325 Prepaid Insurance,0.00,0.00,0.00,MATCH
1375,1375 Driver Advances,39510.59,39210.59,300.00,MISMATCH
1398,1398 Clearing,0.00,0.00,0.00,MATCH
1399,1399 Suspense,238894.38,237894.38,1000.00,MISMATCH
1400,Fixed Assets - Vehicles,0.00,0.00,0.00,MATCH
1410,Vehicles - Cost,0.00,0.00,0.00,MATCH
1420,Vehicles - Accumulated Depreciation,0.00,0.00,0.00,MATCH
1500,Fixed Assets - Equipment,0.00,0.00,0.00,MATCH
1510,Office Equipment - Cost,0.00,0.00,0.00,MATCH
1520,Office Equipment - Accumulated Depreciation,0.00,0.00,0.00,MATCH
1530,Accumulated Depreciation,0.00,0.00,0.00,MATCH
16400,16400 Vehicles (deleted),0.00,0.00,0.00,MATCH
16410,Imported CRA Asset 16410,0.00,0.00,0.00,MATCH
16420,Imported CRA Asset 16420,0.00,0.00,0.00,MATCH
16430,Imported CRA Asset 16430,0.00,0.00,0.00,MATCH
16440,Imported CRA Asset 16440,0.00,0.00,0.00,MATCH
16450,Imported CRA Asset 16450,0.00,0.00,0.00,MATCH
16460,Imported CRA Asset 16460,0.00,0.00,0.00,MATCH
1700,,665257.82,0.00,665257.82,MISSING_IN_ALMS
1701,,-307004.33,0.00,-307004.33,MISSING_IN_ALMS
1710,,8454.10,8454.10,0.00,MATCH
1711,,0.00,0.00,0.00,MATCH
1720,,10407.57,10407.57,0.00,MATCH
1721,,0.00,0.00,0.00,MATCH
2000,,0.00,-47460.35,47460.35,EXTRA_IN_ALMS
2001,,0.00,-35003.62,35003.62,EXTRA_IN_ALMS
2020,,0.00,-10036.89,10036.89,EXTRA_IN_ALMS
2025,,0.00,-9923.08,9923.08,EXTRA_IN_ALMS
2100,,0.00,-122087.88,122087.88,EXTRA_IN_ALMS
2200,,0.00,-49726.92,49726.92,EXTRA_IN_ALMS
2205,,0.00,7681.02,-7681.02,EXTRA_IN_ALMS
2300,,0.00,41.93,-41.93,EXTRA_IN_ALMS
2310,,0.00,-29544.18,29544.18,EXTRA_IN_ALMS
2315,,0.00,-25472.39,25472.39,EXTRA_IN_ALMS
2320,,0.00,-14924.99,14924.99,EXTRA_IN_ALMS
2400,,0.00,17520.75,-17520.75,EXTRA_IN_ALMS
25011,,0.00,19044.39,-19044.39,EXTRA_IN_ALMS
250111,,0.00,2143.24,-2143.24,EXTRA_IN_ALMS
2506,,0.00,62098.49,-62098.49,EXTRA_IN_ALMS
2507,,0.00,66815.55,-66815.55,EXTRA_IN_ALMS
2508,,0.00,12348.60,-12348.60,EXTRA_IN_ALMS
2509,,0.00,2490.00,-2490.00,EXTRA_IN_ALMS
2600,,0.00,51364.14,-51364.14,EXTRA_IN_ALMS
2611,,0.00,12046.96,-12046.96,EXTRA_IN_ALMS
2612,,0.00,28395.36,-28395.36,EXTRA_IN_ALMS
2800,,0.00,-5919.38,5919.38,EXTRA_IN_ALMS
2801,,0.00,-23125.31,23125.31,EXTRA_IN_ALMS
2802,,0.00,-54480.19,54480.19,EXTRA_IN_ALMS
2803,,0.00,-54235.98,54235.98,EXTRA_IN_ALMS
2813,,0.00,-12585.30,12585.30,EXTRA_IN_ALMS
2900,,0.00,-531198.07,531198.07,EXTRA_IN_ALMS
3000,,0.00,-608.43,608.43,EXTRA_IN_ALMS
3100,,0.00,-100.00,100.00,EXTRA_IN_ALMS
3600,,0.00,331995.48,-331995.48,EXTRA_IN_ALMS
3648117,,0.00,3170.75,-3170.75,EXTRA_IN_ALMS
4000,,0.00,-3367219.81,3367219.81,EXTRA_IN_ALMS
4100,,0.00,-65386.75,65386.75,EXTRA_IN_ALMS
4150,,0.00,-707452.44,707452.44,EXTRA_IN_ALMS
4200,,0.00,-51441.41,51441.41,EXTRA_IN_ALMS
4300,,0.00,-235881.85,235881.85,EXTRA_IN_ALMS
4800,,0.00,-3181.55,3181.55,EXTRA_IN_ALMS
5450,,0.00,10036.89,-10036.89,EXTRA_IN_ALMS
6000,,0.00,196329.82,-196329.82,EXTRA_IN_ALMS
6005,,0.00,6196.24,-6196.24,EXTRA_IN_ALMS
6010,,0.00,2647.13,-2647.13,EXTRA_IN_ALMS
6050,,0.00,76188.68,-76188.68,EXTRA_IN_ALMS
6100,,0.00,53986.00,-53986.00,EXTRA_IN_ALMS
6101,,0.00,1822.67,-1822.67,EXTRA_IN_ALMS
6110,,0.00,65860.09,-65860.09,EXTRA_IN_ALMS
6200,,0.00,1418.67,-1418.67,EXTRA_IN_ALMS
6225,,0.00,89.10,-89.10,EXTRA_IN_ALMS
6300,,0.00,33996.97,-33996.97,EXTRA_IN_ALMS
6340,,0.00,1233.31,-1233.31,EXTRA_IN_ALMS
6350,,0.00,1839.42,-1839.42,EXTRA_IN_ALMS
6400,,0.00,255909.63,-255909.63,EXTRA_IN_ALMS
6450,,0.00,11910.81,-11910.81,EXTRA_IN_ALMS
6475,,0.00,14529.81,-14529.81,EXTRA_IN_ALMS
6476,,0.00,17886.04,-17886.04,EXTRA_IN_ALMS
6480,,0.00,708.64,-708.64,EXTRA_IN_ALMS
6500,,0.00,32798.96,-32798.96,EXTRA_IN_ALMS
6550,,0.00,43787.27,-43787.27,EXTRA_IN_ALMS
6600,,0.00,796313.06,-796313.06,EXTRA_IN_ALMS
6605,,0.00,149081.37,-149081.37,EXTRA_IN_ALMS
6625,,0.00,25281.77,-25281.77,EXTRA_IN_ALMS
6650,,0.00,172874.08,-172874.08,EXTRA_IN_ALMS
6700,,0.00,13772.64,-13772.64,EXTRA_IN_ALMS
6730,,0.00,325.00,-325.00,EXTRA_IN_ALMS
6745,,0.00,-3276.30,3276.30,EXTRA_IN_ALMS
6750,,0.00,33484.31,-33484.31,EXTRA_IN_ALMS
6751,,0.00,230546.78,-230546.78,EXTRA_IN_ALMS
6755,,0.00,839.93,-839.93,EXTRA_IN_ALMS
6800,,0.00,74833.50,-74833.50,EXTRA_IN_ALMS
6810,,0.00,8211.09,-8211.09,EXTRA_IN_ALMS
6825,,0.00,9807.37,-9807.37,EXTRA_IN_ALMS
6826,,0.00,7585.35,-7585.35,EXTRA_IN_ALMS
6850,,0.00,3089.82,-3089.82,EXTRA_IN_ALMS
6855,,0.00,2365.76,-2365.76,EXTRA_IN_ALMS
6860,,0.00,6365.08,-6365.08,EXTRA_IN_ALMS
6865,,0.00,304.52,-304.52,EXTRA_IN_ALMS
6900,,0.00,364345.39,-364345.39,EXTRA_IN_ALMS
6925,,0.00,330504.27,-330504.27,EXTRA_IN_ALMS
6930,,0.00,188.03,-188.03,EXTRA_IN_ALMS
6950,,0.00,19691.43,-19691.43,EXTRA_IN_ALMS
8314462,,36.13,36.13,0.00,MATCH
,,0.00,0.00,0.00,MATCH
Charter Client purchases,,0.00,-18432.07,18432.07,EXTRA_IN_ALMS
Lease Expense,,0.00,3171.41,-3171.41,EXTRA_IN_ALMS
Limousines & Busses - Amort:Amort - L-10,,0.00,-40674.53,40674.53,EXTRA_IN_ALMS
Limousines & Busses - Amort:Amort - L-11,,0.00,-11386.51,11386.51,EXTRA_IN_ALMS
Limousines & Busses - Amort:Amort - L-6,,0.00,-57496.00,57496.00,EXTRA_IN_ALMS
Limousines & Busses - Amort:Amort - L-7,,0.00,-111250.00,111250.00,EXTRA_IN_ALMS
Limousines & Busses - Amort:Amort - L-8,,0.00,-64130.62,64130.62,EXTRA_IN_ALMS
Limousines & Busses - Amort:Amort - L-9,,0.00,-22066.67,22066.67,EXTRA_IN_ALMS
Limousines & Busses:1993 Intl Thomas 3000Bus 461679,,0.00,5000.00,-5000.00,EXTRA_IN_ALMS
Limousines & Busses:L-1 2007 Mercedes Benz Sedan,,0.00,2580.27,-2580.27,EXTRA_IN_ALMS
Limousines & Busses:L-15 2012 Ford E-350 Party Bus,,0.00,847.50,-847.50,EXTRA_IN_ALMS
Limousines & Busses:L-2 2006 Lincoln TownCar 614688,,0.00,-2000.00,2000.00,EXTRA_IN_ALMS
Limousines & Busses:L-6 2001 Lincoln TownCar 659569,,0.00,59496.00,-59496.00,EXTRA_IN_ALMS
Limousines & Busses:L-7 2003 Ford Excursion B96175,,0.00,130000.00,-130000.00,EXTRA_IN_ALMS
Limousines & Busses:L-8 2008 Ford Expedition A13564,,0.00,109000.00,-109000.00,EXTRA_IN_ALMS
Limousines & Busses:L-9 2007 Lincoln TownCar 624935,,0.00,69657.00,-69657.00,EXTRA_IN_ALMS
Limousines & Busses:L10 2009 Ford E450 Bus A87480,,0.00,146055.00,-146055.00,EXTRA_IN_ALMS
Limousines & Busses:L11 2008 Ford E-450 Bus B55665,,0.00,118055.00,-118055.00,EXTRA_IN_ALMS
Limousines & Busses:L14 2010 Ford E-450 Bus A09591,,0.00,2567.05,-2567.05,EXTRA_IN_ALMS
Limousines & Busses:L18 2003 Ford Excursion D67617,,0.00,24000.00,-24000.00,EXTRA_IN_ALMS
Square deposit account,,0.00,-60396.58,60396.58,EXTRA_IN_ALMS
