coa_code,coa_name,coa_type,ugl_raw_account_code,ugl_norm_code,mapping_method,ledger_rows,ledger_balance
1000,Assets,asset,1000 CIBC Bank 1615,1000,normalized-prefix,752,-7045.56
1010,Cash & Bank Accounts,Asset,1010 Scotia Bank Main,1010,normalized-prefix,1985,2939.41
1011,CIBC Checking 0228362,Asset,,,none,0,0.00
1012,Scotia Bank 903990106011,Asset,,,none,0,0.00
1013,CIBC Merchant Processing 3648117,Asset,,,none,0,0.00
1015,Petty Cash,Asset,,,none,0,0.00
1016,Driver Float Outstanding,Asset,,,none,0,0.00
1018,Undeposited Funds,Asset,,,none,0,0.00
1020,Savings Account,Asset,1020 Personal CIBC 8362,1020,normalized-prefix,2200,583075.55
1040,Money Market,Asset,,,none,0,0.00
1080,1080 Petty Cash,Asset,1080 Petty Cash,1080,normalized-prefix,472,281649.44
1085,1085 Payroll Clearing Account,Asset,1085 Payroll Clearing Account,1085,normalized-prefix,467,-10428.77
1090,1090 Bank Shareholder,Asset,1090 Bank Shareholder,1090,normalized-prefix,8097,-60050.58
1095,1095 Deposit Clearing,Asset,1095 Deposit Clearing,1095,normalized-prefix,102,0.00
1100,Current Assets,asset,,,none,0,0.00
1110,Cash in Bank,asset,,,none,0,0.00
1120,Accounts Receivable,asset,,,none,0,0.00
1130,Prepaid Expenses,asset,,,none,0,0.00
1135,Prepaid Visa Cards,Asset,,,none,0,0.00
1200,Fixed Assets,asset,,,none,0,0.00
1201,Prepaid Insurance,Asset,,,none,0,0.00
1202,Prepaid Rent,Asset,,,none,0,0.00
1203,Prepaid Licenses & Permits,Asset,,,none,0,0.00
1210,Vehicles,asset,,,none,0,0.00
1220,Vehicle Equipment,asset,,,none,0,0.00
1230,Office Equipment,asset,,,none,0,0.00
1310,1310 Deposits Paid,Asset,1310 Deposits Paid,1310,normalized-prefix,1,4000.00
1325,1325 Prepaid Insurance,Asset,,,none,0,0.00
1375,1375 Driver Advances,Asset,1375 Driver Advances,1375,normalized-prefix,101,39210.59
1398,1398 Clearing,Asset,1398 Clearing,1398,normalized-prefix,4,0.00
1399,1399 Suspense,Asset,1399 Suspense,1399,normalized-prefix,256,237894.38
1400,Fixed Assets - Vehicles,Asset,,,none,0,0.00
1410,Vehicles - Cost,Asset,,,none,0,0.00
1420,Vehicles - Accumulated Depreciation,Asset,,,none,0,0.00
1500,Fixed Assets - Equipment,Asset,,,none,0,0.00
1510,Office Equipment - Cost,Asset,,,none,0,0.00
1520,Office Equipment - Accumulated Depreciation,Asset,,,none,0,0.00
1530,Accumulated Depreciation,Asset,,,none,0,0.00
16400,16400 Vehicles (deleted),Asset,,,none,0,0.00
16410,Imported CRA Asset 16410,Asset,,,none,0,0.00
16420,Imported CRA Asset 16420,Asset,,,none,0,0.00
16430,Imported CRA Asset 16430,Asset,,,none,0,0.00
16440,Imported CRA Asset 16440,Asset,,,none,0,0.00
16450,Imported CRA Asset 16450,Asset,,,none,0,0.00
16460,Imported CRA Asset 16460,Asset,,,none,0,0.00
