code,account_name,cra_balance,alms_balance,delta,status,recommended_action
0228362,,-328322.62,-324263.26,-4059.36,MISMATCH,MAJOR_RECON_REVIEW
1000,Assets,-7890.56,-7045.56,-845.00,MISMATCH,MINOR_ADJUSTMENT_REVIEW
1010,Cash & Bank Accounts,-259.09,2939.41,-3198.50,MISMATCH,MAJOR_RECON_REVIEW
1020,Savings Account,577660.37,583075.55,-5415.18,MISMATCH,MAJOR_RECON_REVIEW
1080,1080 Petty Cash,285468.48,281649.44,3819.04,MISMATCH,MAJOR_RECON_REVIEW
1085,1085 Payroll Clearing Account,-10428.77,-10428.77,0.00,MATCH,NO_ACTION
1090,1090 Bank Shareholder,-68118.91,-60050.58,-8068.33,MISMATCH,MAJOR_RECON_REVIEW
1095,1095 Deposit Clearing,0.00,0.00,0.00,MATCH,NO_ACTION
1099,,0.00,0.00,0.00,MATCH,NO_ACTION
1100,Current Assets,0.00,0.00,0.00,MATCH,NO_ACTION
1300,,81107.90,81107.90,0.00,MATCH,NO_ACTION
1310,1310 Deposits Paid,4000.00,4000.00,0.00,MATCH,NO_ACTION
1325,1325 Prepaid Insurance,0.00,0.00,0.00,MATCH,NO_ACTION
1375,1375 Driver Advances,39510.59,39210.59,300.00,MISMATCH,MINOR_ADJUSTMENT_REVIEW
1398,1398 Clearing,0.00,0.00,0.00,MATCH,NO_ACTION
1399,1399 Suspense,238894.38,237894.38,1000.00,MISMATCH,MINOR_ADJUSTMENT_REVIEW
16400,16400 Vehicles (deleted),0.00,0.00,0.00,MATCH,NO_ACTION
1700,,665257.82,0.00,665257.82,MISSING_IN_ALMS,ADD_OPENING_BALANCE_REVIEW
1701,,-307004.33,0.00,-307004.33,MISSING_IN_ALMS,ADD_OPENING_BALANCE_REVIEW
1710,,8454.10,8454.10,0.00,MATCH,NO_ACTION
1711,,0.00,0.00,0.00,MATCH,NO_ACTION
1720,,10407.57,10407.57,0.00,MATCH,NO_ACTION
1721,,0.00,0.00,0.00,MATCH,NO_ACTION
8314462,,36.13,36.13,0.00,MATCH,NO_ACTION
