source,verification,gl_date,gl_chq,gl_vendor,gl_amount,gl_account,bank_txn_id,bank_txn_date,bank_debit,bank_desc,bank_check,receipt_id,notes
gl_vs_banking_unmatched_receipt_verification_2012.csv,RECEIPT_ONLY,2012-01-03,cash,Erles Auto Repair,453.34,1090 Bank Shareholder,,,,,,173547,"no bank match in window, but receipt candidate exists"
direct_completed,DIRECT_MATCH,2012-01-24,cash,Fibrenew,1050.00,1090 Bank Shareholder,81849,2012-04-12,1050.00,CHQ 240 FIBRENEW,240,217694,vendor_overlap+date_delay +RECEIPT_ONLY@gl_vs_banking_unmatched_receipt_verification_2012.csv
gl_vs_banking_unmatched_receipt_verification_2012.csv,DIRECT_MATCH,2012-01-24,cash,Parr's Automotive,500.00,1090 Bank Shareholder,81617,2012-02-24,500.00,PARRS AUTOMOTIVE,,217871,status=reconciled
direct_completed,DIRECT_MATCH,2012-02-02,209,106.7 The Drive,550.00,1000 CIBC Bank 1615,81527,2012-02-08,550.00,CHQ 209 106.7 THE DRIVE,209,217679,check_exact+vendor_overlap
direct_completed,DIRECT_MATCH,2012-02-28,cash,Fibrenew,1050.00,1090 Bank Shareholder,82095,2012-06-13,1050.00,CHQ 274 FIBRENEW,274,217724,vendor_overlap+date_delay +RECEIPT_ONLY@gl_vs_banking_unmatched_receipt_verification_2012.csv
gl_vs_banking_unmatched_receipt_verification_2012.csv,RECEIPT_ONLY,2012-03-08,cash,Red Deer Advocate,108.57,1090 Bank Shareholder,,,,,,217214,"no bank match in window, but receipt candidate exists"
direct_completed,DIRECT_MATCH,2012-03-14,215,Welcome Wagon,150.00,1000 CIBC Bank 1615,81728,2012-03-19,150.00,CHQ 215 WELCOME WAGON,215,141634,check_exact+vendor_overlap
direct_completed,DIRECT_MATCH,2012-05-01,cash,Fibrenew,1050.00,1090 Bank Shareholder,82188,2012-07-10,1050.00,CHQ 276 FIBRENEW,276,217732,vendor_overlap+date_delay +DIRECT_MATCH@gl_vs_banking_unmatched_receipt_verification_2012.csv
direct_completed,DIRECT_MATCH,2012-05-23,262,CFIB,460.00,1000 CIBC Bank 1615,82081,2012-06-11,460.00,CHQ 262 CFIB,262,217721,check_exact+vendor_overlap+date_delay +DIRECT_MATCH@gl_vs_banking_unmatched_receipt_verification_2012.csv
direct_completed,DIRECT_MATCH,2012-07-10,3,Parr's Automotive,2000.00,1010 Scotia Bank Main,69093,2012-07-13,2000.00,CHQ 3 PARRS AUTOMOTIVE,3,140419,check_exact
