src_row_number,src_date,src_side,src_amount,src_description,src_account_values,match_exact_same_date,match_within_7d,match_within_30d,match_future_lag_0_120d,matched_accounts_within_30d,matched_transaction_ids_within_30d
2761,2014-01-31,credit,10.00,,1020 Personal CIBC 8362,0,0,0,0,,
2762,2014-02-28,credit,7.00,,1020 Personal CIBC 8362,0,0,0,0,,
2763,2014-03-31,credit,7.00,,1020 Personal CIBC 8362,0,0,0,0,,
2764,2014-04-30,credit,8.00,,1020 Personal CIBC 8362,0,0,0,0,,
2765,2014-05-30,credit,6.00,,1020 Personal CIBC 8362,0,0,0,0,,
2766,2014-06-20,credit,500.00,,1020 Personal CIBC 8362,0,0,0,0,,
2767,2014-06-20,credit,2000.00,,1020 Personal CIBC 8362,0,0,0,0,,
2768,2014-06-21,credit,20.97,,1020 Personal CIBC 8362,0,0,0,0,,
2769,2014-06-21,credit,58.39,,1020 Personal CIBC 8362,0,0,0,0,,
2770,2014-06-22,credit,164.93,,1020 Personal CIBC 8362,0,0,0,0,,
2771,2014-06-23,credit,120.75,,1020 Personal CIBC 8362,0,0,0,0,,
2772,2014-06-24,credit,64.00,,1020 Personal CIBC 8362,0,0,0,0,,
2773,2014-06-24,credit,814.22,,1020 Personal CIBC 8362,0,0,0,0,,
2774,2014-06-24,credit,401.63,,1020 Personal CIBC 8362,0,0,0,0,,
2775,2014-06-25,credit,531.30,,1020 Personal CIBC 8362,0,0,0,0,,
2776,2014-06-25,credit,1.50,,1020 Personal CIBC 8362,0,0,0,0,,
2777,2014-06-28,credit,100.00,,1020 Personal CIBC 8362,0,1,1,0,903990106011,80281
2778,2014-06-29,credit,182.74,,1020 Personal CIBC 8362,0,0,0,0,,
2779,2014-06-30,debit,16563.03,Deposit,1020 Personal CIBC 8362,0,0,0,0,,
2780,2014-06-30,credit,35.50,,1020 Personal CIBC 8362,0,0,0,0,,
2781,2014-05-07,credit,20.28,,1020 Personal CIBC 8362,0,0,0,0,,
2782,2014-05-07,credit,70.12,,1020 Personal CIBC 8362,0,0,0,0,,
2783,2014-05-07,credit,52.46,,1020 Personal CIBC 8362,0,0,0,0,,
2784,2014-05-07,credit,44.25,,1020 Personal CIBC 8362,0,0,0,0,,
2785,2014-07-07,credit,5.95,,1020 Personal CIBC 8362,0,0,0,0,,
2786,2014-07-07,credit,1192.94,,1020 Personal CIBC 8362,0,0,0,0,,
2787,2014-07-07,credit,80.02,,1020 Personal CIBC 8362,0,0,0,0,,
2788,2014-08-07,credit,79.00,,1020 Personal CIBC 8362,0,0,0,0,,
2789,2014-08-07,credit,58.00,,1020 Personal CIBC 8362,0,0,0,0,,
2790,2014-08-07,credit,48.95,,1020 Personal CIBC 8362,0,0,0,0,,
2791,2014-09-07,credit,217.00,,1020 Personal CIBC 8362,0,0,0,0,,
2792,2014-09-07,credit,38.86,,1020 Personal CIBC 8362,0,0,0,0,,
2793,2014-10-07,credit,426.41,,1020 Personal CIBC 8362,0,0,0,0,,
2794,2014-10-07,credit,1581.92,215958149 4,1020 Personal CIBC 8362,0,0,0,0,,
2795,2014-10-07,credit,17.18,,1020 Personal CIBC 8362,0,0,0,0,,
2796,2014-11-07,credit,20.22,,1020 Personal CIBC 8362,0,0,0,0,,
2797,2014-11-07,credit,432.53,,1020 Personal CIBC 8362,0,0,0,0,,
2798,2014-11-07,credit,85.44,,1020 Personal CIBC 8362,0,0,0,0,,
2799,2014-11-07,credit,756.00,,1020 Personal CIBC 8362,0,0,0,0,,
2800,2014-12-07,credit,96.00,,1020 Personal CIBC 8362,0,0,0,0,,
2801,2014-12-07,credit,130.00,,1020 Personal CIBC 8362,0,0,0,0,,
2802,2014-12-07,credit,200.00,,1020 Personal CIBC 8362,0,0,0,0,,
2803,2014-07-13,credit,62.00,,1020 Personal CIBC 8362,0,0,0,0,,
2804,2014-07-15,credit,288.75,,1020 Personal CIBC 8362,0,0,0,0,,
2805,2014-07-16,credit,2000.00,,1020 Personal CIBC 8362,0,0,0,0,,
2806,2014-07-17,credit,110.02,,1020 Personal CIBC 8362,0,0,0,0,,
2807,2014-07-18,credit,859.32,,1020 Personal CIBC 8362,0,0,0,0,,
2808,2014-07-18,credit,226.19,,1020 Personal CIBC 8362,0,0,0,0,,
2809,2014-07-18,credit,737.56,,1020 Personal CIBC 8362,0,0,0,0,,
2810,2014-07-18,credit,120.00,,1020 Personal CIBC 8362,0,0,0,0,,
2811,2014-07-19,credit,41.00,,1020 Personal CIBC 8362,0,0,0,0,,
2812,2014-07-19,credit,46.00,,1020 Personal CIBC 8362,0,0,0,0,,
2813,2014-07-19,credit,29.18,,1020 Personal CIBC 8362,0,0,0,0,,
2814,2014-07-19,credit,48.02,,1020 Personal CIBC 8362,0,0,0,0,,
2815,2014-07-21,credit,900.00,DT6792343RFC02,1020 Personal CIBC 8362,0,0,0,0,,
2816,2014-07-21,credit,2000.00,,1020 Personal CIBC 8362,0,0,0,0,,
2817,2014-07-21,credit,1581.92,215958149 4,1020 Personal CIBC 8362,0,0,0,0,,
2818,2014-07-22,credit,60.00,,1020 Personal CIBC 8362,0,0,0,0,,
2819,2014-07-22,credit,8.38,,1020 Personal CIBC 8362,0,0,0,0,,
2820,2014-07-22,credit,300.00,5457 56** **** 4347,1020 Personal CIBC 8362,0,0,0,0,,
2821,2014-07-23,credit,85.00,,1020 Personal CIBC 8362,0,0,0,0,,
2822,2014-07-23,credit,70.01,,1020 Personal CIBC 8362,0,0,0,0,,
2823,2014-07-23,credit,60.08,,1020 Personal CIBC 8362,0,0,0,0,,
2824,2014-07-24,credit,174.01,,1020 Personal CIBC 8362,0,0,0,0,,
2825,2014-07-25,credit,473.79,,1020 Personal CIBC 8362,0,0,0,0,,
2826,2014-07-26,credit,88.90,,1020 Personal CIBC 8362,0,0,0,0,,
2827,2014-07-27,credit,104.99,,1020 Personal CIBC 8362,0,0,0,0,,
2828,2014-07-28,credit,622.67,,1020 Personal CIBC 8362,0,0,0,0,,
2829,2014-07-28,credit,62.01,,1020 Personal CIBC 8362,0,0,0,0,,
2830,2014-07-29,credit,35.30,,1020 Personal CIBC 8362,0,0,0,0,,
