source_zip,account_id,account_number,account_name,account_type,account_subtype,classification,balance,balance_date,raw_fields_json
L:\CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,,,Cash on hand,Bank,Cash on hand,Bank,0.00,,"{""account_bal"": ""0.00"", ""account_name"": ""Cash on hand"", ""account_type"": ""Bank"", ""detail_acc_type"": ""Cash on hand""}"
L:\CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,,,Inventory Asset,Current assets,Inventory,Current assets,0.00,,"{""account_bal"": ""0.00"", ""account_name"": ""Inventory Asset"", ""account_type"": ""Current assets"", ""detail_acc_type"": ""Inventory""}"
L:\CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,,,Limousines & Busses - Amort:Amort - L-10,"Property, plant and equipment",Other fixed assets,"Property, plant and equipment","-40,674.53",,"{""account_bal"": ""-40674.53"", ""account_name"": ""Limousines & Busses - Amort:Amort - L-10"", ""account_type"": ""Property, plant and equipment"", ""detail_acc_type"": ""Other fixed assets""}"
L:\CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,,,Limousines & Busses - Amort:Amort - L-11,"Property, plant and equipment",Other fixed assets,"Property, plant and equipment","-11,386.51",,"{""account_bal"": ""-11386.51"", ""account_name"": ""Limousines & Busses - Amort:Amort - L-11"", ""account_type"": ""Property, plant and equipment"", ""detail_acc_type"": ""Other fixed assets""}"
L:\CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,,,Limousines & Busses - Amort:Amort - L-6,"Property, plant and equipment",Other fixed assets,"Property, plant and equipment","-57,496.00",,"{""account_bal"": ""-57496.00"", ""account_name"": ""Limousines & Busses - Amort:Amort - L-6"", ""account_type"": ""Property, plant and equipment"", ""detail_acc_type"": ""Other fixed assets""}"
L:\CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,,,Limousines & Busses - Amort:Amort - L-7,"Property, plant and equipment",Other fixed assets,"Property, plant and equipment","-111,250.00",,"{""account_bal"": ""-111250.00"", ""account_name"": ""Limousines & Busses - Amort:Amort - L-7"", ""account_type"": ""Property, plant and equipment"", ""detail_acc_type"": ""Other fixed assets""}"
L:\CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,,,Limousines & Busses - Amort:Amort - L-8,"Property, plant and equipment",Other fixed assets,"Property, plant and equipment","-64,130.62",,"{""account_bal"": ""-64130.62"", ""account_name"": ""Limousines & Busses - Amort:Amort - L-8"", ""account_type"": ""Property, plant and equipment"", ""detail_acc_type"": ""Other fixed assets""}"
L:\CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,,,Limousines & Busses - Amort:Amort - L-9,"Property, plant and equipment",Other fixed assets,"Property, plant and equipment","-22,066.67",,"{""account_bal"": ""-22066.67"", ""account_name"": ""Limousines & Busses - Amort:Amort - L-9"", ""account_type"": ""Property, plant and equipment"", ""detail_acc_type"": ""Other fixed assets""}"
L:\CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,,,Limousines & Busses:1993 Intl Thomas 3000Bus 461679,"Property, plant and equipment",Other fixed assets,"Property, plant and equipment","5,000.00",,"{""account_bal"": ""5000.00"", ""account_name"": ""Limousines & Busses:1993 Intl Thomas 3000Bus 461679"", ""account_type"": ""Property, plant and equipment"", ""detail_acc_type"": ""Other fixed assets""}"
L:\CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,,,Limousines & Busses:L-1 2007 Mercedes Benz Sedan,"Property, plant and equipment",Other fixed assets,"Property, plant and equipment","2,580.27",,"{""account_bal"": ""2580.27"", ""account_desc"": ""4 Passenger sedan"", ""account_name"": ""Limousines & Busses:L-1 2007 Mercedes Benz Sedan"", ""account_type"": ""Property, plant and equipment"", ""detail_acc_type"": ""Other fixed assets""}"
