code,status,matched_in_table,notes
0228362,present_in_alms,_tmp_8362_1615_fix_backup.account_number,_tmp_8362_1615_fix_backup.account_number; account_number_aliases.canonical_account_number; backup_banking_8362_dedup_orig_20260302_122714.account_number; backup_banking_income_policy_reserve_20260225_145108.account_number; backup_banking_stale_reconciled_payment_cleanup_20260417.account_number; +16 more
1000,present_in_alms,_tmp_8362_remap_all_unique_receipts_backup_20260321.gl_account_code,_tmp_8362_remap_all_unique_receipts_backup_20260321.gl_account_code; _tmp_8362_rollback_2014plus_receipts_pre_20260321.gl_account_code; accounting_entries.account_code; backup_easyfix_mismatch_refine_20260407.gl_account_code; backup_easyfix_mismatch_review_20260407.gl_account_code; +18 more
1010,present_in_alms,account_categories.gl_account_code,account_categories.gl_account_code; account_categories_archive.gl_account_code; backup_receipts_8362_dedup_20260302_122714.gl_account_code; backup_receipts_dedup_multibank_20260227_135819.gl_account_code; category_mappings.new_account_code; +6 more
1020,present_in_alms,account_categories.gl_account_code,account_categories.gl_account_code; account_categories_archive.gl_account_code; backup_receipts_8362_dedup_20260302_122714.gl_account_code; backup_receipts_transfer_gl_phase2_20260416.gl_account_code; backup_receipts_transfer_gl_phase2_20260416.gl_code; +7 more
1080,missing_in_alms,,No match in discovered code columns
1085,missing_in_alms,,No match in discovered code columns
1090,missing_in_alms,,No match in discovered code columns
1095,missing_in_alms,,No match in discovered code columns
1099,present_in_alms,backup_receipts_transfer_gl_phase2_20260416.gl_account_code,backup_receipts_transfer_gl_phase2_20260416.gl_account_code; backup_receipts_transfer_gl_phase2_20260416.gl_code; chart_of_accounts.account_code; gl_account_year_summary.gl_account_code; glcode_pass2_safe_backup_20260409.old_gl_code; +5 more
1100,present_in_alms,chart_of_accounts.account_code,chart_of_accounts.account_code; general_ledger_lines.account_code; gl_account_year_summary.gl_account_code; glcode_pass4_align_backup_20260409.old_gl_account_code; qb_journal_entries.account_code; +5 more
1300,present_in_alms,glcode_pass2_safe_backup_20260409.old_gl_account_code,glcode_pass2_safe_backup_20260409.old_gl_account_code
1310,missing_in_alms,,No match in discovered code columns
1325,missing_in_alms,,No match in discovered code columns
1375,missing_in_alms,,No match in discovered code columns
1398,missing_in_alms,,No match in discovered code columns
1399,missing_in_alms,,No match in discovered code columns
16400,missing_in_alms,,No match in discovered code columns
1700,missing_in_alms,,No match in discovered code columns
1701,missing_in_alms,,No match in discovered code columns
1710,missing_in_alms,,No match in discovered code columns
1711,missing_in_alms,,No match in discovered code columns
1720,missing_in_alms,,No match in discovered code columns
1721,missing_in_alms,,No match in discovered code columns
8314462,present_in_alms,account_number_aliases.canonical_account_number,account_number_aliases.canonical_account_number; backup_banking_income_policy_reserve_20260225_145108.account_number; backup_banking_stale_reconciled_payment_cleanup_20260417.account_number; backup_banking_stale_reconciled_receipt_cleanup_20260417.account_number; bank_accounts.account_number; +8 more
