group_key,txn_id,sequence,date,amount,description,row_count,recommended_action
"('txn', '14633')",14633,0,2012-04-03,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14629')",14629,0,2012-04-11,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14652')",14652,0,2012-04-11,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14614')",14614,0,2012-04-12,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14632')",14632,0,2012-04-15,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14619')",14619,0,2012-05-31,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14609')",14609,0,2012-11-29,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14635')",14635,0,2012-12-19,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14621')",14621,0,2013-02-28,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14586')",14586,0,2013-03-31,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14610')",14610,0,2013-04-30,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14654')",14654,0,2013-05-03,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14634')",14634,0,2013-05-07,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14646')",14646,0,2013-06-12,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14582')",14582,0,2013-07-08,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14600')",14600,0,2013-07-08,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14604')",14604,0,2013-07-18,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14608')",14608,0,2013-12-17,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14615')",14615,0,2013-12-17,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14625')",14625,0,2013-12-17,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14640')",14640,0,2013-12-17,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14599')",14599,0,2014-02-07,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14590')",14590,0,2014-02-17,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14598')",14598,0,2014-05-19,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14617')",14617,0,2014-05-19,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14592')",14592,0,2015-05-19,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14620')",14620,0,2015-05-19,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14639')",14639,0,2015-06-19,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14602')",14602,0,2016-01-10,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14638')",14638,0,2016-01-10,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14653')",14653,0,2016-05-17,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14648')",14648,0,2016-07-15,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14650')",14650,0,2016-08-02,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14583')",14583,0,2016-10-06,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14630')",14630,0,2016-10-06,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14585')",14585,0,2016-11-17,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14595')",14595,0,2016-11-17,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14622')",14622,0,2016-11-17,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14643')",14643,0,2016-11-17,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14649')",14649,0,2016-11-17,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14589')",14589,0,2016-11-28,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14624')",14624,0,2016-11-28,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14594')",14594,0,2016-12-19,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14597')",14597,0,2016-12-19,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14603')",14603,0,2016-12-19,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14612')",14612,0,2016-12-19,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14613')",14613,0,2016-12-19,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14618')",14618,0,2016-12-19,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14623')",14623,0,2016-12-19,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14636')",14636,0,2016-12-19,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14642')",14642,0,2016-12-19,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14645')",14645,0,2016-12-19,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14641')",14641,0,2017-01-11,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14588')",14588,0,2017-02-22,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14591')",14591,0,2017-02-22,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14584')",14584,0,2017-02-23,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14593')",14593,0,2017-02-23,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14601')",14601,0,2017-02-23,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14611')",14611,0,2017-02-23,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14651')",14651,0,2017-02-23,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14616')",14616,0,2017-04-10,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14631')",14631,0,2017-05-01,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14605')",14605,0,2017-06-29,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14626')",14626,0,2017-06-29,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14637')",14637,0,2017-08-10,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14587')",14587,0,2017-08-23,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14606')",14606,0,2017-08-23,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14627')",14627,0,2017-08-23,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14644')",14644,0,2017-08-23,,Bill Payment (Cheque),2,REVIEW_MAPPING
"('txn', '14607')",14607,0,2017-08-25,,Bill Payment (Cheque),2,REVIEW_MAPPING
