priority_rank,txn_id,sequence,date,description,row_count,year,priority_reason,sql_probe_1,sql_probe_2
1,14594,0,2016-12-19,Bill Payment (Cheque),2,2016,year_unmatched=48; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14594%' OR to_jsonb(t)::text ILIKE '%2016-12-19%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14594%' OR to_jsonb(t)::text ILIKE '%2016-12-19%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
2,14597,0,2016-12-19,Bill Payment (Cheque),2,2016,year_unmatched=48; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14597%' OR to_jsonb(t)::text ILIKE '%2016-12-19%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14597%' OR to_jsonb(t)::text ILIKE '%2016-12-19%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
3,14603,0,2016-12-19,Bill Payment (Cheque),2,2016,year_unmatched=48; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14603%' OR to_jsonb(t)::text ILIKE '%2016-12-19%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14603%' OR to_jsonb(t)::text ILIKE '%2016-12-19%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
4,14612,0,2016-12-19,Bill Payment (Cheque),2,2016,year_unmatched=48; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14612%' OR to_jsonb(t)::text ILIKE '%2016-12-19%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14612%' OR to_jsonb(t)::text ILIKE '%2016-12-19%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
5,14613,0,2016-12-19,Bill Payment (Cheque),2,2016,year_unmatched=48; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14613%' OR to_jsonb(t)::text ILIKE '%2016-12-19%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14613%' OR to_jsonb(t)::text ILIKE '%2016-12-19%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
6,14618,0,2016-12-19,Bill Payment (Cheque),2,2016,year_unmatched=48; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14618%' OR to_jsonb(t)::text ILIKE '%2016-12-19%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14618%' OR to_jsonb(t)::text ILIKE '%2016-12-19%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
7,14623,0,2016-12-19,Bill Payment (Cheque),2,2016,year_unmatched=48; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14623%' OR to_jsonb(t)::text ILIKE '%2016-12-19%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14623%' OR to_jsonb(t)::text ILIKE '%2016-12-19%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
8,14636,0,2016-12-19,Bill Payment (Cheque),2,2016,year_unmatched=48; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14636%' OR to_jsonb(t)::text ILIKE '%2016-12-19%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14636%' OR to_jsonb(t)::text ILIKE '%2016-12-19%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
9,14642,0,2016-12-19,Bill Payment (Cheque),2,2016,year_unmatched=48; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14642%' OR to_jsonb(t)::text ILIKE '%2016-12-19%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14642%' OR to_jsonb(t)::text ILIKE '%2016-12-19%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
10,14645,0,2016-12-19,Bill Payment (Cheque),2,2016,year_unmatched=48; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14645%' OR to_jsonb(t)::text ILIKE '%2016-12-19%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14645%' OR to_jsonb(t)::text ILIKE '%2016-12-19%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
11,14589,0,2016-11-28,Bill Payment (Cheque),2,2016,year_unmatched=48; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14589%' OR to_jsonb(t)::text ILIKE '%2016-11-28%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14589%' OR to_jsonb(t)::text ILIKE '%2016-11-28%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
12,14624,0,2016-11-28,Bill Payment (Cheque),2,2016,year_unmatched=48; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14624%' OR to_jsonb(t)::text ILIKE '%2016-11-28%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14624%' OR to_jsonb(t)::text ILIKE '%2016-11-28%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
13,14585,0,2016-11-17,Bill Payment (Cheque),2,2016,year_unmatched=48; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14585%' OR to_jsonb(t)::text ILIKE '%2016-11-17%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14585%' OR to_jsonb(t)::text ILIKE '%2016-11-17%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
14,14595,0,2016-11-17,Bill Payment (Cheque),2,2016,year_unmatched=48; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14595%' OR to_jsonb(t)::text ILIKE '%2016-11-17%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14595%' OR to_jsonb(t)::text ILIKE '%2016-11-17%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
15,14622,0,2016-11-17,Bill Payment (Cheque),2,2016,year_unmatched=48; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14622%' OR to_jsonb(t)::text ILIKE '%2016-11-17%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14622%' OR to_jsonb(t)::text ILIKE '%2016-11-17%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
16,14643,0,2016-11-17,Bill Payment (Cheque),2,2016,year_unmatched=48; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14643%' OR to_jsonb(t)::text ILIKE '%2016-11-17%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14643%' OR to_jsonb(t)::text ILIKE '%2016-11-17%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
17,14649,0,2016-11-17,Bill Payment (Cheque),2,2016,year_unmatched=48; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14649%' OR to_jsonb(t)::text ILIKE '%2016-11-17%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14649%' OR to_jsonb(t)::text ILIKE '%2016-11-17%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
18,14583,0,2016-10-06,Bill Payment (Cheque),2,2016,year_unmatched=48; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14583%' OR to_jsonb(t)::text ILIKE '%2016-10-06%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14583%' OR to_jsonb(t)::text ILIKE '%2016-10-06%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
19,14630,0,2016-10-06,Bill Payment (Cheque),2,2016,year_unmatched=48; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14630%' OR to_jsonb(t)::text ILIKE '%2016-10-06%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14630%' OR to_jsonb(t)::text ILIKE '%2016-10-06%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
20,14650,0,2016-08-02,Bill Payment (Cheque),2,2016,year_unmatched=48; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14650%' OR to_jsonb(t)::text ILIKE '%2016-08-02%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14650%' OR to_jsonb(t)::text ILIKE '%2016-08-02%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
21,14648,0,2016-07-15,Bill Payment (Cheque),2,2016,year_unmatched=48; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14648%' OR to_jsonb(t)::text ILIKE '%2016-07-15%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14648%' OR to_jsonb(t)::text ILIKE '%2016-07-15%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
22,14653,0,2016-05-17,Bill Payment (Cheque),2,2016,year_unmatched=48; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14653%' OR to_jsonb(t)::text ILIKE '%2016-05-17%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14653%' OR to_jsonb(t)::text ILIKE '%2016-05-17%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
23,14602,0,2016-01-10,Bill Payment (Cheque),2,2016,year_unmatched=48; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14602%' OR to_jsonb(t)::text ILIKE '%2016-01-10%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14602%' OR to_jsonb(t)::text ILIKE '%2016-01-10%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
24,14638,0,2016-01-10,Bill Payment (Cheque),2,2016,year_unmatched=48; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14638%' OR to_jsonb(t)::text ILIKE '%2016-01-10%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14638%' OR to_jsonb(t)::text ILIKE '%2016-01-10%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
25,14647,0,2017-09-27,Bill Payment (Cheque),2,2017,year_unmatched=42; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14647%' OR to_jsonb(t)::text ILIKE '%2017-09-27%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14647%' OR to_jsonb(t)::text ILIKE '%2017-09-27%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
26,14596,0,2017-09-19,Bill Payment (Cheque),2,2017,year_unmatched=42; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14596%' OR to_jsonb(t)::text ILIKE '%2017-09-19%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14596%' OR to_jsonb(t)::text ILIKE '%2017-09-19%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
27,14607,0,2017-08-25,Bill Payment (Cheque),2,2017,year_unmatched=42; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14607%' OR to_jsonb(t)::text ILIKE '%2017-08-25%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14607%' OR to_jsonb(t)::text ILIKE '%2017-08-25%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
