source_zip,cra_txn_id,cra_sequence,cra_date,cra_amount,cra_account_name,cra_name,cra_description,match_level,suggested_action,reason,raw_row_hash
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14633,0,2012-04-03,,,Sully Chapman Beattie,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,d4cce82784077b477ec3eb78b144a09ba545bf0d
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14633,1,2012-04-03,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,ee211b730ab89e76641898df259900c219aafa79
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14629,0,2012-04-11,,,106.7 The Drive,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,4e77fa681413c08ef7d54aa5b598cf3bb133c0f8
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14629,1,2012-04-11,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,d8725907aec9d44e71076bc53c6174e8131e2585
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14652,0,2012-04-11,,,106.7 The Drive,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,ec4f25c8fcd8e3ec7b2121b68ed586d72585fefa
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14652,1,2012-04-11,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,ee298dc8a86fdd61346fe3dae9d8aeabaebcd50b
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14614,0,2012-04-12,,,Fibrenew,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,f06c9a62f50d1adbb3c8d091b7e3ed008e643171
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14614,1,2012-04-12,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,497b8ae92ee81e49ff85c18a40ec7404e81fc84c
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14632,0,2012-04-15,,,Welcome Wagon,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,b4ee0f6455560eec044e936770fbacd97217787a
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14632,1,2012-04-15,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,87200ec652bf28aae02f5dfe7cc9a9f2da9f43bb
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14619,0,2012-05-31,,,106.7 The Drive,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,b0d71d41ac76edc5cce1358e31fc560b8768a1a9
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14619,1,2012-05-31,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,3adba64db6d3245547305c42dd6bfb211ce46139
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14609,0,2012-11-29,,,Rogers,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,23a42bc79c85c3d6262cc44ac56d170b16224d0b
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14609,1,2012-11-29,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,05b245284ae318abf943165a5474aaa26bc1ad1c
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14635,0,2012-12-19,,,WCB,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,ea1e61a38f0b1dbad6838aa61255af895ff4257f
