priority_rank,txn_id,date,description,status,evidence
1,14594,2016-12-19,Bill Payment (Cheque),RESOLVED_BANKING,ledger_rows=200; banking_rows=13; ledger_clear=no; banking_clear=yes
2,14597,2016-12-19,Bill Payment (Cheque),RESOLVED_BANKING,ledger_rows=200; banking_rows=12; ledger_clear=no; banking_clear=yes
3,14603,2016-12-19,Bill Payment (Cheque),RESOLVED_LEDGER,ledger_rows=200; banking_rows=13; ledger_clear=yes; banking_clear=yes
4,14612,2016-12-19,Bill Payment (Cheque),PARTIAL,ledger_rows=200; banking_rows=10; ledger_clear=no; banking_clear=no
5,14613,2016-12-19,Bill Payment (Cheque),RESOLVED_BANKING,ledger_rows=200; banking_rows=15; ledger_clear=no; banking_clear=yes
6,14618,2016-12-19,Bill Payment (Cheque),RESOLVED_BANKING,ledger_rows=200; banking_rows=12; ledger_clear=no; banking_clear=yes
7,14623,2016-12-19,Bill Payment (Cheque),PARTIAL,ledger_rows=200; banking_rows=10; ledger_clear=no; banking_clear=no
8,14636,2016-12-19,Bill Payment (Cheque),RESOLVED_BANKING,ledger_rows=200; banking_rows=13; ledger_clear=no; banking_clear=yes
9,14642,2016-12-19,Bill Payment (Cheque),RESOLVED_BANKING,ledger_rows=200; banking_rows=13; ledger_clear=no; banking_clear=yes
10,14645,2016-12-19,Bill Payment (Cheque),RESOLVED_LEDGER,ledger_rows=200; banking_rows=12; ledger_clear=yes; banking_clear=yes
11,14589,2016-11-28,Bill Payment (Cheque),RESOLVED_BANKING,ledger_rows=200; banking_rows=10; ledger_clear=no; banking_clear=yes
12,14624,2016-11-28,Bill Payment (Cheque),RESOLVED_LEDGER,ledger_rows=200; banking_rows=7; ledger_clear=yes; banking_clear=no
13,14585,2016-11-17,Bill Payment (Cheque),RESOLVED_BANKING,ledger_rows=200; banking_rows=20; ledger_clear=no; banking_clear=yes
14,14595,2016-11-17,Bill Payment (Cheque),RESOLVED_BANKING,ledger_rows=200; banking_rows=17; ledger_clear=no; banking_clear=yes
15,14622,2016-11-17,Bill Payment (Cheque),RESOLVED_BANKING,ledger_rows=200; banking_rows=20; ledger_clear=no; banking_clear=yes
16,14643,2016-11-17,Bill Payment (Cheque),RESOLVED_BANKING,ledger_rows=200; banking_rows=19; ledger_clear=no; banking_clear=yes
17,14649,2016-11-17,Bill Payment (Cheque),RESOLVED_BANKING,ledger_rows=200; banking_rows=18; ledger_clear=no; banking_clear=yes
18,14583,2016-10-06,Bill Payment (Cheque),RESOLVED_BANKING,ledger_rows=200; banking_rows=10; ledger_clear=no; banking_clear=yes
19,14630,2016-10-06,Bill Payment (Cheque),RESOLVED_BANKING,ledger_rows=200; banking_rows=10; ledger_clear=no; banking_clear=yes
20,14650,2016-08-02,Bill Payment (Cheque),RESOLVED_LEDGER,ledger_rows=200; banking_rows=13; ledger_clear=yes; banking_clear=yes
21,14648,2016-07-15,Bill Payment (Cheque),RESOLVED_BANKING,ledger_rows=200; banking_rows=9; ledger_clear=no; banking_clear=yes
22,14653,2016-05-17,Bill Payment (Cheque),RESOLVED_BANKING,ledger_rows=200; banking_rows=8; ledger_clear=no; banking_clear=yes
23,14602,2016-01-10,Bill Payment (Cheque),RESOLVED_BANKING,ledger_rows=200; banking_rows=3; ledger_clear=no; banking_clear=yes
24,14638,2016-01-10,Bill Payment (Cheque),RESOLVED_BANKING,ledger_rows=200; banking_rows=3; ledger_clear=no; banking_clear=yes
25,14647,2017-09-27,Bill Payment (Cheque),RESOLVED_BANKING,ledger_rows=200; banking_rows=11; ledger_clear=no; banking_clear=yes
