year,cra_count,cra_total,ledger_count,ledger_total,count_gap,total_gap
2011,82,0.00,82,0.00,0,0.00
2012,8683,0.00,8198,8391.04,485,-8391.04
2013,8048,0.00,8157,6665.22,-109,-6665.22
2014,8967,0.00,8535,10284.81,432,-10284.81
2015,9329,0.00,9395,-1461.16,-66,1461.16
2016,5321,0.00,5050,1792.38,271,-1792.38
2017,5510,0.00,5256,-176.88,254,176.88
2018,59,0.00,59,0.00,0,0.00
2019,182,0.00,179,0.00,3,0.00
2020,666,0.00,665,0.00,1,0.00
2021,1145,0.00,1128,-76.80,17,76.80
2024,2,0.00,2,0.00,0,0.00
2025,1630,0.00,1535,-447.93,95,447.93
