source_txn_id,matched_1615_txn_id,future_lag_days,source_date,source_amount,source_description
96465,81582,4,2012-02-16,627.50,GLOBAL SYSTEM DEPOSIT
96771,102187,27,2012-05-23,175.00,GLOBAL SYSTEM DEPOSIT
96773,102161,12,2012-05-24,205.00,GLOBAL SYSTEM DEPOSIT
96780,102163,11,2012-05-25,500.00,GLOBAL SYSTEM DEPOSIT
96784,102187,22,2012-05-28,175.00,GLOBAL SYSTEM DEPOSIT
96785,102161,8,2012-05-28,205.00,GLOBAL SYSTEM DEPOSIT
96797,82158,30,2012-05-29,4.95,GLOBAL SYSTEM WITHDRAW
96799,102161,6,2012-05-30,205.00,GLOBAL SYSTEM DEPOSIT
96801,102195,26,2012-05-30,1000.00,GLOBAL SYSTEM DEPOSIT
96802,102192,20,2012-05-30,675.00,GLOBAL SYSTEM DEPOSIT
96803,102211,29,2012-05-30,600.00,GLOBAL SYSTEM DEPOSIT
97010,82268,3,2012-08-28,894.51,GLOBAL SYSTEM DEPOSIT
97012,82269,2,2012-08-29,529.37,GLOBAL SYSTEM DEPOSIT
97013,82264,2,2012-08-29,205.00,GLOBAL SYSTEM DEPOSIT
