source_txn_id,source_date,source_side,source_amount,source_description,match_status_120d,best_match_120d_txn_id,best_match_120d_account,best_match_120d_date,best_match_120d_lag_days,best_match_120d_description,best_future_match_txn_id,best_future_match_account,best_future_match_date,best_future_lag_days,best_future_match_description,candidate_count_abs_7d,candidate_count_abs_30d,candidate_count_abs_90d,candidate_count_abs_120d
96306,2012-01-04,credit,260.00,GLOBAL SYSTEM DEPOSIT,NO_MATCH_120D,,,,,,,,,,,0,0,0,0
96465,2012-02-16,credit,627.50,GLOBAL SYSTEM DEPOSIT,MATCH_120D,81582,1615,2012-02-20,4,MCARD DEPOSIT,81582,1615,2012-02-20,4,MCARD DEPOSIT,1,1,1,1
96535,2012-03-09,credit,25.00,GLOBAL SYSTEM DEPOSIT,NO_MATCH_120D,,,,,,,,,,,0,0,0,0
96616,2012-04-03,credit,241.26,GLOBAL SYSTEM DEPOSIT,NO_MATCH_120D,,,,,,,,,,,0,0,0,0
96769,2012-05-22,credit,317.24,GLOBAL SYSTEM DEPOSIT,NO_MATCH_120D,,,,,,,,,,,0,0,0,0
96770,2012-05-23,credit,198.23,GLOBAL SYSTEM DEPOSIT,NO_MATCH_120D,,,,,,,,,,,0,0,0,0
96771,2012-05-23,credit,175.00,GLOBAL SYSTEM DEPOSIT,MATCH_120D,102133,1615,2012-05-15,-8,VCARD DEPOSIT,102187,1615,2012-06-19,27,MCARD DEPOSIT,0,3,3,5
96772,2012-05-23,credit,2383.75,GLOBAL SYSTEM DEPOSIT,NO_MATCH_120D,,,,,,,,,,,0,0,0,0
96773,2012-05-24,credit,205.00,GLOBAL SYSTEM DEPOSIT,MATCH_120D,102161,1615,2012-06-05,12,VCARD DEPOSIT,102161,1615,2012-06-05,12,VCARD DEPOSIT,0,4,21,25
96774,2012-05-24,credit,200.00,GLOBAL SYSTEM DEPOSIT,MATCH_120D,102112,1615,2012-05-07,-17,DCARD DEPOSIT,,,,,,0,1,6,6
96775,2012-05-24,credit,250.00,GLOBAL SYSTEM DEPOSIT,MATCH_120D,102061,1615,2012-04-10,-44,DCARD DEPOSIT,,,,,,0,0,6,9
96780,2012-05-25,credit,500.00,GLOBAL SYSTEM DEPOSIT,MATCH_120D,102134,1615,2012-05-15,-10,VCARD DEPOSIT,102163,1615,2012-06-05,11,VCARD DEPOSIT,0,5,13,14
96781,2012-05-25,credit,705.00,GLOBAL SYSTEM DEPOSIT,MATCH_120D,102006,1615,2012-03-16,-70,VCARD DEPOSIT,,,,,,0,0,1,1
96782,2012-05-25,credit,494.00,GLOBAL SYSTEM DEPOSIT,NO_MATCH_120D,,,,,,,,,,,0,0,0,0
96784,2012-05-28,credit,175.00,GLOBAL SYSTEM DEPOSIT,MATCH_120D,102133,1615,2012-05-15,-13,VCARD DEPOSIT,102187,1615,2012-06-19,22,MCARD DEPOSIT,0,2,3,5
96785,2012-05-28,credit,205.00,GLOBAL SYSTEM DEPOSIT,MATCH_120D,102161,1615,2012-06-05,8,VCARD DEPOSIT,102161,1615,2012-06-05,8,VCARD DEPOSIT,0,4,20,25
96786,2012-05-28,credit,654.69,GLOBAL SYSTEM DEPOSIT,NO_MATCH_120D,,,,,,,,,,,0,0,0,0
96789,2012-05-29,credit,2018.25,GLOBAL SYSTEM DEPOSIT,NO_MATCH_120D,,,,,,,,,,,0,0,0,0
96790,2012-05-29,credit,235.00,GLOBAL SYSTEM DEPOSIT,NO_MATCH_120D,,,,,,,,,,,0,0,0,0
