source_txn_id,source_account,source_date,source_side,source_amount,source_description,match_status,matched_1615_txn_id,matched_1615_date,date_diff_days,matched_1615_description
96306,0228362,2012-01-04,credit,260.00,GLOBAL SYSTEM DEPOSIT,NO_1615_MATCH_WITHIN_3D,,,,
96465,0228362,2012-02-16,credit,627.50,GLOBAL SYSTEM DEPOSIT,NO_1615_MATCH_WITHIN_3D,,,,
96535,0228362,2012-03-09,credit,25.00,GLOBAL SYSTEM DEPOSIT,NO_1615_MATCH_WITHIN_3D,,,,
96616,0228362,2012-04-03,credit,241.26,GLOBAL SYSTEM DEPOSIT,NO_1615_MATCH_WITHIN_3D,,,,
96769,0228362,2012-05-22,credit,317.24,GLOBAL SYSTEM DEPOSIT,NO_1615_MATCH_WITHIN_3D,,,,
96770,0228362,2012-05-23,credit,198.23,GLOBAL SYSTEM DEPOSIT,NO_1615_MATCH_WITHIN_3D,,,,
96771,0228362,2012-05-23,credit,175.00,GLOBAL SYSTEM DEPOSIT,NO_1615_MATCH_WITHIN_3D,,,,
96772,0228362,2012-05-23,credit,2383.75,GLOBAL SYSTEM DEPOSIT,NO_1615_MATCH_WITHIN_3D,,,,
96773,0228362,2012-05-24,credit,205.00,GLOBAL SYSTEM DEPOSIT,NO_1615_MATCH_WITHIN_3D,,,,
96774,0228362,2012-05-24,credit,200.00,GLOBAL SYSTEM DEPOSIT,NO_1615_MATCH_WITHIN_3D,,,,
96775,0228362,2012-05-24,credit,250.00,GLOBAL SYSTEM DEPOSIT,NO_1615_MATCH_WITHIN_3D,,,,
96780,0228362,2012-05-25,credit,500.00,GLOBAL SYSTEM DEPOSIT,NO_1615_MATCH_WITHIN_3D,,,,
96781,0228362,2012-05-25,credit,705.00,GLOBAL SYSTEM DEPOSIT,NO_1615_MATCH_WITHIN_3D,,,,
96782,0228362,2012-05-25,credit,494.00,GLOBAL SYSTEM DEPOSIT,NO_1615_MATCH_WITHIN_3D,,,,
96784,0228362,2012-05-28,credit,175.00,GLOBAL SYSTEM DEPOSIT,NO_1615_MATCH_WITHIN_3D,,,,
96785,0228362,2012-05-28,credit,205.00,GLOBAL SYSTEM DEPOSIT,NO_1615_MATCH_WITHIN_3D,,,,
96786,0228362,2012-05-28,credit,654.69,GLOBAL SYSTEM DEPOSIT,NO_1615_MATCH_WITHIN_3D,,,,
96789,0228362,2012-05-29,credit,2018.25,GLOBAL SYSTEM DEPOSIT,NO_1615_MATCH_WITHIN_3D,,,,
96790,0228362,2012-05-29,credit,235.00,GLOBAL SYSTEM DEPOSIT,NO_1615_MATCH_WITHIN_3D,,,,
96791,0228362,2012-05-29,credit,580.00,GLOBAL SYSTEM DEPOSIT,NO_1615_MATCH_WITHIN_3D,,,,
96792,0228362,2012-05-29,credit,678.75,GLOBAL SYSTEM DEPOSIT,NO_1615_MATCH_WITHIN_3D,,,,
96793,0228362,2012-05-29,credit,772.00,GLOBAL SYSTEM DEPOSIT,NO_1615_MATCH_WITHIN_3D,,,,
96794,0228362,2012-05-29,credit,1992.73,GLOBAL SYSTEM DEPOSIT,NO_1615_MATCH_WITHIN_3D,,,,
96797,0228362,2012-05-29,debit,4.95,GLOBAL SYSTEM WITHDRAW,NO_1615_MATCH_WITHIN_3D,,,,
96799,0228362,2012-05-30,credit,205.00,GLOBAL SYSTEM DEPOSIT,NO_1615_MATCH_WITHIN_3D,,,,
96800,0228362,2012-05-30,credit,450.00,GLOBAL SYSTEM DEPOSIT,NO_1615_MATCH_WITHIN_3D,,,,
96801,0228362,2012-05-30,credit,1000.00,GLOBAL SYSTEM DEPOSIT,NO_1615_MATCH_WITHIN_3D,,,,
96802,0228362,2012-05-30,credit,675.00,GLOBAL SYSTEM DEPOSIT,NO_1615_MATCH_WITHIN_3D,,,,
96803,0228362,2012-05-30,credit,600.00,GLOBAL SYSTEM DEPOSIT,NO_1615_MATCH_WITHIN_3D,,,,
96850,0228362,2012-06-11,debit,9.65,GLOBAL SYSTEM WITHDRAW,NO_1615_MATCH_WITHIN_3D,,,,
96851,0228362,2012-06-12,credit,1325.00,GLOBAL SYSTEM DEPOSIT,NO_1615_MATCH_WITHIN_3D,,,,
96855,0228362,2012-06-12,credit,361.85,GLOBAL SYSTEM DEPOSIT,NO_1615_MATCH_WITHIN_3D,,,,
96856,0228362,2012-06-12,credit,2233.79,GLOBAL SYSTEM DEPOSIT,NO_1615_MATCH_WITHIN_3D,,,,
96858,0228362,2012-06-13,credit,269.00,GLOBAL SYSTEM DEPOSIT,NO_1615_MATCH_WITHIN_3D,,,,
96872,0228362,2012-06-18,debit,1061.50,GLOBAL SYSTEM WITHDRAW,NO_1615_MATCH_WITHIN_3D,,,,
96874,0228362,2012-06-19,credit,500.00,GLOBAL SYSTEM DEPOSIT,NO_1615_MATCH_WITHIN_3D,,,,
97010,0228362,2012-08-28,credit,894.51,GLOBAL SYSTEM DEPOSIT,NO_1615_MATCH_WITHIN_3D,,,,
97012,0228362,2012-08-29,credit,529.37,GLOBAL SYSTEM DEPOSIT,NO_1615_MATCH_WITHIN_3D,,,,
97013,0228362,2012-08-29,credit,205.00,GLOBAL SYSTEM DEPOSIT,NO_1615_MATCH_WITHIN_3D,,,,
97071,0228362,2012-10-01,credit,54.00,GLOBAL SYSTEM DEPOSIT,NO_1615_MATCH_WITHIN_3D,,,,
