txn_id,account,txn_date,side,amount,description,check_number,receipt_id,reconciled_receipt_id,reconciliation_status,category,bucket,recommended_action
96306,0228362,2012-01-04,credit,260.00,GLOBAL SYSTEM DEPOSIT,,,,unreconciled,,card_settlement_deposit,keep_8362_card_settlement
96325,0228362,2012-01-09,credit,1600.00,DEPOSIT,,,,unreconciled,,generic_deposit,review_source_then_keep
96465,0228362,2012-02-16,credit,627.50,GLOBAL SYSTEM DEPOSIT,,,,unreconciled,,card_settlement_deposit,keep_8362_card_settlement
96519,0228362,2012-03-05,debit,31.00,ETRANSFER Paul Mansell,,217890,,payroll,,transfer,review_counterparty_transfer
96535,0228362,2012-03-09,credit,25.00,GLOBAL SYSTEM DEPOSIT,,,,unreconciled,,card_settlement_deposit,keep_8362_card_settlement
96604,0228362,2012-03-31,debit,36.50,BANK FEE,,217594,,unreconciled,,bank_fee_interest,keep_8362_bank_charges
96616,0228362,2012-04-03,credit,241.26,GLOBAL SYSTEM DEPOSIT,,,,unreconciled,,card_settlement_deposit,keep_8362_card_settlement
96769,0228362,2012-05-22,credit,317.24,GLOBAL SYSTEM DEPOSIT,,,,unreconciled,,card_settlement_deposit,keep_8362_card_settlement
96770,0228362,2012-05-23,credit,198.23,GLOBAL SYSTEM DEPOSIT,,,,unreconciled,,card_settlement_deposit,keep_8362_card_settlement
96771,0228362,2012-05-23,credit,175.00,GLOBAL SYSTEM DEPOSIT,,,,unreconciled,,card_settlement_deposit,keep_8362_card_settlement
96772,0228362,2012-05-23,credit,2383.75,GLOBAL SYSTEM DEPOSIT,,,,unreconciled,,card_settlement_deposit,keep_8362_card_settlement
96773,0228362,2012-05-24,credit,205.00,GLOBAL SYSTEM DEPOSIT,,,,unreconciled,,card_settlement_deposit,keep_8362_card_settlement
96774,0228362,2012-05-24,credit,200.00,GLOBAL SYSTEM DEPOSIT,,,,unreconciled,,card_settlement_deposit,keep_8362_card_settlement
96775,0228362,2012-05-24,credit,250.00,GLOBAL SYSTEM DEPOSIT,,,,unreconciled,,card_settlement_deposit,keep_8362_card_settlement
