final_action,final_reason,source,verification,gl_date,gl_chq,gl_vendor,gl_amount,gl_account,bank_txn_id,bank_txn_date,bank_debit,bank_desc,bank_check,receipt_id,receipt_exists,receipt_date,receipt_vendor,receipt_amount,receipt_payment_method,bank_links_via_banking_table,notes
APPLY_RECEIPT_ONLY,receipt evidence without bank linkage,gl_vs_banking_unmatched_receipt_verification_2012.csv,RECEIPT_ONLY,2012-01-03,cash,Erles Auto Repair,453.34,1090 Bank Shareholder,,,,,,173547,1,2012-01-31,ERLES AUTO REPAIR,453.34,reimbursement,0,"no bank match in window, but receipt candidate exists"
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2012-01-24,cash,Fibrenew,1050.00,1090 Bank Shareholder,81849,2012-04-12,1050.00,CHQ 240 FIBRENEW,240,217694,1,2012-04-12,CHEQUE PAYMENT REVIEW,1050.00,,1,vendor_overlap+date_delay +RECEIPT_ONLY@gl_vs_banking_unmatched_receipt_verification_2012.csv
APPLY_CONFIRMED,direct/merged bank evidence,gl_vs_banking_unmatched_receipt_verification_2012.csv,DIRECT_MATCH,2012-01-24,cash,Parr's Automotive,500.00,1090 Bank Shareholder,81617,2012-02-24,500.00,PARRS AUTOMOTIVE,,217871,1,2012-02-24,UNLINKED EXPENSE REVIEW,500.00,,1,status=reconciled
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2012-02-02,209,106.7 The Drive,550.00,1000 CIBC Bank 1615,81527,2012-02-08,550.00,CHQ 209 106.7 THE DRIVE,209,217679,1,2012-02-08,CHEQUE PAYMENT REVIEW,550.00,,1,check_exact+vendor_overlap
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2012-02-28,cash,Fibrenew,1050.00,1090 Bank Shareholder,82095,2012-06-13,1050.00,CHQ 274 FIBRENEW,274,217724,1,2012-06-13,CHEQUE PAYMENT REVIEW,1050.00,,1,vendor_overlap+date_delay +RECEIPT_ONLY@gl_vs_banking_unmatched_receipt_verification_2012.csv
APPLY_RECEIPT_ONLY,receipt evidence without bank linkage,gl_vs_banking_unmatched_receipt_verification_2012.csv,RECEIPT_ONLY,2012-03-08,cash,Red Deer Advocate,108.57,1090 Bank Shareholder,,,,,,217214,1,2012-03-08,RED DEER ADVOCATE,108.57,cash,0,"no bank match in window, but receipt candidate exists"
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2012-03-14,215,Welcome Wagon,150.00,1000 CIBC Bank 1615,81728,2012-03-19,150.00,CHQ 215 WELCOME WAGON,215,141634,1,2012-03-19,CHQ 215 WELCOME WAGON,150.00,cheque,1,check_exact+vendor_overlap
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2012-05-01,cash,Fibrenew,1050.00,1090 Bank Shareholder,82188,2012-07-10,1050.00,CHQ 276 FIBRENEW,276,217732,1,2012-07-10,CHEQUE PAYMENT REVIEW,1050.00,,1,vendor_overlap+date_delay +DIRECT_MATCH@gl_vs_banking_unmatched_receipt_verification_2012.csv
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2012-05-23,262,CFIB,460.00,1000 CIBC Bank 1615,82081,2012-06-11,460.00,CHQ 262 CFIB,262,217721,1,2012-06-11,CHEQUE PAYMENT REVIEW,460.00,,1,check_exact+vendor_overlap+date_delay +DIRECT_MATCH@gl_vs_banking_unmatched_receipt_verification_2012.csv
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2012-07-10,3,Parr's Automotive,2000.00,1010 Scotia Bank Main,69093,2012-07-13,2000.00,CHQ 3 PARRS AUTOMOTIVE,3,140419,1,2012-07-13,PARRS AUTOMOTIVE,2000.00,cheque,1,check_exact
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2012-07-13,4,Erles Auto Repair,840.95,1010 Scotia Bank Main,69092,2012-07-13,840.95,CHQ 4 EARLS AUTO,4,140418,1,2012-07-13,CHQ 4 EARLS AUTO,840.95,cheque,1,check_exact
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2012-07-23,11,Kirk's Tire (Red Deer) Ltd.,3000.00,1010 Scotia Bank Main,69142,2012-07-23,3000.00,CHQ 11 KIRKS TIRE,11,140468,1,2012-07-23,KIRKS TIRE,3000.00,cheque,1,check_exact
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2012-08-04,18,Fibrenew,1207.50,1010 Scotia Bank Main,69203,2012-08-09,1207.50,CHQ 18 FIBRENEW,18,140529,1,2012-08-09,CHQ 18 FIBRENEW,1207.50,cash,1,check_exact+vendor_overlap
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2012-08-10,21,Parr's Automotive,1000.00,1010 Scotia Bank Main,69205,2012-08-10,1000.00,CHQ 21 PARRS AUTOMOTIVE,21,140531,1,2012-08-10,PARRS AUTOMOTIVE,1000.00,cheque,1,check_exact
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2012-08-10,278,Parr's Automotive,300.00,1000 CIBC Bank 1615,82240,2012-08-10,300.00,CHQ 278 PARRS AUTOMOTIVE,278,217745,1,2012-08-10,CHEQUE PAYMENT REVIEW,300.00,,1,check_exact
APPLY_RECEIPT_ONLY,receipt evidence without bank linkage,gl_vs_banking_unmatched_receipt_verification_2012.csv,RECEIPT_ONLY,2012-08-10,cash,Parr's Automotive,700.00,1090 Bank Shareholder,,,,,,215488,1,2012-08-10,PARRS AUTOMOTIVE,700.00,cash,0,"no bank match in window, but receipt candidate exists"
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2012-09-10,50,Fibrenew,1163.75,1010 Scotia Bank Main,69396,2012-10-01,1163.75,CHQ 50 FIBRENEW,50,139342,1,2012-10-01,CHQ 50 FIBRENEW,1163.75,cheque,1,check_exact+vendor_overlap+date_delay +DIRECT_MATCH@gl_vs_banking_unmatched_receipt_verification_2012.csv
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2012-09-10,51,Fibrenew,170.43,1010 Scotia Bank Main,69395,2012-10-01,170.43,CHQ 51 FIBRENEW (UTILITIES),51,139341,1,2012-10-01,CHQ 51 FIBRENEW,170.43,cheque,1,check_exact+vendor_overlap+date_delay +DIRECT_MATCH@gl_vs_banking_unmatched_receipt_verification_2012.csv
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2012-09-17,54,Telus Communications,3007.97,1010 Scotia Bank Main,69340,2012-09-17,3007.97,CHQ 54 TELUS,54,140666,1,2012-09-17,CHQ 54 TELUS,3007.97,cheque,1,check_exact
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2012-09-18,55,Telus Communications,166.19,1010 Scotia Bank Main,69347,2012-09-18,166.19,CHQ 55 TELUS,55,140673,1,2012-09-18,CHQ 55 TELUS,166.19,cheque,1,check_exact
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2012-09-26,59,AGLC,200.00,1010 Scotia Bank Main,69397,2012-10-01,200.00,CHQ 59 AGLC (LICENSE RENEWAL),59,139343,1,2012-10-01,CHQ 59 AGLC,200.00,debit_card,1,check_exact+vendor_overlap
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2012-10-09,75,Parr's Automotive,2000.00,1010 Scotia Bank Main,69442,2012-10-12,2000.00,CHQ 75 PARRS AUTO,75,139388,1,2012-10-12,PARRS AUTOMOTIVE,2000.00,cheque,1,check_exact
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2012-10-12,76,Parr's Automotive,1500.00,1010 Scotia Bank Main,69457,2012-10-16,1500.00,CHQ 76 PARRS AUTO,76,139403,1,2012-10-16,PARRS AUTOMOTIVE,1500.00,cheque,1,check_exact
APPLY_RECEIPT_ONLY,receipt evidence without bank linkage,gl_vs_banking_unmatched_receipt_verification_2012.csv,RECEIPT_ONLY,2012-10-18,cash,Fibrenew,105.00,1090 Bank Shareholder,,,,,,215490,1,2012-10-15,FIBRENEW REPAIRS,105.00,cash,0,"no bank match in window, but receipt candidate exists"
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2012-10-20,78,Fibrenew,1445.62,1010 Scotia Bank Main,69487,2012-10-24,1445.62,CHQ 78 FIBRENEW,78,139433,1,2012-10-24,CHQ 78 FIBRENEW,1445.62,cheque,1,check_exact+vendor_overlap
APPLY_RECEIPT_ONLY,receipt evidence without bank linkage,gl_vs_banking_unmatched_receipt_verification_2012.csv,RECEIPT_ONLY,2012-10-31,cash,Fibrenew,183.84,1090 Bank Shareholder,,,,,,215469,1,2012-10-31,FIBRENEW,183.84,cash,0,"no bank match in window, but receipt candidate exists"
