file,metric,value
Copy of General_ledger2.csv,raw_rows,396
Copy of General_ledger2.csv,comparable_rows,180
Copy of General_ledger2.csv,t1_strong_hits,0
Copy of General_ledger2.csv,t2_strong_hits,0
Copy of General_ledger2.csv,t3_weak_hits,0
Copy of General_ledger2.csv,class_MISSING_IN_ALMS,180
Copy of General_ledger.csv,raw_rows,46320
Copy of General_ledger.csv,comparable_rows,45952
Copy of General_ledger.csv,t1_strong_hits,43328
Copy of General_ledger.csv,t2_strong_hits,0
Copy of General_ledger.csv,t3_weak_hits,0
Copy of General_ledger.csv,class_MISMATCH_IN_ALMS,1131
Copy of General_ledger.csv,class_MISSING_IN_ALMS,1493
Copy of General_ledger.csv,class_PRESENT_STRONG,43328
