gl_date,gl_chq,gl_vendor,gl_amount,gl_account,bank_id,bank_date,bank_debit,bank_desc,bank_check,bank_recipient,bank_account,receipt_id,reconciled_receipt_id,date_diff_days,match_reason
2012-01-24,cash,Fibrenew,1050.00,1090 Bank Shareholder,81849,2012-04-12,1050.00,CHQ 240 FIBRENEW,240,,1615,217694,,79,vendor_overlap+date_delay
2012-02-02,209,106.7 The Drive,550.00,1000 CIBC Bank 1615,81527,2012-02-08,550.00,CHQ 209 106.7 THE DRIVE,209,,1615,217679,,6,check_exact+vendor_overlap
2012-02-28,cash,Fibrenew,1050.00,1090 Bank Shareholder,82095,2012-06-13,1050.00,CHQ 274 FIBRENEW,274,,1615,217724,,106,vendor_overlap+date_delay
2012-03-14,215,Welcome Wagon,150.00,1000 CIBC Bank 1615,81728,2012-03-19,150.00,CHQ 215 WELCOME WAGON,215,,1615,141634,,5,check_exact+vendor_overlap
2012-05-01,cash,Fibrenew,1050.00,1090 Bank Shareholder,82188,2012-07-10,1050.00,CHQ 276 FIBRENEW,276,,1615,217732,,70,vendor_overlap+date_delay
2012-05-23,262,CFIB,460.00,1000 CIBC Bank 1615,82081,2012-06-11,460.00,CHQ 262 CFIB,262,,1615,217721,,19,check_exact+vendor_overlap+date_delay
2012-07-10,3,Parr's Automotive,2000.00,1010 Scotia Bank Main,69093,2012-07-13,2000.00,CHQ 3 PARRS AUTOMOTIVE,3,PARRS AUTOMOTIVE,903990106011,140419,,3,check_exact
2012-07-13,4,Erles Auto Repair,840.95,1010 Scotia Bank Main,69092,2012-07-13,840.95,CHQ 4 EARLS AUTO,4,EARLS AUTO,903990106011,140418,,0,check_exact
2012-07-23,11,Kirk's Tire (Red Deer) Ltd.,3000.00,1010 Scotia Bank Main,69142,2012-07-23,3000.00,CHQ 11 KIRKS TIRE,11,KIRKS TIRE,903990106011,140468,,0,check_exact
2012-08-04,18,Fibrenew,1207.50,1010 Scotia Bank Main,69203,2012-08-09,1207.50,CHQ 18 FIBRENEW,18,FIBRENEW,903990106011,140529,,5,check_exact+vendor_overlap
2012-08-10,278,Parr's Automotive,300.00,1000 CIBC Bank 1615,82240,2012-08-10,300.00,CHQ 278 PARRS AUTOMOTIVE,278,,1615,217745,,0,check_exact
2012-08-10,21,Parr's Automotive,1000.00,1010 Scotia Bank Main,69205,2012-08-10,1000.00,CHQ 21 PARRS AUTOMOTIVE,21,PARRS AUTOMOTIVE,903990106011,140531,,0,check_exact
2012-09-10,51,Fibrenew,170.43,1010 Scotia Bank Main,69395,2012-10-01,170.43,CHQ 51 FIBRENEW (UTILITIES),51,FIBRENEW,903990106011,139341,,21,check_exact+vendor_overlap+date_delay
2012-09-10,50,Fibrenew,1163.75,1010 Scotia Bank Main,69396,2012-10-01,1163.75,CHQ 50 FIBRENEW,50,FIBRENEW,903990106011,139342,,21,check_exact+vendor_overlap+date_delay
2012-09-17,54,Telus Communications,3007.97,1010 Scotia Bank Main,69340,2012-09-17,3007.97,CHQ 54 TELUS,54,TELUS,903990106011,140666,,0,check_exact
2012-09-18,55,Telus Communications,166.19,1010 Scotia Bank Main,69347,2012-09-18,166.19,CHQ 55 TELUS,55,TELUS,903990106011,140673,,0,check_exact
2012-09-26,59,AGLC,200.00,1010 Scotia Bank Main,69397,2012-10-01,200.00,CHQ 59 AGLC (LICENSE RENEWAL),59,AGLC,903990106011,139343,,5,check_exact+vendor_overlap
2012-10-09,75,Parr's Automotive,2000.00,1010 Scotia Bank Main,69442,2012-10-12,2000.00,CHQ 75 PARRS AUTO,75,PARRS AUTOMOTIVE,903990106011,139388,,3,check_exact
2012-10-12,76,Parr's Automotive,1500.00,1010 Scotia Bank Main,69457,2012-10-16,1500.00,CHQ 76 PARRS AUTO,76,PARRS AUTOMOTIVE,903990106011,139403,,4,check_exact
2012-10-20,78,Fibrenew,1445.62,1010 Scotia Bank Main,69487,2012-10-24,1445.62,CHQ 78 FIBRENEW,78,FIBRENEW,903990106011,139433,,4,check_exact+vendor_overlap
2012-12-03,101,Parr's Automotive,2000.00,1010 Scotia Bank Main,102510,2012-12-03,2000.00,Parr's Automotive,101,,1615,,,0,check_exact+vendor_overlap
2012-12-06,97,Welcome Wagon,100.00,1010 Scotia Bank Main,69646,2012-12-06,100.00,CHQ 97 WELCOME WAGON,97,WELCOME WAGON,903990106011,140863,,0,check_exact+vendor_overlap
2013-01-28,129,Fibrenew,1268.48,1010 Scotia Bank Main,77808,2013-01-30,1268.48,chq 129,129,,903990106011,139496,,2,check_exact
2013-02-03,133,With This Ring Bridal Gala,1050.00,1010 Scotia Bank Main,77839,2013-02-05,1050.00,chq 133,133,,903990106011,139501,,2,check_exact
2013-02-08,147,Cal Red Consulting Ltd.,273.00,1010 Scotia Bank Main,77857,2013-02-11,273.00,chq 147,147,,903990106011,139509,,3,check_exact
2013-02-08,146,Cal Red Consulting Ltd.,1865.36,1010 Scotia Bank Main,77856,2013-02-11,1865.36,chq 146,146,,903990106011,139508,,3,check_exact
2013-03-26,156,Fibrenew,2000.00,1010 Scotia Bank Main,78067,2013-03-27,2000.00,CHQ 156,156,,903990106011,139570,,1,check_exact
2013-06-11,195,Fibrenew,1575.00,1010 Scotia Bank Main,78456,2013-06-11,1575.00,CHQ 195,195,,903990106011,139700,,0,check_exact
2013-07-02,206,Kirk's Tire (Red Deer) Ltd.,1000.00,1010 Scotia Bank Main,78572,2013-07-03,1000.00,chq 206,206,,903990106011,139737,,1,check_exact
2013-07-08,217,Fibrenew,2427.74,1010 Scotia Bank Main,78613,2013-07-09,2427.74,CHQ 217,217,,903990106011,139757,,1,check_exact
2013-08-16,224,Fibrenew,1575.00,1010 Scotia Bank Main,78800,2013-08-20,1575.00,CHQ 224,224,,903990106011,139806,,4,check_exact
2013-09-03,228,Fibrenew,1575.00,1010 Scotia Bank Main,78842,2013-09-03,1575.00,CHQ 228,228,,903990106011,139821,,0,check_exact
2013-09-10,232,Erles Auto Repair,782.99,1010 Scotia Bank Main,78884,2013-09-11,782.99,CHQ 232,232,,903990106011,139834,,1,check_exact
2013-09-25,239,AGLC,200.00,1010 Scotia Bank Main,78975,2013-09-27,200.00,CHQ 239,239,,903990106011,139869,,2,check_exact
2013-09-26,243,With This Ring Bridal Gala,1050.00,1010 Scotia Bank Main,78974,2013-09-27,1050.00,CHQ 243,243,,903990106011,139868,,1,check_exact
2013-10-07,246,Fibrenew,232.90,1010 Scotia Bank Main,79005,2013-10-07,232.90,CHQ 246,246,,903990106011,139886,,0,check_exact
2013-10-07,252,Royal Refrigeration Ltd,1109.26,1010 Scotia Bank Main,79136,2013-11-01,1109.26,CHQ 252,252,,903990106011,139945,,25,check_exact+date_delay
2013-10-07,245,Fibrenew,1575.00,1010 Scotia Bank Main,79006,2013-10-07,1575.00,CHQ 245,245,,903990106011,139887,,0,check_exact
2013-10-17,255,Action Pages Canada,857.50,1010 Scotia Bank Main,79130,2013-10-31,857.50,CHQ 255,255,,903990106011,139943,,14,check_exact+date_delay
2013-11-01,270,Fibrenew,451.77,1010 Scotia Bank Main,79210,2013-11-19,451.77,CHQ 270,270,,903990106011,139961,,18,check_exact+date_delay
2013-11-19,269,Fibrenew,1706.25,1010 Scotia Bank Main,79209,2013-11-19,1706.25,CHQ 269,269,,903990106011,139960,,0,check_exact
2013-11-21,271,Full Spectrum,646.96,1010 Scotia Bank Main,79256,2013-11-29,646.96,CHQ 271,271,,903990106011,139974,,8,check_exact+date_delay
2013-11-29,273,Community Networking Solutions,1359.75,1010 Scotia Bank Main,79278,2013-12-03,1359.75,CHQ 273,273,,903990106011,139978,,4,check_exact
2013-11-29,272,Full Spectrum,3805.23,1010 Scotia Bank Main,79254,2013-11-29,3805.23,CHQ 272,272,,903990106011,139972,,0,check_exact
2013-12-18,283,Big 105,1260.00,1010 Scotia Bank Main,79386,2013-12-24,1260.00,CHQ 283,283,,903990106011,140022,,6,check_exact
2013-12-27,289,Fibrenew,492.26,1010 Scotia Bank Main,79417,2013-12-31,492.26,CHQ 289,289,,903990106011,140036,,4,check_exact
2013-12-27,288,Fibrenew,1706.25,1010 Scotia Bank Main,79416,2013-12-31,1706.25,CHQ 288,288,,903990106011,140035,,4,check_exact
2014-01-02,292,Carriage Auto Upholstery,1540.00,1010 Scotia Bank Main,79444,2014-01-06,1540.00,CHQ 292 CARRIAGE UPHOLSTERY,292,CARRIAGE UPHOLSTERY,903990106011,140048,,4,check_exact
2014-01-25,308,With This Ring Bridal Gala,997.50,1010 Scotia Bank Main,79524,2014-01-27,997.50,CHQ 308 WITH THIS RING (WEDDING SHOW AD),308,WITH THIS RING,903990106011,140078,,2,check_exact
2014-03-06,325,Big 105,630.00,1010 Scotia Bank Main,79715,2014-03-07,630.00,CHQ 325 106.7 THE DRIVE,325,BIG 105,903990106011,140139,,1,check_exact+vendor_overlap
2014-03-07,327,IP Fabrications Ltd.,892.50,1010 Scotia Bank Main,79732,2014-03-10,892.50,CHQ 327 IP FABRICATION LTD (BUS SEAT FRAME),327,IP FABRICATION LTD,903990106011,140142,,3,check_exact
2014-03-24,335,Fibrenew,2179.34,1010 Scotia Bank Main,79797,2014-03-24,2179.34,CHQ 335 FIBRENEW (INV 5386 AND 5365),335,FIBRENEW,903990106011,140163,,0,check_exact+vendor_overlap
2014-04-07,337,CFIB,500.00,1010 Scotia Bank Main,79896,2014-04-11,500.00,CHQ 337 CFIB,337,CFIB,903990106011,140201,,4,check_exact+vendor_overlap
2014-04-24,347,Fibrenew,252.83,1010 Scotia Bank Main,80014,2014-05-01,252.83,CHQ 347 FIBRENEW (UTILITIES - INV 5293),347,FIBRENEW,903990106011,140227,,7,check_exact+vendor_overlap
2014-04-24,348,Fibrenew,1706.25,1010 Scotia Bank Main,80013,2014-05-01,1706.25,CHQ 348 FIBRENEW (INV 5327),348,FIBRENEW,903990106011,215476,,7,check_exact+vendor_overlap
2014-04-27,349,Fibrenew,382.80,1010 Scotia Bank Main,80012,2014-05-01,382.80,"CHQ 349 FIBRENEW (UTILITIES - INV 5328, 5387)",349,FIBRENEW,903990106011,140225,,4,check_exact+vendor_overlap
2014-05-08,357,Big 105,672.00,1010 Scotia Bank Main,80060,2014-05-09,672.00,CHQ 357 106.7 THE DRIVE,357,BIG 105,903990106011,140245,,1,check_exact+vendor_overlap
2014-05-13,359,Fibrenew,1706.25,1010 Scotia Bank Main,80149,2014-05-22,1706.25,CHQ 359 FIBRENEW,359,FIBRENEW,903990106011,140269,,9,check_exact+vendor_overlap+date_delay
2014-05-29,367,106.7 The Drive,672.00,1010 Scotia Bank Main,80216,2014-06-02,672.00,CHQ 367 106.7 THE DRIVE,367,BIG 105,903990106011,140289,,4,check_exact+vendor_overlap
