status,gl_date,gl_chq,gl_vendor,gl_amount,gl_account,bk_id,bk_date,bk_debit,bk_desc,bk_chq,date_diff_days,amt_diff
MATCHED,2012-01-03,dd,Erles Auto Repair,308.70,1000 CIBC Bank 1615,99420,2012-01-03,308.70,ERLES AUTO REPAIR,,0,0.00
MATCHED,2012-01-04,dd,Erles Auto Repair,553.89,1000 CIBC Bank 1615,101822,2012-01-04,553.89,ERLES AUTO REPAIR,,0,0.00
MATCHED,2012-01-06,dd,Erles Auto Repair,905.08,1000 CIBC Bank 1615,101837,2012-01-06,905.08,ERLES AUTO REPAIR,,0,0.00
MATCHED,2012-01-20,dd,Rogers,891.72,1000 CIBC Bank 1615,101879,2012-01-20,891.72,ROGERS,,0,0.00
MATCHED,2012-01-31,dd,Erles Auto Repair,1443.24,1000 CIBC Bank 1615,101902,2012-01-31,1443.24,ERLES AUTO REPAIR,,0,0.00
MATCHED,2012-01-31,dd,Full Spectrum,1170.75,1000 CIBC Bank 1615,81491,2012-01-31,1170.75,Full Spectrum,,0,0.00
MATCHED,2012-02-02,209,106.7 The Drive,550.00,1000 CIBC Bank 1615,81527,2012-02-08,550.00,CHQ 209 106.7 THE DRIVE,209,6,0.00
MATCHED,2012-02-13,dd,Telus Communications,2083.34,1000 CIBC Bank 1615,81552,2012-02-13,2083.34,TELUS,,0,0.00
MATCHED,2012-02-22,dd,Parr's Automotive,500.00,1000 CIBC Bank 1615,81578,2012-02-20,500.00,CASH WITHDRAWAL,,2,0.00
MATCHED,2012-03-06,dd,Telus Communications,2142.59,1000 CIBC Bank 1615,81676,2012-03-06,2142.59,TELUS,,0,0.00
MATCHED,2012-03-07,dd,Parr's Automotive,200.00,1000 CIBC Bank 1615,81679,2012-03-07,200.00,PARRS AUTOMOTIVE,,0,0.00
MATCHED,2012-03-14,215,Welcome Wagon,150.00,1000 CIBC Bank 1615,81728,2012-03-19,150.00,CHQ 215 WELCOME WAGON,215,5,0.00
MATCHED,2012-03-15,dd,Vibe Car Auto,262.50,1000 CIBC Bank 1615,81714,2012-03-14,262.50,VIBE CAR AUDIO,,1,0.00
NO_DATE_OR_AMOUNT,2012-04-03,,Sully Chapman Beattie,0.00,1000 CIBC Bank 1615,,,,,,,
MATCHED,2012-04-10,dd,Telus Communications,2945.15,1000 CIBC Bank 1615,102064,2012-04-10,2945.15,TELUS,,0,0.00
NO_DATE_OR_AMOUNT,2012-04-11,,106.7 The Drive,0.00,1000 CIBC Bank 1615,,,,,,,
NO_DATE_OR_AMOUNT,2012-04-12,,Fibrenew,0.00,1000 CIBC Bank 1615,,,,,,,
NO_DATE_OR_AMOUNT,2012-04-26,,106.7 The Drive,0.00,1000 CIBC Bank 1615,,,,,,,
MATCHED,2012-05-14,dd,Carriage Auto Upholstery,181.00,1000 CIBC Bank 1615,81976,2012-05-14,181.00,CARRIAGE AUTO,,0,0.00
NO_MATCH,2012-05-23,262,CFIB,460.00,1000 CIBC Bank 1615,,,,,,,
