gl_date,gl_chq,gl_vendor,gl_amount,gl_account,verification,bank_txn_id,bank_txn_date,bank_debit,bank_desc,bank_check,receipt_id,receipt_date,receipt_vendor,receipt_amount,receipt_source,notes
2014-05-13,359,Fibrenew,1706.25,1010 Scotia Bank Main,DIRECT_MATCH,80149,2014-05-22,1706.25,CHQ 359 FIBRENEW,359,140269,2014-05-22,CHQ 359 FIBRENEW,1706.25,,status=reconciled
2014-09-22,dd,Action Pages Canada,2903.61,1020 Personal CIBC 8362,NO_BANK_EVIDENCE,,,,,,,,,,,
2014-01-31,Vi3983,Frame It Store,153.04,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2014-02-06,Vi2450,Erles Auto Repair,268.91,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2014-02-10,cash,Fibrenew,1000.00,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2014-02-10,Vi3983,Frame It Store,153.04,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2014-02-14,cash,Tire Garage,57.76,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2014-02-15,Vi2450,Korax Inc.,314.37,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2014-03-04,dd,Canwest Productions Inc.,105.00,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2014-04-02,dd,Canwest Productions Inc.,400.00,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2014-04-21,dd,Canwest Productions Inc.,609.10,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2014-04-29,cash,Kirk's Tire (Red Deer) Ltd.,1600.00,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2014-04-30,cash,Erles Auto Repair,516.01,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2014-05-01,cash,Fibrenew,1974.58,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2014-05-15,cash,Northland Radiator Service,60.00,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2014-06-19,cash,Tire Garage,196.35,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2014-06-25,dd,Rogers,339.10,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2014-06-28,cash,Tire Garage,1570.00,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2014-07-23,Vi2450,Rogers,422.95,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2014-07-29,cash,Big 105,430.00,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2014-07-30,cash,Choice Auto Electric Ltd.,1.40,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2014-08-12,cash,Big 105,700.00,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2014-08-25,cash,Big 105,120.00,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2014-08-25,Vi7769,The Phone Experts,152.25,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2014-09-03,cash,Fibrenew,2000.00,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2014-09-25,Vi2450,Rogers,264.28,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2014-09-26,dd,Kal-Tire,121.70,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2014-09-29,cash,Tire Garage,28.88,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2014-09-30,cash,Big 105,750.00,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2014-09-30,cash,CarLine,497.70,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2014-10-08,dd,CarLine,210.00,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2014-10-20,cash,Fibrenew,1288.36,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2014-10-23,cash,Big 105,750.00,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2014-10-25,cash,Fibrenew,2286.98,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2014-11-03,cash,106.7 The Drive,630.00,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2014-11-15,dd,Telus Communications,355.34,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2014-11-22,dd,Rogers,313.42,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2014-12-03,dd,CarLine,406.61,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2014-12-22,cash,Erles Auto Repair,830.00,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2014-12-27,dd,Rogers,304.14,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
