gl_date,gl_chq,gl_vendor,gl_amount,gl_account,verification,bank_txn_id,bank_txn_date,bank_debit,bank_desc,bank_check,receipt_id,receipt_date,receipt_vendor,receipt_amount,receipt_source,notes
2016-01-24,dd,Telus Communications,2163.38,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2016-02-17,cash,Fibrenew,380.69,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2016-02-19,cash,Fibrenew,2575.00,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2016-02-23,dd,Rogers,372.00,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2016-03-11,cash,Big 105,250.00,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2016-03-30,dd,Telus Communications,1880.00,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2016-04-12,dd,Telus Communications,123.14,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2016-04-12,dd,Telus Communications,887.98,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2016-04-17,cash,Telus Communications,779.45,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2016-04-21,mc1541,Polar Mobility Research Ltd.,500.00,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2016-04-29,cash,Big 105,200.00,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2016-05-05,cash,Telus Communications,147.86,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2016-05-15,cash,Arctic Mechanical,651.69,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2016-05-18,cash,Fibrenew,2400.00,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2016-05-19,cash,Accounting For Success,283.50,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2016-06-02,cash,The Tire Garage,1257.00,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2016-07-10,cash,Fibrenew,2700.00,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2016-09-24,cash,Accounting For Success,141.75,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2016-10-31,cash,Fibrenew,2400.00,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2016-11-02,cash,Fibrenew,500.00,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2016-12-12,cash,Fibrenew,1250.00,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
2016-12-30,cash,Big 105,860.00,1090 Bank Shareholder,NO_BANK_EVIDENCE,,,,,,,,,,,
