receipt_id,receipt_date,vendor_name,gross_amount,payment_method,canonical_pay_method,is_driver_reimbursement,reimbursed_via,banking_transaction_id,is_matched,receipt_source,classification_bucket,classification_reason
215016,2012-01-01,MOHAWK,48.60,cash,,False,,,False,,fuel_cash_likely,fuel vendor keyword
215017,2012-01-01,MOHAWK,0.08,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
215198,2012-01-01,SHELL,20.00,cash,,False,,,False,,fuel_cash_likely,fuel vendor keyword
215233,2012-01-01,RUN'N ON EMPTY,30.00,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
215286,2012-01-01,RUN'N ON EMPTY,5.81,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
215295,2012-01-01,EDMONTON AIRPORT AUTHORITY,30.00,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
215329,2012-01-01,LIQUOR BARN,6.68,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215593,2012-01-01,CENTEX,46.01,cash,,False,,,False,,fuel_cash_likely,fuel vendor keyword
215672,2012-01-01,UPTOWN LIQUOR STORE,10.39,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
217018,2012-01-01,CANADIAN TIRE,8.00,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
217208,2012-01-01,PUROLATOR,28.25,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
217210,2012-01-01,106.7 THE DRIVE,814.22,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
217232,2012-01-01,CENTEX,89.50,cash,,False,,,False,,fuel_cash_likely,fuel vendor keyword
217248,2012-01-01,MARK'S STORE #3,62.97,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
217328,2012-01-01,CHASE MCKAY,77.34,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
217329,2012-01-01,ESSO,50.00,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
217375,2012-01-01,THE SEWING LOFT,6.30,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
217382,2012-01-01,CENTEX,3.09,cash,,False,,,False,,fuel_cash_likely,fuel vendor keyword
217383,2012-01-01,CENTEX,37.77,cash,,False,,,False,,fuel_cash_likely,fuel vendor keyword
217384,2012-01-01,CENTEX,14.24,cash,,False,,,False,,fuel_cash_likely,fuel vendor keyword
217385,2012-01-01,CENTEX,9.27,cash,,False,,,False,,fuel_cash_likely,fuel vendor keyword
217386,2012-01-01,CENTEX,9.27,cash,,False,,,False,,fuel_cash_likely,fuel vendor keyword
217572,2012-01-01,SWIGS & SWINE,14.17,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
215222,2012-01-02,SHELL,26.00,cash,,False,,,False,,fuel_cash_likely,fuel vendor keyword
217567,2012-01-02,HUMPTYS,11.45,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
214862,2012-01-03,PETRO-CANADA,60.01,cash,,False,,,False,,fuel_cash_likely,fuel vendor keyword
214863,2012-01-03,PETRO-CANADA,4.06,cash,,False,,,False,,fuel_cash_likely,fuel vendor keyword
214971,2012-01-03,CENTEX,64.00,cash,,False,,,False,,fuel_cash_likely,fuel vendor keyword
215343,2012-01-04,CENTEX,43.50,cash,,False,,,False,,fuel_cash_likely,fuel vendor keyword
215691,2012-01-04,GLOBAL LIQUOR STORE,45.88,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
217034,2012-01-04,TOTEM,36.99,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
217408,2012-01-04,BOSTON PIZZA,26.51,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
173539,2012-01-05,ERLES AUTO REPAIR,1443.24,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
173545,2012-01-05,ERLES AUTO REPAIR,396.39,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
216950,2012-01-05,CANADIAN TIRE,7.54,cash,,False,,,False,,vehicle_maintenance_cash_likely,maintenance vendor keyword
217076,2012-01-05,WALMART,29.40,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
173544,2012-01-06,ERLES AUTO REPAIR,508.69,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
215062,2012-01-06,MR SUDS INC.,6.65,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
215690,2012-01-06,GLOBAL LIQUOR STORE,26.64,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
