strict_order,batch_id,processing_priority,classification_bucket,gl_target_hint,receipt_id,receipt_date,vendor_name,gross_amount,payment_method,canonical_pay_method,is_driver_reimbursement,reimbursed_via,recommended_step,receipt_source
1,P1-2012-01-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,217018,2012-01-01,CANADIAN TIRE,8.00,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
2,P1-2012-01-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,217328,2012-01-01,CHASE MCKAY,77.34,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
3,P1-2012-01-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,217329,2012-01-01,ESSO,50.00,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
4,P1-2012-01-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,215017,2012-01-01,MOHAWK,0.08,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
5,P1-2012-01-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,217408,2012-01-04,BOSTON PIZZA,26.51,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
6,P1-2012-01-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,173539,2012-01-05,ERLES AUTO REPAIR,1443.24,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
7,P1-2012-01-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,173545,2012-01-05,ERLES AUTO REPAIR,396.39,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
8,P1-2012-01-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,173544,2012-01-06,ERLES AUTO REPAIR,508.69,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
9,P1-2012-01-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,215034,2012-01-07,MOHAWK,6.97,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
10,P1-2012-01-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,215031,2012-01-14,MOHAWK,5.24,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
11,P1-2012-01-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,215032,2012-01-14,MOHAWK,6.49,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
12,P1-2012-01-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,215033,2012-01-14,MOHAWK,41.01,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
13,P1-2012-01-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,214883,2012-01-15,ESSO,81.52,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
14,P1-2012-01-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,217092,2012-01-16,CALGARY AIRPORT AUTHORITY,40.24,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
15,P1-2012-01-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,173576,2012-01-18,TELUS,159.00,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
16,P1-2012-01-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,173575,2012-01-19,GREYHOUND,19.10,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
17,P1-2012-01-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,173579,2012-01-25,MR -LUBE,61.40,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
18,P1-2012-01-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,173609,2012-01-26,MONGOLIE GRILL,48.79,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
19,P1-2012-01-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,173604,2012-01-27,CENTEX,3.09,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
20,P1-2012-01-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,173602,2012-01-28,CENTEX,66.00,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
21,P1-2012-01-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,173605,2012-01-28,MR.SUDS INC.,11.20,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
22,P1-2012-01-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,214882,2012-01-30,ESSO,20.12,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
23,P1-2012-01-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,173547,2012-01-31,ERLES AUTO REPAIR,453.34,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
24,P1-2012-02-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,216995,2012-02-02,CENTEX,50.00,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
25,P1-2012-02-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,217225,2012-02-03,COPIES NOW,570.15,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
26,P1-2012-02-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,173651,2012-02-04,FAS GAS,48.50,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
27,P1-2012-02-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,173617,2012-02-04,OFFICE SUPPLIES,64.05,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
28,P1-2012-02-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,173614,2012-02-04,ROGERS,41.99,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
29,P1-2012-02-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,215007,2012-02-06,THE KEY HOLE,31.50,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
30,P1-2012-02-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,217087,2012-02-07,EDMONTON AIRPORT AUTHORITY,4.00,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
31,P1-2012-02-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,217105,2012-02-09,CALGARY AIRPORT AUTHORITY,13.51,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
32,P1-2012-02-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,217104,2012-02-12,CALGARY AIRPORT AUTHORITY,17.87,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
33,P1-2012-02-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,214072,2012-02-12,FLYING J,200.00,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
34,P1-2012-02-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,215404,2012-02-16,CENTEX,43.50,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
35,P1-2012-02-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,217109,2012-02-17,CALGARY AIRPORT AUTHORITY,17.87,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
36,P1-2012-02-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,214083,2012-02-18,FLYING J,193.02,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
37,P1-2012-02-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,217103,2012-02-21,CALGARY AIRPORT AUTHORITY,4.50,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
38,P1-2012-02-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,217224,2012-02-22,KORAX,314.37,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
