processing_priority,classification_bucket,vendor_name,row_count,total_amount,first_date,last_date
1,employee_reimbursement_likely,CENTEX,34,2256.45,2012-01-27,2014-12-13
1,employee_reimbursement_likely,FAS GAS,27,1075.34,2012-02-04,2012-12-26
1,employee_reimbursement_likely,MOHAWK,23,1168.19,2012-01-01,2012-12-26
1,employee_reimbursement_likely,CALGARY AIRPORT AUTHORITY,21,417.25,2012-01-16,2012-12-21
1,employee_reimbursement_likely,CANADIAN TIRE,13,745.43,2012-01-01,2014-07-05
1,employee_reimbursement_likely,COOP,8,363.81,2012-02-24,2012-08-29
1,employee_reimbursement_likely,PETRO-CANADA,8,1007.09,2012-05-20,2014-07-10
1,employee_reimbursement_likely,COMMUNICATIONS GROUP,7,441.00,2012-03-22,2012-11-26
1,employee_reimbursement_likely,ESSO,7,266.64,2012-01-01,2012-10-09
1,employee_reimbursement_likely,CARD PURCHASE,6,4428.07,2017-06-27,2017-09-25
1,employee_reimbursement_likely,RUN'N ON EMPTY,6,468.25,2012-04-05,2012-12-21
1,employee_reimbursement_likely,ERLES AUTO REPAIR,5,3011.66,2012-01-05,2012-11-02
1,employee_reimbursement_likely,GLOBAL LIQUOR,4,222.78,2012-04-05,2012-04-28
1,employee_reimbursement_likely,LIQUOR BARN,4,412.04,2012-05-29,2012-09-09
1,employee_reimbursement_likely,EDMONTON AIRPORT AUTHORITY,3,14.00,2012-02-07,2012-11-22
1,employee_reimbursement_likely,FLYING J,3,413.02,2012-02-12,2012-04-25
1,employee_reimbursement_likely,CAPRI LIQUOR STORE,2,83.77,2012-05-11,2012-08-26
1,employee_reimbursement_likely,CHASE MCKAY,2,147.34,2012-01-01,2012-09-22
1,employee_reimbursement_likely,COOP LIQUOR,2,139.89,2012-08-11,2012-09-21
1,employee_reimbursement_likely,COSTCO,2,380.51,2012-03-23,2012-08-09
1,employee_reimbursement_likely,GREYHOUND,2,49.10,2012-01-19,2012-04-04
1,employee_reimbursement_likely,JIFFY LUBE,2,142.75,2012-12-27,2012-12-28
1,employee_reimbursement_likely,MGM FORD,2,391.49,2012-05-24,2012-08-14
1,employee_reimbursement_likely,RED DEER REGISTRIES,2,103.35,2012-02-23,2012-10-22
1,employee_reimbursement_likely,SHELL,2,105.98,2012-04-24,2012-04-24
1,employee_reimbursement_likely,WALMART,2,84.07,2012-05-27,2012-06-19
1,employee_reimbursement_likely,WELCOME WAGON,2,500.00,2012-11-18,2012-11-19
1,employee_reimbursement_likely,7 DAY LIQUOR STORE,1,7.70,2012-04-30,2012-04-30
