receipt_id,receipt_date,vendor_name,gross_amount,payment_method,canonical_pay_method,is_driver_reimbursement,reimbursed_via,banking_transaction_id,is_matched,receipt_source,classification_bucket,classification_reason
215017,2012-01-01,MOHAWK,0.08,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
217018,2012-01-01,CANADIAN TIRE,8.00,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
217328,2012-01-01,CHASE MCKAY,77.34,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
217329,2012-01-01,ESSO,50.00,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
217408,2012-01-04,BOSTON PIZZA,26.51,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
173539,2012-01-05,ERLES AUTO REPAIR,1443.24,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
173545,2012-01-05,ERLES AUTO REPAIR,396.39,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
173544,2012-01-06,ERLES AUTO REPAIR,508.69,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
215034,2012-01-07,MOHAWK,6.97,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
215031,2012-01-14,MOHAWK,5.24,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
215032,2012-01-14,MOHAWK,6.49,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
215033,2012-01-14,MOHAWK,41.01,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
214883,2012-01-15,ESSO,81.52,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
217092,2012-01-16,CALGARY AIRPORT AUTHORITY,40.24,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
173576,2012-01-18,TELUS,159.00,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
173575,2012-01-19,GREYHOUND,19.10,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
173579,2012-01-25,MR -LUBE,61.40,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
173609,2012-01-26,MONGOLIE GRILL,48.79,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
173604,2012-01-27,CENTEX,3.09,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
173602,2012-01-28,CENTEX,66.00,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
173605,2012-01-28,MR.SUDS INC.,11.20,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
214882,2012-01-30,ESSO,20.12,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
173547,2012-01-31,ERLES AUTO REPAIR,453.34,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
216995,2012-02-02,CENTEX,50.00,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
217225,2012-02-03,COPIES NOW,570.15,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
173614,2012-02-04,ROGERS,41.99,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
173617,2012-02-04,OFFICE SUPPLIES,64.05,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
173651,2012-02-04,FAS GAS,48.50,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
215007,2012-02-06,THE KEY HOLE,31.50,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
217087,2012-02-07,EDMONTON AIRPORT AUTHORITY,4.00,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
217105,2012-02-09,CALGARY AIRPORT AUTHORITY,13.51,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
214072,2012-02-12,FLYING J,200.00,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
217104,2012-02-12,CALGARY AIRPORT AUTHORITY,17.87,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
215404,2012-02-16,CENTEX,43.50,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
217109,2012-02-17,CALGARY AIRPORT AUTHORITY,17.87,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
214083,2012-02-18,FLYING J,193.02,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
217103,2012-02-21,CALGARY AIRPORT AUTHORITY,4.50,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
217224,2012-02-22,KORAX,314.37,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
217110,2012-02-23,RED DEER REGISTRIES,78.90,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
214087,2012-02-24,COOP,43.85,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
217102,2012-02-28,CALGARY AIRPORT AUTHORITY,4.50,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
217108,2012-03-01,CALGARY AIRPORT AUTHORITY,4.50,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
217380,2012-03-12,STARBUCKS,5.62,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
217213,2012-03-13,NLA,252.37,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
217211,2012-03-22,COMMUNICATIONS GROUP,63.00,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
215678,2012-03-23,COSTCO,73.68,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
214055,2012-04-01,FAS GAS,48.00,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
173615,2012-04-04,GREYHOUND,30.00,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
173613,2012-04-05,GLOBAL LIQUOR,20.25,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
173619,2012-04-05,RUN'N ON EMPTY,154.00,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
217090,2012-04-05,CALGARY AIRPORT AUTHORITY,35.74,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
173616,2012-04-06,SOLO LIQUOR STORE,36.24,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
173628,2012-04-06,FAS GAS,53.44,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
216988,2012-04-07,CANADIAN TIRE,13.64,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
173607,2012-04-13,MCDONALD'S,17.51,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
173569,2012-04-14,PLENTY OF LIQUOR,138.52,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
173571,2012-04-14,GLOBAL LIQUOR,47.53,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
217091,2012-04-15,CALGARY AIRPORT AUTHORITY,22.37,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
173596,2012-04-16,MACS CONVENIENCE,6.19,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
214091,2012-04-17,COOP,9.44,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
173650,2012-04-18,FAS GAS,100.00,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
217089,2012-04-19,CALGARY AIRPORT AUTHORITY,22.52,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
217239,2012-04-19,COMMUNICATIONS GROUP,63.00,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
217545,2012-04-19,PHIL'S RESTAURA,26.83,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
173561,2012-04-21,PLAZA LIQUOR,28.27,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
173559,2012-04-22,GLOBAL LIQUOR,35.00,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
173557,2012-04-24,SHELL,100.00,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
173558,2012-04-24,SHELL,5.98,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
215441,2012-04-24,CENTEX,133.50,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
215442,2012-04-24,CENTEX,63.91,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
217107,2012-04-24,CALGARY AIRPORT AUTHORITY,45.05,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
173567,2012-04-25,FLYING J,20.00,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
217464,2012-04-25,CENTEX,36.00,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
217465,2012-04-25,CENTEX,38.01,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
173560,2012-04-28,GLOBAL LIQUOR,120.00,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
217486,2012-04-28,CENTEX,40.00,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
173601,2012-04-30,7 DAY LIQUOR STORE,7.70,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
173642,2012-05-01,FAS GAS,48.00,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
142082,2012-05-08,GLOBAL LIQUOR STORE,98.60,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
173637,2012-05-09,FAS GAS,38.00,reimbursement,,False,,,False,,employee_reimbursement_likely,reimbursement flag
