receipt_id,receipt_date,vendor_name,gross_amount,payment_method,canonical_pay_method,is_driver_reimbursement,reimbursed_via,banking_transaction_id,is_matched,receipt_source,classification_bucket,classification_reason
215329,2012-01-01,LIQUOR BARN,6.68,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215672,2012-01-01,UPTOWN LIQUOR STORE,10.39,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215691,2012-01-04,GLOBAL LIQUOR STORE,45.88,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215690,2012-01-06,GLOBAL LIQUOR STORE,26.64,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215682,2012-01-07,LIQUOR DEPOT,51.92,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215683,2012-01-07,LIQUOR DEPOT,85.88,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215689,2012-01-09,4TH STREET LIQUOR,61.15,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
217027,2012-01-12,COOP LIQUOR,19.93,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215635,2012-01-13,GLOBAL LIQUOR STORE,102.97,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215638,2012-01-14,GLOBAL LIQUOR STORE,69.28,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215639,2012-01-14,GLOBAL LIQUOR STORE,76.15,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215640,2012-01-14,GLOBAL LIQUOR STORE,116.75,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215681,2012-01-14,LIQUOR DEPOT,26.34,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215715,2012-01-21,CAPRI LIQUOR STORE,16.99,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215716,2012-01-21,CAPRI LIQUOR STORE,11.49,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215655,2012-02-03,PLAZA LIQUOR TOWN,10.37,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215642,2012-02-04,COLD ONES LIQUOR,55.85,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215644,2012-02-04,CAPRI LIQUOR STORE,9.74,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215628,2012-02-10,LIQUOR BARN,8.49,cash,,False,,,False,manual_2012_backfill,liquor_cash_likely,liquor vendor keyword
217422,2012-02-12,NORTHWOOD LIQUOR STORE,22.50,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215605,2012-02-14,LIQUOR BARN,115.00,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215704,2012-02-14,RIMBEY LIQUOR STORE,5.50,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215703,2012-02-17,LACOMBE LIQUOR STORE,35.18,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
217423,2012-02-17,LACOMBE LIQUOR STORE,154.52,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215634,2012-02-18,GLOBAL LIQUOR STORE,325.71,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215637,2012-02-19,GLOBAL LIQUOR STORE,24.27,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215652,2012-02-19,CAPRI LIQUOR STORE,25.09,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
214044,2012-02-21,LIQUOR CROSSING,7.50,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215636,2012-02-21,GLOBAL LIQUOR STORE,148.98,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215648,2012-02-21,CAPRI LIQUOR STORE,249.47,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215649,2012-02-25,CAPRI LIQUOR STORE,32.96,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215630,2012-03-03,LIQUOR BARN,108.78,cash,,False,,,False,manual_2012_backfill,liquor_cash_likely,liquor vendor keyword
215631,2012-03-04,LIQUOR BARN,19.97,cash,,False,,,False,manual_2012_backfill,liquor_cash_likely,liquor vendor keyword
215680,2012-03-21,LIQUOR DEPOT,37.08,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215692,2012-03-24,GLOBAL LIQUOR STORE,40.98,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
