receipt_id,receipt_date,vendor_name,gross_amount,payment_method,canonical_pay_method,is_driver_reimbursement,reimbursed_via,banking_transaction_id,is_matched,receipt_source,classification_bucket,classification_reason
215233,2012-01-01,RUN'N ON EMPTY,30.00,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
215286,2012-01-01,RUN'N ON EMPTY,5.81,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
215295,2012-01-01,EDMONTON AIRPORT AUTHORITY,30.00,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
217208,2012-01-01,PUROLATOR,28.25,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
217210,2012-01-01,106.7 THE DRIVE,814.22,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
217248,2012-01-01,MARK'S STORE #3,62.97,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
217375,2012-01-01,THE SEWING LOFT,6.30,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
217572,2012-01-01,SWIGS & SWINE,14.17,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
217567,2012-01-02,HUMPTYS,11.45,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
217034,2012-01-04,TOTEM,36.99,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
217076,2012-01-05,WALMART,29.40,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
215062,2012-01-06,MR SUDS INC.,6.65,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
214859,2012-01-08,RUN'N ON EMPTY,11.96,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
217245,2012-01-08,WALMART,11.13,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
214935,2012-01-10,CITY OF RED DEER,41.65,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
215004,2012-01-10,A BUCK OR TWO,12.60,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
217124,2012-01-11,REAL CANADIAN WHOLESALE CLUB,5.67,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
215155,2012-01-12,JUMBO,4.80,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
214933,2012-01-13,PUROLATOR COURIER,66.52,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
215695,2012-01-13,UNREADABLE,75.56,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
217040,2012-01-13,DOLLARAMA,57.32,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
217143,2012-01-13,SOBEYS,104.52,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
214855,2012-01-14,ALL SERVICE INSURANCE,1000.00,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
217066,2012-01-20,SAVE ON FOODS,6.46,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
217222,2012-01-20,RED DEER REGISTRIES,25.00,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
215041,2012-01-22,106.7 THE DRIVE,48.99,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
215091,2012-01-23,MR SUDS INC.,6.40,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
215092,2012-01-23,MR SUDS INC.,11.40,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
215463,2012-01-24,FIBRENEW,1050.00,cash,,False,,,False,manual_2012_backfill,petty_cash_business_likely,cash method with non-specific vendor
215141,2012-01-25,JUMBO,11.25,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
217157,2012-01-26,COOP,23.86,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
217219,2012-01-31,CITY OF RED DEER,315.00,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
217220,2012-01-31,CITY OF RED DEER,200.00,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
217221,2012-01-31,CITY OF RED DEER,165.00,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
215145,2012-02-02,JUMBO,5.60,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
215700,2012-02-03,VILLAGE MALL,21.53,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
215775,2012-02-03,MACS CONVENIENCE,16.22,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
215090,2012-02-04,MR SUDS INC.,5.70,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
215146,2012-02-04,JUMBO,10.00,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
215186,2012-02-04,HUGHES,10.00,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
215009,2012-02-06,THE KEY HOLE,13.55,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
217171,2012-02-06,MR LUBE,61.40,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
217575,2012-02-06,PHOENIX BUFFET,35.00,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
214948,2012-02-08,CITY CENTER VACUUM,20.99,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
214932,2012-02-11,DOLLARAMA,4.20,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
215143,2012-02-12,JUMBO,25.00,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
217129,2012-02-12,SOBEYS,20.00,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
217047,2012-02-13,STAPLES,58.82,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
217524,2012-02-13,BONANNO PIZZA,11.24,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
217334,2012-02-14,MGM GRAND HOTEL,91.93,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
217335,2012-02-14,MGM GRAND HOTEL,91.93,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
217519,2012-02-14,BOSTON PIZZA,10.45,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
214088,2012-02-16,COOP,26.80,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
217240,2012-02-16,MGM GRAND HOTEL,2.49,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
217520,2012-02-16,HMS HOST RESTAURANT,12.09,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
217555,2012-02-16,PHIL'S RESTAURA,9.08,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
215040,2012-02-17,DOMO GAS,37.98,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
214068,2012-02-18,FLYING J,8.97,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
215088,2012-02-18,MR SUDS INC.,7.20,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
215089,2012-02-19,MR SUDS INC.,9.50,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
215144,2012-02-20,JUMBO,10.40,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
217170,2012-02-20,MR LUBE,210.00,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
217523,2012-02-20,KFC,8.39,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
215164,2012-02-21,SUPER CLEAN,8.00,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
215142,2012-02-22,JUMBO,8.00,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
217111,2012-02-22,PART SOURCE,10.45,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
214281,2012-02-24,REAL CAN SUPERSTORE,33.55,cash,,False,,,False,BANKING,petty_cash_business_likely,cash method with non-specific vendor
215087,2012-02-24,MR SUDS INC.,9.50,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
214069,2012-02-25,FLYING J,3.28,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
217321,2012-02-25,DOMO,31.00,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
217419,2012-02-25,REXALL,18.26,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
217571,2012-02-25,BOSTON PIZZA,17.75,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
215170,2012-02-26,SUPER CLEAN,9.35,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
215465,2012-02-28,FIBRENEW,1050.00,cash,,False,,,False,manual_2012_backfill,petty_cash_business_likely,cash method with non-specific vendor
221574,2012-03-01,FIBRENEW,1050.00,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
214876,2012-03-04,PRAIRIE OFFICE SUPPLIES,18.21,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
215058,2012-03-04,MR SUDS INC.,8.55,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
217214,2012-03-08,RED DEER ADVOCATE,108.57,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
217526,2012-03-12,GEORGE'S PIZZA,17.26,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
145309,2012-03-19,WCB,1126.80,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
217212,2012-03-21,EECOL ELECTRICAL CORP,15.04,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
214090,2012-03-24,COOP,8.39,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
214962,2012-03-25,MR SUDS INC.,15.20,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
173591,2012-03-26,CHUB RADIO,126.00,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
215084,2012-04-01,MR SUDS INC.,15.20,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
217325,2012-04-04,BURGER BOX,14.00,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
214070,2012-04-06,FLYING J,82.00,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
215085,2012-04-06,MR SUDS INC.,6.65,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
215081,2012-04-09,MR SUDS INC.,13.30,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
217163,2012-04-09,COOP,45.00,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
217164,2012-04-09,COOP,6.58,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
217165,2012-04-09,COOP,40.00,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
217167,2012-04-09,COOP,40.00,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
217166,2012-04-13,COOP,60.00,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
215083,2012-04-14,MR SUDS INC.,11.40,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
215140,2012-04-15,JUMBO,8.80,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
215183,2012-04-15,SUPER CLEAN,8.00,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
215778,2012-04-15,COOP HGC,99.99,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
215779,2012-04-15,COOP HGC,10.98,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
217162,2012-04-17,COOP,59.17,cash,,False,,,False,,petty_cash_business_likely,cash method with non-specific vendor
