section,normalized_code,account_code_raw,account_name,rows,first_date,last_date,annual_net
ledger_vehicle_accounts,2800,2800 L-8 2008 Ford Expedition,,22,2011-12-31,2013-09-16,-5919.38
ledger_vehicle_accounts,2801,2801 L-9 2007 LIncoln Town Car,,24,2011-12-31,2014-04-15,-23125.31
ledger_vehicle_accounts,2802,2802 L-10 2010 Ford E450 Bus,,31,2011-12-31,2015-11-17,-54480.19
ledger_vehicle_accounts,2803,2803 L-11 2009 Ford E-450 Shuttle,,59,2011-12-31,2016-08-05,-54235.98
ledger_vehicle_accounts,2813,2813 Cap Lease 03 Ford Excurs 799.03,,16,2014-10-31,2016-07-18,-12585.30

section,metric,value
assets_vehicle_rows,vehicle_like_rows,35
assets_vehicle_rows,rows_with_3plus_key_fields,35

assets_vehicle_samples,asset_name,asset_category,make,model,vin
sample,1990 Prevost Tlemir,vehicle,Prevost,Tlemir,2P9L33405L1001529
sample,1995 International 3000 Series,vehicle,International,3000 Series,1HVBBAAN8SH621679
sample,1996 Lincoln Town Car,vehicle,Lincoln,Town Car,1LNLM81WXTV729062
sample,2002 Gulfstream 16 Party Bus,vehicle,Gulfstream,16 Party Bus,4UZAAHAK12CJ85611
sample,2003 Excursion Ford,vehicle,Excursion,Ford,1FMNU40S23ED67617
sample,2003 Ford Excursion,vehicle,Ford,Excursion,1FMNU40S63EB96175
sample,2006 Lincoln Town Car,vehicle,Lincoln,Town Car,1LNHM84W66Y614688
sample,2007 Mercedes Benz S 550V,vehicle,Mercedes Benz,S 550V,WDDNG86X27A099158
sample,2007 Town Car Limo Lincoln,vehicle,Town Car Limo,Lincoln,1L1FM88W87Y624935
sample,2008 Ford E450 Shuttle Limo Bus,vehicle,Ford,E450 Shuttle Limo Bus,1FDXE45P68DB55665
sample,2008 Ford Expedition,vehicle,Ford,Expedition,1F1FK15588LA13564
sample,2008 Navigator Lincoln,vehicle,Navigator,Lincoln,5L1FL27558LJ02456
sample,2009 Ford E450 Limo Bus,vehicle,Ford,E450 Limo Bus,1FDXE45S79DA87480
sample,2011 Ford E450 Tiffany,vehicle,Ford,E450 Tiffany,1FDXE4FS9BDA40553
sample,2012 Ford E350,vehicle,Ford,E350,1FDWE3FL8CDA32525
sample,2012 Ford E450 Tiffany,vehicle,Ford,E450 Tiffany,1FDXE4FSXBDA40559
sample,2013 Ford F550 Crystal,vehicle,Ford,F550 Crystal,1FDGF5GY6DEA94363
sample,2014 Cadillac XTS stetch,vehicle,Cadillac,XTS stetch,2GEXG6U31E9298435
sample,2014 Ford E350,vehicle,Ford,E350,1FDWE3FL7EDA29120
sample,2015 Cadillac (Stolen/Repossessed),vehicle,Cadillac,Unknown Model,UNKNOWN
sample,2015 Escalade Cadillac,vehicle,Escalade,Cadillac,1GYS4TKJXFR585284
sample,2017 Ford F550 Gretch,vehicle,Ford,F550 Gretch,1FDAF5GT1HEC69540
sample,2017 KIA K900,vehicle,KIA,K900,KNALW4D4XH6036302
sample,2018 S550V Mercedes S550V,vehicle,S550V,Mercedes S550V,1L1FM81W61Y659569
sample,2018 Unknown Camry,vehicle,Unknown,Camry,4T1B61HK4JU014606
