id,transaction_date,account_code,account_name,description,debit_amount,credit_amount,net_amount,transaction_type,transaction_number,source_system,source_transaction_id,entity_name,row_hash
34502,2011-12-31,2800 L-8 2008 Ford Expedition,,"",0.00,42325.38,-42325.38,Journal Entry,Opening,QuickBooks,Opening,,b037c09cb849dc96f6d77e1004edfce14ccf54f78a49369adb109aed55b7baa1
34524,2011-12-31,2801 L-9 2007 LIncoln Town Car,,"",0.00,51300.06,-51300.06,Journal Entry,Opening,QuickBooks,Opening,,ee67e6da5726c2d91e26121243220004753d6007dba22f19571b7b8d3d2e6477
34548,2011-12-31,2802 L-10 2010 Ford E450 Bus,,"",0.00,122567.33,-122567.33,Journal Entry,Opening,QuickBooks,Opening,,1b4ca19489e034d7d9908920e7e6e42d9f5047d222c5e3ce0649f95729cf3371
34579,2011-12-31,2803 L-11 2009 Ford E-450 Shuttle,,"",0.00,111507.70,-111507.70,Journal Entry,Opening,QuickBooks,Opening,,c7c384d73b2f558b640d9c41a03be75d64e16bef36f352a1c5bd883b7d10b5bd
36411,2011-12-31,6300 Equipment Rental,,Vehicle Rental Expense,24000.00,0.00,24000.00,Journal Entry,Opening,QuickBooks,Opening,,dfb456e8dc33d5b0ec0550ec2983af0491a9d078b77d823e21c9e1fc6c8b8bde
39382,2011-12-31,6700 Subcontractor,,Driver's & Limousine Serv (Under Contract Services),952.38,0.00,952.38,Journal Entry,Opening,QuickBooks,Opening,,5dc15795dd99474c643d4cc239602eac07bace0d5b2a3bf7214632fa96c952e0
42406,2011-12-31,6800 Telephone,,Business Phone,5360.93,0.00,5360.93,Journal Entry,Opening,QuickBooks,Opening,,caf5b14a03bbcb9175edfa8578e07b1e1a5927bb12906aa4875511909f8d87b6
34525,2012-01-06,2801 L-9 2007 LIncoln Town Car,,"",1475.25,0.00,1475.25,Cheque Expense,dd,QuickBooks,dd,Heffner Lexus Toyota,48a1dcadb3044210cdc2044970cc16d8d349f6d4fb8fad03c54bcacf713cc1f4
34549,2012-01-06,2802 L-10 2010 Ford E450 Bus,,"",2525.25,0.00,2525.25,Cheque Expense,dd,QuickBooks,dd,Heffner Lexus Toyota,91ed331f6d60129ca8c9d265ce3c4154d79849aeef2917102d0caceeef865c55
34550,2012-01-26,2802 L-10 2010 Ford E450 Bus,,"",2525.25,0.00,2525.25,Cheque Expense,dd,QuickBooks,dd,Heffner Lexus Toyota,64b19e027b4c49e1332fb6fe1cb7c044858d34e9ed09834b408511b3ec322566
36626,2012-01-31,6475 Licenses & Permits,,Business License,165.00,0.00,165.00,Cheque Expense,cash,QuickBooks,cash,City of Red Deer,691a725dac9a0d4c31cd50c8f8db000ee826aa6c96ccc2d9866956acb788bf41
36627,2012-01-31,6475 Licenses & Permits,,Business License,200.00,0.00,200.00,Cheque Expense,cash,QuickBooks,cash,City of Red Deer,fbc6365a527a49c6296d587ce2ebdd836336da6a7708898506fa86e6aa2d3d86
15762,2012-02-23,Limousines & Busses:1993 Intl Thomas 3000Bus 461679,,1993 International Thomas 3000 School Bus,5000.00,0.00,5000.00,Cheque Expense,dd,QuickBooks,dd,Red Deer Catholic Regional Schools,dd9ef3c8540b0aed6103264faac82b0f0ec3f7818fd992e1f6e0778ac42ce3f5
34503,2012-03-15,2800 L-8 2008 Ford Expedition,,"",1885.65,0.00,1885.65,Cheque Expense,dd,QuickBooks,dd,Jack Carter,f91b58647f293eabcf03d57d1fd0811738c365ae17ec4ddaeb61713e5c6f8ba9
34551,2012-04-11,2802 L-10 2010 Ford E450 Bus,,"",2405.00,0.00,2405.00,Cheque Expense,223,QuickBooks,223,Heffner Lexus Toyota,7273f56deec37dc97f0c3ae3b4daa220f34db5e7b27d12c5b2b9a1f72f7dccc8
34526,2012-04-12,2801 L-9 2007 LIncoln Town Car,,"",1405.00,0.00,1405.00,Cheque Expense,218,QuickBooks,218,Heffner Lexus Toyota,ae19e14902f2ce614f78b9b855c2e5189dd419355fd2bea672809dba37e8ac6c
34580,2012-04-12,2803 L-11 2009 Ford E-450 Shuttle,,"",1810.00,0.00,1810.00,Cheque Expense,229,QuickBooks,229,Heffner Lexus Toyota,38bbeccec341467823c8ed8372796079e7c67f1790c70387120149326ab9eec1
34504,2012-04-16,2800 L-8 2008 Ford Expedition,,"",1885.65,0.00,1885.65,Cheque Expense,dd,QuickBooks,dd,Jack Carter,1633b80c45ce4ee55b0bd2fa7dec4d0faaf9e3653f4e7881b995f7a1970a5e8c
34552,2012-04-27,2802 L-10 2010 Ford E450 Bus,,"",2405.00,0.00,2405.00,Cheque Expense,224,QuickBooks,224,Heffner Lexus Toyota,47961bf1feec9d99314a8617d37b6c1433d0b94382756152e99a8df39203fd0b
34180,2012-05-01,2506 Leases and Loans:L-14 2010 Ford E450 Limo Bus,,"",2571.43,0.00,2571.43,Cheque Expense,261,QuickBooks,261,Ace Truck,e092392a4ad4374ce663153a0e12fd11d30966fb6a5de1d70d2333fe011b487d
34527,2012-05-08,2801 L-9 2007 LIncoln Town Car,,"",1405.00,0.00,1405.00,Cheque Expense,217,QuickBooks,217,Heffner Lexus Toyota,a502d0361d8ec2da5d0ce73a6b3479d2b651b1e030302c70788238147aa8cfa0
34581,2012-05-08,2803 L-11 2009 Ford E-450 Shuttle,,"",1810.00,0.00,1810.00,Cheque Expense,231,QuickBooks,231,Heffner Lexus Toyota,dc8c1d5783a4c527bbaebe88233b097e659db54d2129df397951dd68e81fad53
34505,2012-05-15,2800 L-8 2008 Ford Expedition,,"",1885.65,0.00,1885.65,Cheque Expense,dd,QuickBooks,dd,Jack Carter,7bace5611c159a4dd95cc202bdbcf3ab0e366e46ed1eb4bae796305c61430c43
34528,2012-05-16,2801 L-9 2007 LIncoln Town Car,,"",1405.00,0.00,1405.00,Cheque Expense,219,QuickBooks,219,Heffner Lexus Toyota,3174cbddc7ee5efbf6a840f28e7758464a4180cc4c955b21a350755db1d3abcb
34553,2012-05-16,2802 L-10 2010 Ford E450 Bus,,"",2405.00,0.00,2405.00,Cheque Expense,225,QuickBooks,225,Heffner Lexus Toyota,e12995c503a8e97dbf7183cd053bf82a1f41e2eb5c4293f6ce9700d3f75b6e7f
34582,2012-05-16,2803 L-11 2009 Ford E-450 Shuttle,,"",1810.00,0.00,1810.00,Cheque Expense,232,QuickBooks,232,Heffner Lexus Toyota,97a1ffae08809f4376f99f1f1a40ffa048ef09fde80e4f40691fc31e175c151a
34506,2012-06-15,2800 L-8 2008 Ford Expedition,,"",1885.65,0.00,1885.65,Cheque Expense,dd,QuickBooks,dd,Jack Carter,f89c187b6e6ca202d12c47d6d3d2ad82022244f190e99384d2af47c5dc12fc18
34529,2012-06-19,2801 L-9 2007 LIncoln Town Car,,"",1405.00,0.00,1405.00,Cheque Expense,220,QuickBooks,220,Heffner Lexus Toyota,a2d9168b7edc040952090a48cb3c9b9e09b6819ce5a47794a2b60aa59f779c21
34554,2012-06-19,2802 L-10 2010 Ford E450 Bus,,"",2405.00,0.00,2405.00,Cheque Expense,226,QuickBooks,226,Heffner Lexus Toyota,eda7a0fc71721213c026cda7772dea4f7778c42e0282275d9b27ba389590d66b
34583,2012-06-19,2803 L-11 2009 Ford E-450 Shuttle,,"",1810.00,0.00,1810.00,Cheque Expense,233,QuickBooks,233,Heffner Lexus Toyota,4819d0a4659c087613bf43f79915f522fce956532cf6066fe438022155209bf5
34507,2012-07-16,2800 L-8 2008 Ford Expedition,,"",1885.65,0.00,1885.65,Cheque Expense,dd,QuickBooks,dd,Jack Carter,5a4c3e4392b1b9f6cac11f35f707b85da2eed883cf81b8bd9aad1a56e2c75bd1
34530,2012-07-18,2801 L-9 2007 LIncoln Town Car,,"",1405.00,0.00,1405.00,Cheque Expense,221,QuickBooks,221,Heffner Lexus Toyota,b806791debf40aed72855eef4391306b9f683e70a2578e136a411cc3ac1189e8
34555,2012-07-18,2802 L-10 2010 Ford E450 Bus,,"",2405.00,0.00,2405.00,Cheque Expense,228,QuickBooks,228,Heffner Lexus Toyota,68c5ee8422c871025decc3aed284b2836f25dbb6d4eed01c7150bb9931e6d959
34584,2012-07-18,2803 L-11 2009 Ford E-450 Shuttle,,"",1810.00,0.00,1810.00,Cheque Expense,234,QuickBooks,234,Heffner Lexus Toyota,ea2883067c0ecade10cc24aa64fa9fb73feffdb300cc1a973f4dd8bcaa84124c
34508,2012-07-23,2800 L-8 2008 Ford Expedition,,"",1885.65,0.00,1885.65,Cheque Expense,9,QuickBooks,9,Jack Carter,2ffbd90842be9b618afcae799b3eec3bd53a72637f37f52ab10770343df303e8
34585,2012-08-21,2803 L-11 2009 Ford E-450 Shuttle,,"",1810.00,0.00,1810.00,Cheque Expense,43,QuickBooks,43,Heffner Lexus Toyota,2b4b21ffc566cdd38bc137591575af4897d3242ffbfd14ed3920fe589d15a519
34509,2012-08-22,2800 L-8 2008 Ford Expedition,,"",1885.65,0.00,1885.65,Cheque Expense,dd,QuickBooks,dd,Jack Carter,f9d2142eba79b2e6a24217dd1f9cb7a15cc436720cabc10cc2029e00a110b696
34531,2012-08-22,2801 L-9 2007 LIncoln Town Car,,"",1405.00,0.00,1405.00,Cheque Expense,222,QuickBooks,222,Heffner Lexus Toyota,10f8ac496c817586e87038e8ebc7c1e57fad7e5a2d1ccb181bd82ec9624b89d8
34556,2012-08-22,2802 L-10 2010 Ford E450 Bus,,"",2405.00,0.00,2405.00,Cheque Expense,227,QuickBooks,227,Heffner Lexus Toyota,382e04da907db9fac90ebb7b7c72925cb004b0af8c21f102ce6407efdb72498b
34181,2012-08-23,2506 Leases and Loans:L-14 2010 Ford E450 Limo Bus,,"",2567.06,0.00,2567.06,Cheque Expense,dd,QuickBooks,dd,Ace Truck,13a02f6db46fddb86b0f1704acfb3d9239062785c941ff4933738a7716a041d8
34182,2012-09-04,2506 Leases and Loans:L-14 2010 Ford E450 Limo Bus,,"",2567.05,0.00,2567.05,Cheque Expense,dd,QuickBooks,dd,Ace Truck,0c2eb8275023c7d7dfcd032902a3948f0dc0c0f2dea9af8e03ec3bd789b5e60d
34205,2012-09-21,2507 Leases and Loans:L-15 2012 E350 Limo Bus,,L15 Payment as per chq stub,1925.00,0.00,1925.00,Cheque Expense,53,QuickBooks,53,"Pfeifer, Vic",7d81c4f5fc2ecb8604f236c759ffb226ce386ddcdf9b63af9915ffc13040884d
34532,2012-09-25,2801 L-9 2007 LIncoln Town Car,,"",1405.00,0.00,1405.00,Cheque Expense,23,QuickBooks,23,Heffner Lexus Toyota,1651a36812ac4a0217f4dd7c338dffc0e6b181a3d425bffaedc61adb59e4dfb5
34557,2012-09-25,2802 L-10 2010 Ford E450 Bus,,"",2405.00,0.00,2405.00,Cheque Expense,29,QuickBooks,29,Heffner Lexus Toyota,a9901f9906f38d0a86137a77e0f264217c3dd2b0c1ba2c8dfaa9f517b698f405
34586,2012-09-25,2803 L-11 2009 Ford E-450 Shuttle,,"",1810.00,0.00,1810.00,Cheque Expense,35,QuickBooks,35,Heffner Lexus Toyota,09e64060e60442e822e3619b6738eb1b0a8aeef4b47dd08d40a29e478748c673
34206,2012-10-01,2507 Leases and Loans:L-15 2012 E350 Limo Bus,,"",2567.05,0.00,2567.05,Cheque Expense,dd,QuickBooks,dd,Ace Truck,acca039b01407020e9ef32f91f2165c8a538c38163213938a34c0802704e3a31
34533,2012-10-15,2801 L-9 2007 LIncoln Town Car,,"",1405.00,0.00,1405.00,Cheque Expense,dd,QuickBooks,dd,Heffner Lexus Toyota,b19ded9c6f693ce39a33f5499a50feb0aebfd8c8efb192327c5691812097d5aa
34558,2012-10-23,2802 L-10 2010 Ford E450 Bus,,"",0.00,0.00,0.00,Cheque Expense,30,QuickBooks,30,Heffner Lexus Toyota,4055bcf4d38437c6eab7e4a441be881f46cb81962a836850e2bb28d0ce7873d1
34587,2012-10-23,2803 L-11 2009 Ford E-450 Shuttle,,"",0.00,0.00,0.00,Cheque Expense,36,QuickBooks,36,Heffner Lexus Toyota,123adf3e51c0da8d93ea045f9de24de7afc7cfacea04012480fbcd342a86aeab
