# Heffner Vehicle Loan Mapping Configuration
# Map payment amounts to specific vehicles for reconciliation
# Columns: amount, account_number, description_contains, vehicle_id, vehicle_name, vin

amount,account_number,description_contains,vehicle_id,vehicle_name,vin
117.05,0228362,HEFFNER,V001,2011 Ford E-450,
143.97,0228362,HEFFNER,V002,2014 Ford Transit,
146.71,0228362,HEFFNER,V003,2015 Mercedes Sprinter,
152.25,0228362,HEFFNER,V004,Vehicle 4,
166.9,0228362,HEFFNER,V005,Vehicle 5,
168.65,0228362,HEFFNER,V006,Vehicle 6,
173.86,0228362,HEFFNER,V007,Vehicle 7,
187.18,0228362,HEFFNER,V008,Vehicle 8,
197.6,0228362,HEFFNER,V009,Vehicle 9,
224.81,0228362,HEFFNER,V010,Vehicle 10,
460.41,0228362,HEFFNER,V011,Vehicle 11,
484.51,0228362,HEFFNER,V012,Vehicle 12,
# Add more mappings as needed - amounts with fewer occurrences
71.77,0228362,HEFFNER,V013,Vehicle 13,
74.61,0228362,HEFFNER,V014,Vehicle 14,
84.27,0228362,HEFFNER,V015,Vehicle 15,
84.33,0228362,HEFFNER,V016,Vehicle 16,
115.06,0228362,HEFFNER,V017,Vehicle 17,

# --- AUTO-GENERATED PLACEHOLDERS FOR UNMAPPED AMOUNTS ---
144.99,0228362,HEFFNER,,,
154.97,0228362,HEFFNER,,,
162.83,0228362,HEFFNER,,,
171.71,0228362,HEFFNER,,,
173.69,0228362,HEFFNER,,,
175.15,0228362,HEFFNER,,,
187.19,0228362,HEFFNER,,,
189.8,0228362,HEFFNER,,,
193.65,0228362,HEFFNER,,,
194.24,0228362,HEFFNER,,,
200.0,0228362,HEFFNER,,,
219.24,0228362,HEFFNER,,,
227.58,0228362,HEFFNER,,,
230.11,0228362,HEFFNER,,,
238.58,0228362,HEFFNER,,,
262.09,0228362,HEFFNER,,,
265.55,0228362,HEFFNER,,,
266.54,0228362,HEFFNER,,,
273.48,0228362,HEFFNER,,,
276.55,0228362,HEFFNER,,,
289.8,0228362,HEFFNER,,,
299.22,0228362,HEFFNER,,,
299.61,0228362,HEFFNER,,,
303.77,0228362,HEFFNER,,,
307.26,0228362,HEFFNER,,,
309.79,0228362,HEFFNER,,,
313.94,0228362,HEFFNER,,,
318.26,0228362,HEFFNER,,,
324.85,0228362,HEFFNER,,,
334.96,0228362,HEFFNER,,,
337.3,0228362,HEFFNER,,,
342.85,0228362,HEFFNER,,,
347.71,0228362,HEFFNER,,,
350.0,0228362,HEFFNER,,,
372.71,0228362,HEFFNER,,,
374.37,0228362,HEFFNER,,,
410.71,0228362,HEFFNER,,,
435.71,0228362,HEFFNER,,,
474.16,0228362,HEFFNER,,,
485.16,0228362,HEFFNER,,,
495.81,0228362,HEFFNER,,,
500.0,0228362,HEFFNER,,,
503.57,0228362,HEFFNER,,,
509.16,0228362,HEFFNER,,,
528.57,0228362,HEFFNER,,,
533.08,0228362,HEFFNER,,,
547.71,0228362,HEFFNER,,,
558.08,0228362,HEFFNER,,,
574.37,0228362,HEFFNER,,,
599.37,0228362,HEFFNER,,,
720.42,0228362,HEFFNER,,,
745.42,0228362,HEFFNER,,,
812.66,0228362,HEFFNER,,,
841.41,0228362,HEFFNER,,,
962.18,0228362,HEFFNER,,,
1058.08,0228362,HEFFNER,,,
1622.25,0228362,HEFFNER,,,
2683.79,0228362,HEFFNER,,,
