TABLE USAGE AUDIT
==========================================================================================
timestamp=2026-04-30T18:33:32.971965
public_table_count=295
archived_table_count=31
archive_candidate_count=240
archive_candidate_total_mb=60.542

Archive candidates (public):
  charter_routes | class=ARCHIVE_CANDIDATE_UNUSED | rows~52533 | size_mb=14.023 | inbound_fk=0 | code_hits=0
  receipt_banking_links | class=ARCHIVE_CANDIDATE_UNUSED | rows~20179 | size_mb=3.906 | inbound_fk=0 | code_hits=0
  charter_reconciliation_status | class=ARCHIVE_CANDIDATE_UNUSED | rows~18442 | size_mb=2.672 | inbound_fk=0 | code_hits=0
  etransfer_transactions | class=ARCHIVE_CANDIDATE_UNUSED | rows~9281 | size_mb=2.469 | inbound_fk=0 | code_hits=0
  payables | class=ARCHIVE_CANDIDATE_UNUSED | rows~17598 | size_mb=2.188 | inbound_fk=0 | code_hits=0
  general_ledger | class=ARCHIVE_CANDIDATE_UNUSED | rows~5915 | size_mb=1.82 | inbound_fk=0 | code_hits=0
  square_payment_categories | class=ARCHIVE_CANDIDATE_UNUSED | rows~8676 | size_mb=1.805 | inbound_fk=0 | code_hits=0
  charter_gst_details_2010_2012 | class=ARCHIVE_CANDIDATE_UNUSED | rows~3805 | size_mb=1.766 | inbound_fk=0 | code_hits=0
  driver_name_employee_map | class=ARCHIVE_CANDIDATE_UNUSED | rows~9785 | size_mb=1.68 | inbound_fk=0 | code_hits=0
  unmatched_items | class=ARCHIVE_CANDIDATE_UNUSED | rows~7445 | size_mb=1.555 | inbound_fk=0 | code_hits=0
  square_review_status | class=ARCHIVE_CANDIDATE_UNUSED | rows~6757 | size_mb=1.305 | inbound_fk=0 | code_hits=0
  limo_clients | class=ARCHIVE_CANDIDATE_UNUSED | rows~6818 | size_mb=1.273 | inbound_fk=0 | code_hits=0
  direct_tips_history | class=ARCHIVE_CANDIDATE_UNUSED | rows~3130 | size_mb=1.188 | inbound_fk=0 | code_hits=0
  limo_clients_clean | class=ARCHIVE_CANDIDATE_UNUSED | rows~6203 | size_mb=1.109 | inbound_fk=0 | code_hits=0
  batch_deposit_allocations | class=ARCHIVE_CANDIDATE_UNUSED | rows~5732 | size_mb=1.0 | inbound_fk=0 | code_hits=0
  financial_transactions | class=ARCHIVE_CANDIDATE_UNUSED | rows~3970 | size_mb=0.953 | inbound_fk=0 | code_hits=0
  employee_pay_master | class=ARCHIVE_CANDIDATE_UNUSED | rows~1504 | size_mb=0.922 | inbound_fk=0 | code_hits=0
  charter_beverages | class=ARCHIVE_CANDIDATE_UNUSED | rows~3992 | size_mb=0.797 | inbound_fk=0 | code_hits=0
  square_customers | class=ARCHIVE_CANDIDATE_UNUSED | rows~1716 | size_mb=0.727 | inbound_fk=0 | code_hits=0
  customer_name_mapping | class=ARCHIVE_CANDIDATE_UNUSED | rows~4691 | size_mb=0.672 | inbound_fk=0 | code_hits=0
  cra_payroll_submissions | class=ARCHIVE_CANDIDATE_UNUSED | rows~1993 | size_mb=0.617 | inbound_fk=0 | code_hits=0
  vendor_account_ledger | class=ARCHIVE_CANDIDATE_UNUSED | rows~1133 | size_mb=0.578 | inbound_fk=0 | code_hits=0
  journal_lines | class=ARCHIVE_CANDIDATE_UNUSED | rows~2455 | size_mb=0.57 | inbound_fk=0 | code_hits=0
  gl_transactions | class=ARCHIVE_CANDIDATE_UNUSED | rows~981 | size_mb=0.469 | inbound_fk=0 | code_hits=0
  journal_batches | class=ARCHIVE_CANDIDATE_UNUSED | rows~835 | size_mb=0.445 | inbound_fk=0 | code_hits=0
  wcb_summary | class=ARCHIVE_CANDIDATE_UNUSED | rows~1956 | size_mb=0.43 | inbound_fk=0 | code_hits=0
  business_expenses | class=ARCHIVE_CANDIDATE_UNUSED | rows~724 | size_mb=0.375 | inbound_fk=0 | code_hits=0
  banking_inter_account_transfers | class=ARCHIVE_CANDIDATE_UNUSED | rows~970 | size_mb=0.367 | inbound_fk=0 | code_hits=0
  david_account_tracking | class=ARCHIVE_CANDIDATE_UNUSED | rows~1179 | size_mb=0.359 | inbound_fk=0 | code_hits=0
  cra_completion_status | class=ARCHIVE_CANDIDATE_UNUSED | rows~1993 | size_mb=0.344 | inbound_fk=0 | code_hits=0
  comprehensive_payment_reconciliation | class=ARCHIVE_CANDIDATE_UNUSED | rows~424 | size_mb=0.344 | inbound_fk=0 | code_hits=0
  journal | class=ARCHIVE_CANDIDATE_UNUSED | rows~1229 | size_mb=0.336 | inbound_fk=0 | code_hits=0
  charter_credit_ledger | class=ARCHIVE_CANDIDATE_UNUSED | rows~824 | size_mb=0.336 | inbound_fk=0 | code_hits=0
  transaction_chain | class=ARCHIVE_CANDIDATE_UNUSED | rows~574 | size_mb=0.312 | inbound_fk=0 | code_hits=0
  payment_matches | class=ARCHIVE_CANDIDATE_UNUSED | rows~581 | size_mb=0.266 | inbound_fk=0 | code_hits=0
  fee_tracking | class=ARCHIVE_CANDIDATE_UNUSED | rows~570 | size_mb=0.203 | inbound_fk=0 | code_hits=0
  invoice_tracking | class=ARCHIVE_CANDIDATE_UNUSED | rows~558 | size_mb=0.188 | inbound_fk=0 | code_hits=0
  driver_documents | class=ARCHIVE_CANDIDATE_UNUSED | rows~399 | size_mb=0.172 | inbound_fk=0 | code_hits=0
  gratuity_income_links | class=ARCHIVE_CANDIDATE_UNUSED | rows~1273 | size_mb=0.156 | inbound_fk=0 | code_hits=0
  pd7a_remittance_forms | class=ARCHIVE_CANDIDATE_UNUSED | rows~118 | size_mb=0.156 | inbound_fk=0 | code_hits=0
  cheque_register | class=ARCHIVE_CANDIDATE_UNUSED | rows~390 | size_mb=0.148 | inbound_fk=0 | code_hits=0
  charter_refunds | class=ARCHIVE_CANDIDATE_UNUSED | rows~343 | size_mb=0.148 | inbound_fk=0 | code_hits=0
  square_capital_activity | class=ARCHIVE_CANDIDATE_UNUSED | rows~209 | size_mb=0.141 | inbound_fk=0 | code_hits=0
  charity_trade_charters | class=ARCHIVE_CANDIDATE_UNUSED | rows~116 | size_mb=0.141 | inbound_fk=0 | code_hits=0
  cash_flow_tracking | class=ARCHIVE_CANDIDATE_UNUSED | rows~457 | size_mb=0.133 | inbound_fk=0 | code_hits=0
  cra_pd7a_returns | class=ARCHIVE_CANDIDATE_UNUSED | rows~233 | size_mb=0.125 | inbound_fk=0 | code_hits=0
  employee_t4_summary | class=ARCHIVE_CANDIDATE_UNUSED | rows~51 | size_mb=0.125 | inbound_fk=0 | code_hits=0
  accounting_entries | class=ARCHIVE_CANDIDATE_UNUSED | rows~16 | size_mb=0.125 | inbound_fk=0 | code_hits=0
  maintenance_records | class=ARCHIVE_CANDIDATE_UNUSED | rows~3 | size_mb=0.125 | inbound_fk=0 | code_hits=0
  payroll_remittances | class=ARCHIVE_CANDIDATE_UNUSED | rows~233 | size_mb=0.117 | inbound_fk=0 | code_hits=0
  vendor_gl_codes | class=ARCHIVE_CANDIDATE_UNUSED | rows~1277 | size_mb=0.109 | inbound_fk=0 | code_hits=0
  raw_file_inventory | class=ARCHIVE_CANDIDATE_UNUSED | rows~202 | size_mb=0.109 | inbound_fk=0 | code_hits=0
  general_ledger_lines | class=ARCHIVE_CANDIDATE_UNUSED | rows~30 | size_mb=0.109 | inbound_fk=0 | code_hits=0
  employee_pay_entries | class=ARCHIVE_CANDIDATE_UNUSED | rows~6 | size_mb=0.109 | inbound_fk=0 | code_hits=0
  banking_fallback_created_map_20260224_162759 | class=ARCHIVE_CANDIDATE_UNUSED | rows~1634 | size_mb=0.102 | inbound_fk=0 | code_hits=0
  rent_debt_ledger | class=ARCHIVE_CANDIDATE_UNUSED | rows~133 | size_mb=0.102 | inbound_fk=0 | code_hits=0
  lender_statement_transactions | class=ARCHIVE_CANDIDATE_UNUSED | rows~122 | size_mb=0.102 | inbound_fk=0 | code_hits=0
  vendor_invoice_payments | class=ARCHIVE_CANDIDATE_UNUSED | rows~339 | size_mb=0.094 | inbound_fk=0 | code_hits=0
  vehicle_documents | class=ARCHIVE_CANDIDATE_UNUSED | rows~50 | size_mb=0.094 | inbound_fk=0 | code_hits=0
  payroll_comparison | class=ARCHIVE_CANDIDATE_UNUSED | rows~25 | size_mb=0.094 | inbound_fk=0 | code_hits=0
  unified_charge_lookup | class=ARCHIVE_CANDIDATE_UNUSED | rows~22 | size_mb=0.094 | inbound_fk=0 | code_hits=0
  chauffeur_pay_entries | class=ARCHIVE_CANDIDATE_UNUSED | rows~4 | size_mb=0.094 | inbound_fk=0 | code_hits=0
  driver_pay_entries | class=ARCHIVE_CANDIDATE_UNUSED | rows~4 | size_mb=0.094 | inbound_fk=0 | code_hits=0
  deferred_wage_transactions | class=ARCHIVE_CANDIDATE_UNUSED | rows~1 | size_mb=0.094 | inbound_fk=0 | code_hits=0
  square_payouts | class=ARCHIVE_CANDIDATE_UNUSED | rows~148 | size_mb=0.086 | inbound_fk=0 | code_hits=0
  legacy_import_status | class=ARCHIVE_CANDIDATE_UNUSED | rows~126 | size_mb=0.086 | inbound_fk=0 | code_hits=0
  driver_monthly_pay_summary | class=ARCHIVE_CANDIDATE_UNUSED | rows~118 | size_mb=0.086 | inbound_fk=0 | code_hits=0
  zero_payment_resolutions | class=ARCHIVE_CANDIDATE_UNUSED | rows~106 | size_mb=0.086 | inbound_fk=0 | code_hits=0
  david_richard_vehicle_loans | class=ARCHIVE_CANDIDATE_UNUSED | rows~96 | size_mb=0.086 | inbound_fk=0 | code_hits=0
  incident_damage_tracking | class=ARCHIVE_CANDIDATE_UNUSED | rows~40 | size_mb=0.086 | inbound_fk=0 | code_hits=0
