"year","file","bytes"
"2012","5000-r-12e.pdf","68870"
"2012","5009-c-12e.pdf","50404"
"2013","5000-r-13e.pdf","65099"
"2013","5009-c-13e.pdf","43416"
"2014","5000-r-14e.pdf","52262"
"2014","5009-c-14e.pdf","33880"
"2015","5000-r-15e.pdf","50892"
"2015","5009-c-15e.pdf","45779"
"2016","5000-r-16e.pdf","51052"
"2016","5009-c-16e.pdf","45498"
"2017","5000-r-17e.pdf","47252"
"2017","5009-c-17e.pdf","48220"
"2018","5000-r-18e.pdf","64810"
"2018","5009-c-18e.pdf","44314"
"2019","5009-c-19e.pdf","48343"
"2019","5015-r-19e.pdf","71988"
"2020","5009-c-20e.pdf","53527"
"2020","5015-r-20e.pdf","85567"
"2021","5000-r-21e.pdf","86327"
"2021","5009-c-21e.pdf","49891"
"2022","5000-r-22e.pdf","86385"
"2022","5009-c-22e.pdf","49649"
"2023","5009-c-23e.pdf","49667"
"2023","5015-r-23e.pdf","87541"
"2024","5009-c-24e.pdf","72937"
"2024","5015-r-24e.pdf","93501"
"2025","5000-r-25e.pdf","90921"
"2025","5009-c-25e.pdf","50786"
