Date 	Transactions 	Debit 	Credit 	Running Balance 3		
Jan. 04, 2012	Electronic Funds Transfer CREDIT MEMO 4017775 IDP GBL IDP4017775		$500.00	$7,085.08		
Jan. 04, 2012	Electronic Funds Transfer CREDIT MEMO 4017775 VISA GBL VI 4017775		$435.00	$7,520.08		
Jan. 04, 2012	Electronic Funds Transfer CREDIT MEMO 4017775 VISA GBL VI 4017775		$1,840.00	$9,360.08		
Jan. 04, 2012	Electronic Funds Transfer CREDIT MEMO 4017775 VISA GBL VI 4017775		$673.74	$10,033.82		
Jan. 04, 2012	Electronic Funds Transfer CREDIT MEMO 4017775 MC GBL MC 4017775		$2,375.75	$12,409.57		
Jan. 04, 2012	Electronic Funds Transfer CREDIT MEMO 4017775 VISA GBL VI 4017775		$2,142.50	$14,552.07		
Jan. 04, 2012	Electronic Funds Transfer CREDIT MEMO 4017775 VISA GBL VI 4017775		$370.00	$14,922.07		
Jan. 04, 2012	Electronic Funds Transfer CREDIT MEMO 4017775 MC GBL MC 4017775		$1,233.37	$16,155.44		
Jan. 04, 2012	Electronic Funds Transfer CREDIT MEMO 4017775 VISA GBL VI 4017775		$250.00	$16,405.44		
Jan. 04, 2012	Point of Sale - INTERAC PURCHASE000001143003 ERLES AUTO REPA	$553.89		$15,851.55		
Jan. 04, 2012	Point of Sale - INTERAC PURCHASE000001675049 RUN'N ON EMPTY	$48.00		$15,803.55		
Jan. 04, 2012	Point of Sale - INTERAC PURCHASE000001203082 CENTEX PETROLEU	$225.01		$15,578.54		
Jan. 04, 2012	CHEQUE 17086706 207 	$3,005.46		$12,573.08		
Jan. 04, 2012	CHEQUE 17086856 203 	$1,771.12		$10,801.96		
Jan. 05, 2012	Electronic Funds Transfer MISC PAYMENT AMEX 9320382063 AMEX BANK OF CANADA		$258.14	$11,060.10		
Jan. 05, 2012	Electronic Funds Transfer CREDIT MEMO 4017775 VISA GBL VI 4017775		$609.99	$11,670.09		
Jan. 05, 2012	Electronic Funds Transfer CREDIT MEMO 4017775 VISA GBL VI 4017775		$173.25	$11,843.34		
Jan. 05, 2012	Electronic Funds Transfer CREDIT MEMO 4017775 VISA GBL VI 4017775		$500.00	$12,343.34		
Jan. 05, 2012	Point of Sale - INTERAC PURCHASE000001001858 WAL-MART #3075	$87.04		$12,256.30		
Jan. 05, 2012	CHEQUE 17314555 204 	$1,820.24		$10,436.06		
Jan. 06, 2012	Electronic Funds Transfer MISC PAYMENT AMEX 9320382063 AMEX BANK OF CANADA		$351.89	$10,787.95		
Jan. 06, 2012	Electronic Funds Transfer CREDIT MEMO 4017775 MC GBL MC 4017775		$205.00	$10,992.95		
Jan. 06, 2012	Branch Transaction DEPOSIT		$900.00	$11,892.95		
Jan. 06, 2012	Branch Transaction WITHDRAWAL	$1,000.00		$10,892.95		
Jan. 06, 2012	Point of Sale - INTERAC PURCHASE000001198045 CENTEX PETROLEU	$66.49		$10,826.46		
Jan. 06, 2012	Point of Sale - INTERAC PURCHASE000001198046 CENTEX PETROLEU	$71.20		$10,755.26		
Jan. 06, 2012	Point of Sale - INTERAC PURCHASE000001247053 GREGG DIST RED	$55.36		$10,699.90		
Jan. 06, 2012	Point of Sale - INTERAC PURCHASE000001145004 ERLES AUTO REPA	$905.08		$9,794.82		
Jan. 06, 2012	Electronic Funds Transfer RENT/LEASE Dec'11 PMT HEFFNER AUTO FC	$2,525.25		$7,269.57		
Jan. 06, 2012	Electronic Funds Transfer RENT/LEASE Dec.'11 PMT. HEFFNER AUTO FC	$1,475.25		$5,794.32		
Jan. 06, 2012	Electronic Funds Transfer PRE-AUTH DEBIT 684832000000034 LFG BUSINESS PAD	$101.14		$5,693.18		
Jan. 09, 2012	Point of Sale - INTERAC PURCHASE000001205108 CENTEX PETROLEU	$36.00		$5,657.18		
Jan. 09, 2012	Branch Transaction DEPOSIT		$1,620.00	$7,277.18		
Jan. 09, 2012	Electronic Funds Transfer PRE-AUTH DEBIT 806522000000122 LFG BUSINESS PAD	$202.27		$7,074.91		
Jan. 09, 2012	CHEQUE 17563964 205 	$3,234.66		$3,840.25		
Jan. 09, 2012	CHEQUE 19294071 206 	$1,690.68		$2,149.57		
Jan. 10, 2012	Electronic Funds Transfer CREDIT MEMO 4017775 MC GBL MC 4017775		$205.00	$2,354.57		
Jan. 11, 2012	Electronic Funds Transfer CREDIT MEMO 4017775 MC GBL MC 4017775		$205.00	$2,559.57		
Jan. 11, 2012	Electronic Funds Transfer CREDIT MEMO 4017775 VISA GBL VI 4017775		$205.00	$2,764.57		
Jan. 11, 2012	Electronic Funds Transfer CREDIT MEMO 4017775 VISA GBL VI 4017775		$175.00	$2,939.57		
Jan. 11, 2012	Automated Banking Machine ABM WITHDRAWAL 2C0Q 7-ELEVEN 99512 4506*********359	$60.00		$2,879.57		
Jan. 11, 2012	Branch Transaction DEPOSIT		$345.00	$3,224.57		
Jan. 12, 2012	Electronic Funds Transfer MISC PAYMENT AMEX 9320382063 AMEX BANK OF CANADA		$455.96	$3,680.53		
Jan. 12, 2012	Electronic Funds Transfer CREDIT MEMO 4017775 VISA GBL VI 4017775		$261.00	$3,941.53		
Jan. 12, 2012	Point of Sale - INTERAC PURCHASE000001211027 CENTEX PETROLEU 4506*********359	$65.51		$3,876.02		
