id,source_system,source_reference,receipt_date,vendor_name,description,currency,gross_amount,gst_amount,net_amount,expense_account,payment_method,validation_status,validation_reason,event_batch_id,source_hash,created_at,reviewed,exported,document_type,date_added,tax,sales_tax,tip,type,tax_category,classification,sub_classification,pay_account,card_type,card_number,comment,pay_method,mapped_expense_account_id,mapped_bank_account_id,canonical_pay_method,mapping_status,mapping_notes,category,expense,vehicle_id,vehicle_number,fuel,created_from_banking,revenue,gst_code,split_key,split_group_total,fuel_amount,deductible_status,business_personal,source_file,gl_account_code,gl_account_name,gl_subcategory,auto_categorized
,mastercard_import,2024-01-15_Shell Gas Station_45.67,2024-01-15,Shell Gas Station,Fuel for company vehicle,CAD,45.67,2.17,43.50,,Mastercard,,,,2148b76a02c921684ba7ce89fb444a2c02ce5bc4e1b749ccaf9e6b127444a2e8,2025-10-24 21:26:38,,,,,,,,,,,,,,,Business expense paid by David,,,,,,,fuel,,,,,,,,,,,,business,,,,,
,mastercard_import,2024-01-16_Canadian Tire_89.99,2024-01-16,Canadian Tire,Vehicle maintenance parts,CAD,89.99,4.29,85.70,,Mastercard,,,,a1e683fe416f79445ae0d011080ec3694f90a9fb91e1cd301e56bf104de91ef8,2025-10-24 21:26:38,,,,,,,,,,,,,,,Business expense paid by David,,,,,,,maintenance,,,,,,,,,,,,business,,,,,
,mastercard_import,2019-04-17_Canadian Tire_0.0,2019-04-17,Canadian Tire,CDN TIRE STORE #00329 RED DEER,CAD,0.00,0.00,0.00,,Mastercard,,,,62054f777bf60008e59ce22c043a4ac39ab31d0d3f63073045f0a3e32c8f29e3,2025-10-24 21:26:38,,,,,,,,,,,,,,,Triangle Mastercard (David),,,,,,,maintenance,,,,,,,,,,,,business,,,,,
,mastercard_import,2019-05-02_Canadian Tire_0.0,2019-05-02,Canadian Tire,CDN TIRE STORE #00329 RED DEER,CAD,0.00,0.00,0.00,,Mastercard,,,,79bbee5a6aaf3ebb6b8d8262ba875fcd2814836909db2111ad7ee9895563a171,2025-10-24 21:26:38,,,,,,,,,,,,,,,Triangle Mastercard (David),,,,,,,maintenance,,,,,,,,,,,,business,,,,,
,mastercard_import,2019-08-20_Canadian Tire_0.4,2019-08-20,Canadian Tire,CDN TIRE STORE #00329 RED DEER,CAD,0.40,0.02,0.38,,Mastercard,,,,86f73e6494afcad76d512c0a91e5525e4b5abc23c6db003ce3144f91d7f0701f,2025-10-24 21:26:38,,,,,,,,,,,,,,,Triangle Mastercard (David),,,,,,,maintenance,,,,,,,,,,,,business,,,,,
,mastercard_import,2019-09-30_Canadian Tire_151.0,2019-09-30,Canadian Tire,RB TELEPAYMENTS/ROYALE DIRECT -500.00 Total payments received -$830.00 Returns and other credits TRANSACTION DATEPOSTING DATE TRANSACTION DESCRIPTION AMOUNT ($) Sep 11 Sep 12 CDN TIRE MONEY ADJ. -0.40 Total returns and credits -$0.40 Purchases TRANSACTION DATEPOSTING DATE TRANSACTION DESCRIPTION AMOUNT ($) Purchases - Card #5446 12XX XXXX,CAD,151.00,7.19,143.81,,Mastercard,,,,054dceca88754f32f711ec970260da79fa37404eff1e4d34f0e5a9369d5e39f3,2025-10-24 21:26:38,,,,,,,,,,,,,,,Triangle Mastercard (David),,,,,,,maintenance,,,,,,,,,,,,business,,,,,
,mastercard_import,2019-11-22_Canadian Tire_0.27,2019-11-22,Canadian Tire,DNH*GODADDY.COM 480-5058855 AZ 15.72 11.54 USD @ 1.362521664 Nov 25 Nov 26 CDN TIRE STORE #00329 RED DEER,CAD,0.27,0.01,0.26,,Mastercard,,,,18b94ab3e0df892071480445aefcac252d704f51a8faa28dbf82d020aa61d183,2025-10-24 21:26:38,,,,,,,,,,,,,,,Triangle Mastercard (David),,,,,,,maintenance,,,,,,,,,,,,business,,,,,
,mastercard_import,2019-11-25_Canadian Tire_13.1,2019-11-25,Canadian Tire,KFC GASOLINE ALLEY RED DEER CNTYAB40.26 Nov 27 Nov 28 AMZN Mktp CA*103E17D03 WWW.AMAZON.CAON99.99 Nov 30 Dec 02 AMZN Mktp CA*US0AK2NE3 WWW.AMAZON.CAON37.79 Dec 03 Dec 04 AMZN Mktp CA*2K64V04T3 WWW.AMAZON.CAON24.98 Dec 04 Dec 05 CDN TIRE STORE #00645 RED DEER,CAD,13.10,0.62,12.48,,Mastercard,,,,702e821f991a452d93e5924b31d1f4bc49fbf144e6b1faa4b3b3a703fa97e48b,2025-10-24 21:26:38,,,,,,,,,,,,,,,Triangle Mastercard (David),,,,,,,maintenance,,,,,,,,,,,,business,,,,,
,mastercard_import,2019-12-06_Canadian Tire_70.81,2019-12-06,Canadian Tire,CDN TIRE STORE #00645 RED DEER,CAD,70.81,3.37,67.44,,Mastercard,,,,e3f5d51cfd9ec03f4ed387537bbec68b61ae1a7cd68946c7cf20c641991e1786,2025-10-24 21:26:38,,,,,,,,,,,,,,,Triangle Mastercard (David),,,,,,,maintenance,,,,,,,,,,,,business,,,,,
,mastercard_import,2019-12-06_Canadian Tire_62.44,2019-12-06,Canadian Tire,CDN TIRE STORE #00645 RED DEER,CAD,62.44,2.97,59.47,,Mastercard,,,,54caa0a6f2e3bde40370b3ff70fba2c892d50e05d5c732169dbdc343e4b6b5c4,2025-10-24 21:26:38,,,,,,,,,,,,,,,Triangle Mastercard (David),,,,,,,maintenance,,,,,,,,,,,,business,,,,,
