FULL RECEIPTS REPORT FOR 2019 (All Columns, Including Nulls)
========================================================================================================================
id	source_system	source_reference	receipt_date	vendor_name	description	currency	gross_amount	gst_amount	net_amount	expense_account	payment_method	validation_status	validation_reason	event_batch_id	source_hash	created_at
398	quickbooks_csv	399	2019-02-09	32 ND STREET ESSO		CAD	40.28	1.67	38.61	FUEL_EXPENSE	Debit	POSTED	NULL	413	bdd787b0601bd648f820f7c4a318ec2380d191212e5d082c8b1f983b09875d26	2025-09-14 16:52:48.101950-06:00
223	quickbooks_csv	223	2019-03-15	32 ND STREET ESSO		CAD	130.00	0.43	129.57	FUEL_EXPENSE	Cash	POSTED	NULL	239	1a312bfa37dfdaee0cd195bf91f02af5ce3d2978e02fa3f1e2f7dd48c46285fa	2025-09-14 16:52:48.101950-06:00
312	quickbooks_csv	313	2019-03-15	32 ND STREET ESSO		CAD	9.40	0.43	8.97	FUEL_EXPENSE	Cash	POSTED	NULL	327	ececf979588c2ecacdab101951893ab3c64109a7992428dc3725979d60fb15b5	2025-09-14 16:52:48.101950-06:00
98	quickbooks_csv	98	2019-03-12	7 ELEVEN		CAD	40.00	1.90	38.10	OTHER_EXPENSE	Card	POSTED	NULL	114	748c6476f1416a0a02cef2b61369a85e3ac2b22620266ad942ae259337f4be79	2025-09-14 16:52:48.101950-06:00
175	quickbooks_csv	175	2019-05-13	7 ELEVEN		CAD	15.00	0.71	14.29	OTHER_EXPENSE	Cash	POSTED	NULL	191	944a21f5dc121ca136e9b6e2915a37a161ffb3f4b31547ef252f87d94746826f	2025-09-14 16:52:48.101950-06:00
77	quickbooks_csv	77	2019-05-21	7 ELEVEN		CAD	7.00	0.33	6.67	OTHER_EXPENSE	Debit	POSTED	NULL	93	5c81b2b5bd8e6007cff5446e8771d6cacbb7eb98a9e80ae624ee634d85627422	2025-09-14 16:52:48.101950-06:00
687	quickbooks_csv	688	2019-08-21	7 ELEVEN		CAD	38.00	0.95	37.05	OTHER_EXPENSE	Debit	POSTED	NULL	702	9c6701c11f6c5c3d99c64d7a9d5823948419178baf4b217f9698efd542807561	2025-09-14 16:52:48.101950-06:00
598	quickbooks_csv	599	2019-11-07	7 ELEVEN		CAD	116.00	5.52	110.48	OTHER_EXPENSE	NULL	POSTED	NULL	613	eafbcc56bfd03448a027308b399ee50a1e7dea0648fc6084616bc243c30dce45	2025-09-14 16:52:48.101950-06:00
565	quickbooks_csv	566	2019-11-18	7 ELEVEN		CAD	143.00	6.81	136.19	OTHER_EXPENSE	NULL	POSTED	NULL	580	49903aab7757ad7e3f96d8b215136b717a9fb14e4df77ea39a1c2ff2fb41c8d1	2025-09-14 16:52:48.101950-06:00
324	quickbooks_csv	325	2019-03-12	A&W		CAD	10.91	0.52	10.39	OTHER_EXPENSE	Cash	POSTED	NULL	339	b2f99ca8d567c55268915c4f75f0d0b066f7add773c60d3ff3d8838aa2828bdb	2025-09-14 16:52:48.101950-06:00
360	quickbooks_csv	361	2019-02-23	ACE LIQUOR		CAD	33.80	1.55	32.25	OTHER_EXPENSE	Cash	POSTED	NULL	375	cc7fc970f0211067d90133e47db3060a716800c21915013bf852317323746af3	2025-09-14 16:52:48.101950-06:00
807	quickbooks_csv	808	2019-11-07	ACE LIQUOR		CAD	43.34	1.95	41.39	OTHER_EXPENSE	Card	POSTED	NULL	822	7cd2661cec2b7c15ef840f46e7adce95bc08767ce62936b14dcec0280465b863	2025-09-14 16:52:48.101950-06:00
585	quickbooks_csv	586	2019-07-12	ACE LIQUOR ACADIA		CAD	7.55	0.19	7.36	OTHER_EXPENSE	Cash	POSTED	NULL	600	f9795acb662fd9f7b2b7cdcd530b7f574e743514199b0fb7bd5b2688de3000be	2025-09-14 16:52:48.101950-06:00
758	quickbooks_csv	759	2019-04-26	ACE LIQUOR LACOMBE		CAD	29.20	1.34	27.86	OTHER_EXPENSE	Cash	POSTED	NULL	773	d42998ff60ea98f5c7a98f4b58e23df987a3d23b3320f624f1754059c6d9a0a0	2025-09-14 16:52:48.101950-06:00
