RECEIPTS REPORT FOR 2019 (All Columns Except source_hash)
========================================================================================================================
id	source_system	source_reference	receipt_date	vendor_name	description	currency	gross_amount	gst_amount	net_amount	expense_account	payment_method	validation_status	validation_reason	event_batch_id	created_at
398	quickbooks_csv	399	2019-02-09	32 ND STREET ESSO		CAD	40.28	1.67	38.61	FUEL_EXPENSE	Debit	POSTED	NULL	413	2025-09-14 16:52:48.101950-06:00
223	quickbooks_csv	223	2019-03-15	32 ND STREET ESSO		CAD	130.00	0.43	129.57	FUEL_EXPENSE	Cash	POSTED	NULL	239	2025-09-14 16:52:48.101950-06:00
312	quickbooks_csv	313	2019-03-15	32 ND STREET ESSO		CAD	9.40	0.43	8.97	FUEL_EXPENSE	Cash	POSTED	NULL	327	2025-09-14 16:52:48.101950-06:00
98	quickbooks_csv	98	2019-03-12	7 ELEVEN		CAD	40.00	1.90	38.10	OTHER_EXPENSE	Card	POSTED	NULL	114	2025-09-14 16:52:48.101950-06:00
175	quickbooks_csv	175	2019-05-13	7 ELEVEN		CAD	15.00	0.71	14.29	OTHER_EXPENSE	Cash	POSTED	NULL	191	2025-09-14 16:52:48.101950-06:00
77	quickbooks_csv	77	2019-05-21	7 ELEVEN		CAD	7.00	0.33	6.67	OTHER_EXPENSE	Debit	POSTED	NULL	93	2025-09-14 16:52:48.101950-06:00
687	quickbooks_csv	688	2019-08-21	7 ELEVEN		CAD	38.00	0.95	37.05	OTHER_EXPENSE	Debit	POSTED	NULL	702	2025-09-14 16:52:48.101950-06:00
598	quickbooks_csv	599	2019-11-07	7 ELEVEN		CAD	116.00	5.52	110.48	OTHER_EXPENSE	NULL	POSTED	NULL	613	2025-09-14 16:52:48.101950-06:00
565	quickbooks_csv	566	2019-11-18	7 ELEVEN		CAD	143.00	6.81	136.19	OTHER_EXPENSE	NULL	POSTED	NULL	580	2025-09-14 16:52:48.101950-06:00
324	quickbooks_csv	325	2019-03-12	A&W		CAD	10.91	0.52	10.39	OTHER_EXPENSE	Cash	POSTED	NULL	339	2025-09-14 16:52:48.101950-06:00
360	quickbooks_csv	361	2019-02-23	ACE LIQUOR		CAD	33.80	1.55	32.25	OTHER_EXPENSE	Cash	POSTED	NULL	375	2025-09-14 16:52:48.101950-06:00
807	quickbooks_csv	808	2019-11-07	ACE LIQUOR		CAD	43.34	1.95	41.39	OTHER_EXPENSE	Card	POSTED	NULL	822	2025-09-14 16:52:48.101950-06:00
585	quickbooks_csv	586	2019-07-12	ACE LIQUOR ACADIA		CAD	7.55	0.19	7.36	OTHER_EXPENSE	Cash	POSTED	NULL	600	2025-09-14 16:52:48.101950-06:00
758	quickbooks_csv	759	2019-04-26	ACE LIQUOR LACOMBE		CAD	29.20	1.34	27.86	OTHER_EXPENSE	Cash	POSTED	NULL	773	2025-09-14 16:52:48.101950-06:00
183	quickbooks_csv	183	2019-06-15	BENTLEY ESSO		CAD	11.25	0.54	10.71	FUEL_EXPENSE	Cash	POSTED	NULL	199	2025-09-14 16:52:48.101950-06:00
198	quickbooks_csv	198	2019-06-15	BENTLEY ESSO		CAD	24.40	1.16	23.24	FUEL_EXPENSE	Cash	POSTED	NULL	214	2025-09-14 16:52:48.101950-06:00
11	quickbooks_csv	11	2019-07-06	BENTLEY ESSO		CAD	16.38	0.78	15.60	FUEL_EXPENSE	Debit	POSTED	NULL	27	2025-09-14 16:52:48.101950-06:00
656	quickbooks_csv	657	2019-10-01	BEST BUY		CAD	62.97	3.00	59.97	OTHER_EXPENSE	Debit	POSTED	NULL	671	2025-09-14 16:52:48.101950-06:00
93	quickbooks_csv	93	2019-03-30	BLACKFALDS ESSO		CAD	40.00	1.90	38.10	FUEL_EXPENSE	Cash	POSTED	NULL	109	2025-09-14 16:52:48.101950-06:00
88	quickbooks_csv	88	2019-03-30	BLACKFALDS ESSO		CAD	60.00	2.86	57.14	FUEL_EXPENSE	Card	POSTED	NULL	104	2025-09-14 16:52:48.101950-06:00
57	quickbooks_csv	57	2019-04-12	BLACKFALDS ESSO		CAD	20.00	0.95	19.05	FUEL_EXPENSE	Debit	POSTED	NULL	73	2025-09-14 16:52:48.101950-06:00
110	quickbooks_csv	110	2019-07-13	BLACKFALDS ESSO		CAD	40.00	1.90	38.10	FUEL_EXPENSE	Cash	POSTED	NULL	126	2025-09-14 16:52:48.101950-06:00
218	quickbooks_csv	218	2019-02-23	BURNT LAKE STORE		CAD	7.42	0.35	7.07	OTHER_EXPENSE	Card	POSTED	NULL	234	2025-09-14 16:52:48.101950-06:00
211	quickbooks_csv	211	2019-02-23	BURNT LAKE STORE		CAD	58.00	2.76	55.24	OTHER_EXPENSE	Card	POSTED	NULL	227	2025-09-14 16:52:48.101950-06:00
321	quickbooks_csv	322	2019-03-18	BURNT LAKE STORE		CAD	60.00	2.86	57.14	OTHER_EXPENSE	Cash	POSTED	NULL	336	2025-09-14 16:52:48.101950-06:00
36	quickbooks_csv	36	2019-05-04	BURNT LAKE STORE		CAD	64.00	3.05	60.95	OTHER_EXPENSE	Debit	POSTED	NULL	52	2025-09-14 16:52:48.101950-06:00
35	quickbooks_csv	35	2019-05-04	BURNT LAKE STORE		CAD	37.91	1.81	36.10	OTHER_EXPENSE	Debit	POSTED	NULL	51	2025-09-14 16:52:48.101950-06:00
128	quickbooks_csv	128	2019-06-01	BURNT LAKE STORE		CAD	34.00	1.62	32.38	OTHER_EXPENSE	Cash	POSTED	NULL	144	2025-09-14 16:52:48.101950-06:00
676	quickbooks_csv	677	2019-08-15	BURNT LAKE STORE		CAD	85.40	4.07	81.33	OTHER_EXPENSE	Cash	POSTED	NULL	691	2025-09-14 16:52:48.101950-06:00
144	quickbooks_csv	144	2019-08-15	BURNT LAKE STORE		CAD	53.90	2.57	51.33	OTHER_EXPENSE	Cash	POSTED	NULL	160	2025-09-14 16:52:48.101950-06:00
380	quickbooks_csv	381	2019-08-15	BURNT LAKE STORE		CAD	100.00	4.76	95.24	OTHER_EXPENSE	Cash	POSTED	NULL	395	2025-09-14 16:52:48.101950-06:00
