source_file,transaction_date,type,num,name,memo,account,debit,credit,amount
journal 2025.CSV,2011-12-31,General Journal,Opening,,,1000 · CIBC Bank 1615,7177.34,0.00,7177.34
journal 2025.CSV,2011-12-31,General Journal,1613,,Correction to balance to T2  SM,6400 · Insurance,0.00,1323.00,-1323.00
journal 2025.CSV,2012-01-01,Bill,RD46434,Kirk's Tire (Red Deer) Ltd.,Original Date 12/06/11,2000 · Accounts Payable,0.00,1694.70,-1694.70
journal 2025.CSV,2012-01-01,Bill,34557,Carriage Auto Upholstery,Original Date 12/09/11,2000 · Accounts Payable,0.00,157.50,-157.50
journal 2025.CSV,2012-01-01,Bill,52,Niteline Limousine Service Ltd.,Original Date 06/12/11,2000 · Accounts Payable,0.00,2235.62,-2235.62
journal 2025.CSV,2012-01-01,Bill,53,Niteline Limousine Service Ltd.,Original Date 06/12/11,2000 · Accounts Payable,0.00,1357.85,-1357.85
journal 2025.CSV,2012-01-01,Bill,54,Niteline Limousine Service Ltd.,Original Date 10/20/11,2000 · Accounts Payable,0.00,259.09,-259.09
journal 2025.CSV,2012-01-01,Cheque,cash,George's Pizza,,1090 · Bank Shareholder,0.00,12.08,-12.08
journal 2025.CSV,2012-01-01,Bill,RD046643,Kirk's Tire (Red Deer) Ltd.,Original Date 12/08/11,2000 · Accounts Payable,0.00,149.10,-149.10
journal 2025.CSV,2012-01-01,General Journal,1026,,Begining Balance,1010 · Scotia Bank Main,40.00,0.00,40.00
journal 2025.CSV,2012-01-01,Cheque,cash,Wholesale Club.,,1090 · Bank Shareholder,0.00,5.67,-5.67
journal 2025.CSV,2012-01-01,Cheque,cash,The Sewing Loft,,1090 · Bank Shareholder,0.00,6.30,-6.30
journal 2025.CSV,2012-01-01,Bill,484000872 010112,Rogers,Previous Balance,2000 · Accounts Payable,0.00,891.72,-891.72
journal 2025.CSV,2012-01-01,Cheque,dd,Capital One MC,Original Date - 12/28/11,1090 · Bank Shareholder,0.00,400.00,-400.00
journal 2025.CSV,2012-01-01,Credit,RD046465,Kirk's Tire (Red Deer) Ltd.,"Original Date 12/02/11 (961.80) - Paid (1,000.00) 12/01/11 to produce a credit of (38.20)",2000 · Accounts Payable,38.20,0.00,38.20
journal 2025.CSV,2012-01-01,Cheque,cash,Global Liquor Store,,1090 · Bank Shareholder,0.00,108.49,-108.49
journal 2025.CSV,2012-01-01,Credit Card Charge,2343,Sirius Radio,,2300 · Capital One Mastercard 9853,0.00,210.26,-210.26
journal 2025.CSV,2012-01-01,Bill,21739,106.7 The Drive,Original Date 03/31/11,2000 · Accounts Payable,0.00,509.25,-509.25
journal 2025.CSV,2012-01-01,Bill,22072,106.7 The Drive,Original Date 04/30/11,2000 · Accounts Payable,0.00,577.50,-577.50
journal 2025.CSV,2012-01-01,Bill,21431,106.7 The Drive,Original Date 02/28/11,2000 · Accounts Payable,0.00,416.50,-416.50
journal 2025.CSV,2012-01-02,Cheque,cash,Centex,,1090 · Bank Shareholder,0.00,25.00,-25.00
journal 2025.CSV,2012-01-02,Cheque,cash,Humpty's Family Restaurant,,1090 · Bank Shareholder,0.00,11.45,-11.45
journal 2025.CSV,2012-01-03,Cheque,dd,GTI Petroleum,,1000 · CIBC Bank 1615,0.00,93.82,-93.82
journal 2025.CSV,2012-01-03,Cheque,dd,Real Canadian Super Store,,1000 · CIBC Bank 1615,0.00,37.16,-37.16
journal 2025.CSV,2012-01-03,Bill,13167,Sully Chapman Beattie,,2000 · Accounts Payable,0.00,197.83,-197.83
journal 2025.CSV,2012-01-03,Cheque,w/d,Paul Richard (v),,1000 · CIBC Bank 1615,0.00,500.00,-500.00
journal 2025.CSV,2012-01-03,Cheque,dd,Centex,,1000 · CIBC Bank 1615,0.00,29.00,-29.00
journal 2025.CSV,2012-01-03,Cheque,dd,Centex,,1000 · CIBC Bank 1615,0.00,63.50,-63.50
journal 2025.CSV,2012-01-03,Cheque,dd,Centex,,1000 · CIBC Bank 1615,0.00,15.45,-15.45
journal 2025.CSV,2012-01-03,Cheque,dd,Run'n On Empty.,,1000 · CIBC Bank 1615,0.00,114.00,-114.00
journal 2025.CSV,2012-01-03,Bill Pmt -Cheque,dd,Erles Auto Repair,,1000 · CIBC Bank 1615,0.00,308.70,-308.70
journal 2025.CSV,2012-01-03,Cheque,dd,Global Merchant Fees,,1000 · CIBC Bank 1615,0.00,2197.71,-2197.71
journal 2025.CSV,2012-01-03,Cheque,EMT,"Keech, Kris",,1000 · CIBC Bank 1615,0.00,570.56,-570.56
journal 2025.CSV,2012-01-03,Cheque,Tsf,Paul Richard (v),,1000 · CIBC Bank 1615,0.00,2200.00,-2200.00
journal 2025.CSV,2012-01-03,Bill,2619,Erles Auto Repair,,2000 · Accounts Payable,0.00,308.70,-308.70
journal 2025.CSV,2012-01-03,Bill Pmt -Cheque,cash,Erles Auto Repair,,1090 · Bank Shareholder,0.00,453.34,-453.34
journal 2025.CSV,2012-01-03,Bill,2598,Erles Auto Repair,,2000 · Accounts Payable,0.00,453.34,-453.34
journal 2025.CSV,2012-01-03,Cheque,cash,Centex,,1090 · Bank Shareholder,0.00,19.20,-19.20
journal 2025.CSV,2012-01-03,Cheque,dd,Mr Suds,,1000 · CIBC Bank 1615,0.00,4.80,-4.80
journal 2025.CSV,2012-01-03,Cheque,cash,Petro Canada,,1090 · Bank Shareholder,0.00,64.07,-64.07
journal 2025.CSV,2012-01-03,Cheque,dd,Bed Bath & Beyond,,1000 · CIBC Bank 1615,0.00,78.70,-78.70
journal 2025.CSV,2012-01-03,Cheque,w/d,Paul Richard (v),,1000 · CIBC Bank 1615,0.00,140.00,-140.00
journal 2025.CSV,2012-01-04,Cheque,207,Michael Richard,,1000 · CIBC Bank 1615,0.00,3005.46,-3005.46
journal 2025.CSV,2012-01-04,Cheque,203,"Metuier, Carla",,1000 · CIBC Bank 1615,0.00,1771.12,-1771.12
journal 2025.CSV,2012-01-04,Cheque,cash,Boston Pizza.,,1090 · Bank Shareholder,0.00,26.51,-26.51
journal 2025.CSV,2012-01-04,Cheque,cash,Global Liquor Store,,1090 · Bank Shareholder,0.00,45.88,-45.88
