entry_date,account_code,account_name,description,debit,credit,source_table,source_id,source_ref
2012-01-02,1000,Cash / Clearing,Charter #4606 - Res #005656 - credit_card,267.50,0.00,income_ledger,18890,0005377
2012-01-02,41000,Charter Revenue,Charter #4606 - Res #005656 - credit_card,0.00,267.50,income_ledger,18890,0005377
2012-01-02,1000,Cash / Clearing,Charter #4615 - Res #005665 - cash,514.00,0.00,income_ledger,18922,0005369
2012-01-02,41000,Charter Revenue,Charter #4615 - Res #005665 - cash,0.00,514.00,income_ledger,18922,0005369
2012-01-02,1000,Cash / Clearing,Charter #4619 - Res #005669 - credit_card,721.86,0.00,income_ledger,19419,0005401
2012-01-02,41000,Charter Revenue,Charter #4619 - Res #005669 - credit_card,0.00,721.86,income_ledger,19419,0005401
2012-01-02,1000,Cash / Clearing,Charter #4644 - Res #005678 - cash,200.00,0.00,income_ledger,19421,0005382
2012-01-02,41000,Charter Revenue,Charter #4644 - Res #005678 - cash,0.00,200.00,income_ledger,19421,0005382
2012-01-02,1000,Cash / Clearing,Charter #4653 - Res #005687 - unknown,288.74,0.00,income_ledger,20930,0005024
2012-01-02,41000,Charter Revenue,Charter #4653 - Res #005687 - unknown,0.00,288.74,income_ledger,20930,0005024
2012-01-02,1000,Cash / Clearing,Charter #4659 - Res #005694 - unknown,370.00,0.00,income_ledger,20935,0005027
2012-01-02,41000,Charter Revenue,Charter #4659 - Res #005694 - unknown,0.00,370.00,income_ledger,20935,0005027
2012-01-02,1000,Cash / Clearing,Charter #4666 - Res #005701 - unknown,22.00,0.00,income_ledger,20936,0005034
2012-01-02,41000,Charter Revenue,Charter #4666 - Res #005701 - unknown,0.00,22.00,income_ledger,20936,0005034
2012-01-03,1000,Cash / Clearing,Charter #4370 - Res #005419 - credit_card,481.26,0.00,income_ledger,18781,0005419
2012-01-03,41000,Charter Revenue,Charter #4370 - Res #005419 - credit_card,0.00,481.26,income_ledger,18781,0005419
2012-01-03,1000,Cash / Clearing,Charter #4370 - Res #005419 - credit_card,1268.74,0.00,income_ledger,18787,0005420
2012-01-03,41000,Charter Revenue,Charter #4370 - Res #005419 - credit_card,0.00,1268.74,income_ledger,18787,0005420
2012-01-03,1000,Cash / Clearing,Charter #4568 - Res #005618 - credit_card,1233.37,0.00,income_ledger,18826,0005408
2012-01-03,41000,Charter Revenue,Charter #4568 - Res #005618 - credit_card,0.00,1233.37,income_ledger,18826,0005408
2012-01-03,1000,Cash / Clearing,Charter #4669 - Res #005704 - unknown,875.00,0.00,income_ledger,18882,0005056
2012-01-03,41000,Charter Revenue,Charter #4669 - Res #005704 - unknown,0.00,875.00,income_ledger,18882,0005056
2012-01-04,1000,Cash / Clearing,Charter #4678 - Res #005713 - unknown,78.75,0.00,income_ledger,18894,0005425
2012-01-04,41000,Charter Revenue,Charter #4678 - Res #005713 - unknown,0.00,78.75,income_ledger,18894,0005425
2012-01-04,1000,Cash / Clearing,Charter #4679 - Res #005714 - unknown,78.75,0.00,income_ledger,18897,0005426
2012-01-04,41000,Charter Revenue,Charter #4679 - Res #005714 - unknown,0.00,78.75,income_ledger,18897,0005426
2012-01-04,1000,Cash / Clearing,Charter #4682 - Res #005717 - unknown,173.25,0.00,income_ledger,20781,0005403
2012-01-04,41000,Charter Revenue,Charter #4682 - Res #005717 - unknown,0.00,173.25,income_ledger,20781,0005403
2012-01-04,1000,Cash / Clearing,Charter #4680 - Res #005715 - unknown,175.00,0.00,income_ledger,20927,0005427
2012-01-04,41000,Charter Revenue,Charter #4680 - Res #005715 - unknown,0.00,175.00,income_ledger,20927,0005427
2012-01-08,1000,Cash / Clearing,Charter #4607 - Res #005657 - unknown,472.50,0.00,income_ledger,18858,0005404
2012-01-08,41000,Charter Revenue,Charter #4607 - Res #005657 - unknown,0.00,472.50,income_ledger,18858,0005404
2012-01-09,1000,Cash / Clearing,Charter #4695 - Res #005730 - unknown,205.00,0.00,income_ledger,18883,0005417
2012-01-09,41000,Charter Revenue,Charter #4695 - Res #005730 - unknown,0.00,205.00,income_ledger,18883,0005417
2012-01-09,1000,Cash / Clearing,Charter #4675 - Res #005710 - unknown,250.00,0.00,income_ledger,18884,0005416
2012-01-09,41000,Charter Revenue,Charter #4675 - Res #005710 - unknown,0.00,250.00,income_ledger,18884,0005416
2012-01-09,1000,Cash / Clearing,Charter #4683 - Res #005718 - cash,1000.00,0.00,income_ledger,18891,0005440
2012-01-09,41000,Charter Revenue,Charter #4683 - Res #005718 - cash,0.00,1000.00,income_ledger,18891,0005440
2012-01-09,1000,Cash / Clearing,Charter #4683 - Res #005718 - credit_card,205.00,0.00,income_ledger,18892,0005441
2012-01-09,41000,Charter Revenue,Charter #4683 - Res #005718 - credit_card,0.00,205.00,income_ledger,18892,0005441
2012-01-09,1000,Cash / Clearing,Charter #4686 - Res #005721 - cash,205.00,0.00,income_ledger,19422,0005439
2012-01-09,41000,Charter Revenue,Charter #4686 - Res #005721 - cash,0.00,205.00,income_ledger,19422,0005439
2012-01-09,1000,Cash / Clearing,Charter #4694 - Res #005729 - unknown,75.00,0.00,income_ledger,19992,0005412
2012-01-09,41000,Charter Revenue,Charter #4694 - Res #005729 - unknown,0.00,75.00,income_ledger,19992,0005412
2012-01-09,1000,Cash / Clearing,Charter #4663 - Res #005698 - unknown,99.00,0.00,income_ledger,20763,0005410
2012-01-09,41000,Charter Revenue,Charter #4663 - Res #005698 - unknown,0.00,99.00,income_ledger,20763,0005410
2012-01-09,1000,Cash / Clearing,Charter #4688 - Res #005723 - unknown,250.00,0.00,income_ledger,20767,0005406
2012-01-09,41000,Charter Revenue,Charter #4688 - Res #005723 - unknown,0.00,250.00,income_ledger,20767,0005406
2012-01-09,1000,Cash / Clearing,Charter #4682 - Res #005717 - unknown,609.99,0.00,income_ledger,20782,0005407
2012-01-09,41000,Charter Revenue,Charter #4682 - Res #005717 - unknown,0.00,609.99,income_ledger,20782,0005407
2012-01-09,1000,Cash / Clearing,Charter #4692 - Res #005727 - unknown,400.00,0.00,income_ledger,20783,0005411
2012-01-09,41000,Charter Revenue,Charter #4692 - Res #005727 - unknown,0.00,400.00,income_ledger,20783,0005411
2012-01-09,1000,Cash / Clearing,Charter #4693 - Res #005728 - unknown,200.00,0.00,income_ledger,20784,0005412
2012-01-09,41000,Charter Revenue,Charter #4693 - Res #005728 - unknown,0.00,200.00,income_ledger,20784,0005412
2012-01-09,1000,Cash / Clearing,Charter #4690 - Res #005725 - unknown,119.99,0.00,income_ledger,20937,0005409
2012-01-09,41000,Charter Revenue,Charter #4690 - Res #005725 - unknown,0.00,119.99,income_ledger,20937,0005409
2012-01-09,1000,Cash / Clearing,Charter #4687 - Res #005722 - unknown,330.00,0.00,income_ledger,21132,0005405
2012-01-09,41000,Charter Revenue,Charter #4687 - Res #005722 - unknown,0.00,330.00,income_ledger,21132,0005405
2012-01-11,1000,Cash / Clearing,Charter #4689 - Res #005724 - unknown,261.00,0.00,income_ledger,20764,0005419
2012-01-11,41000,Charter Revenue,Charter #4689 - Res #005724 - unknown,0.00,261.00,income_ledger,20764,0005419
2012-01-11,1000,Cash / Clearing,Charter #4700 - Res #005735 - unknown,205.00,0.00,income_ledger,20765,0005418
2012-01-11,41000,Charter Revenue,Charter #4700 - Res #005735 - unknown,0.00,205.00,income_ledger,20765,0005418
2012-01-11,1000,Cash / Clearing,Charter #4702 - Res #005737 - unknown,500.00,0.00,income_ledger,20766,0005418
2012-01-11,41000,Charter Revenue,Charter #4702 - Res #005737 - unknown,0.00,500.00,income_ledger,20766,0005418
2012-01-13,1000,Cash / Clearing,Charter #4706 - Res #005741 - unknown,78.75,0.00,income_ledger,18899,0005450
2012-01-13,41000,Charter Revenue,Charter #4706 - Res #005741 - unknown,0.00,78.75,income_ledger,18899,0005450
2012-01-13,1000,Cash / Clearing,Charter #4650 - Res #005684 - credit_card,350.00,0.00,income_ledger,18923,
2012-01-13,41000,Charter Revenue,Charter #4650 - Res #005684 - credit_card,0.00,350.00,income_ledger,18923,
2012-01-13,1000,Cash / Clearing,Charter #4705 - Res #005740 - unknown,205.00,0.00,income_ledger,21398,0005427
2012-01-13,41000,Charter Revenue,Charter #4705 - Res #005740 - unknown,0.00,205.00,income_ledger,21398,0005427
2012-01-16,1000,Cash / Clearing,Charter #4710 - Res #005745 - unknown,75.00,0.00,income_ledger,19993,0005429
2012-01-16,41000,Charter Revenue,Charter #4710 - Res #005745 - unknown,0.00,75.00,income_ledger,19993,0005429
2012-01-17,1000,Cash / Clearing,Charter #4697 - Res #005732 - unknown,388.13,0.00,income_ledger,19994,0005431
2012-01-17,41000,Charter Revenue,Charter #4697 - Res #005732 - unknown,0.00,388.13,income_ledger,19994,0005431
2012-01-17,1000,Cash / Clearing,Charter #4701 - Res #005736 - unknown,109.25,0.00,income_ledger,19995,0005433
2012-01-17,41000,Charter Revenue,Charter #4701 - Res #005736 - unknown,0.00,109.25,income_ledger,19995,0005433
2012-01-17,1000,Cash / Clearing,Charter #4722 - Res #005757 - unknown,0.01,0.00,income_ledger,20774,0005430
2012-01-17,41000,Charter Revenue,Charter #4722 - Res #005757 - unknown,0.00,0.01,income_ledger,20774,0005430
2012-01-17,1000,Cash / Clearing,Charter #4698 - Res #005733 - unknown,86.25,0.00,income_ledger,20775,0005434
